"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","06","Week 06","Number","183723"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","07","Week 07","Number","186751"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","08","Week 08","Number","192191"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","09","Week 09","Number","185374"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","10","Week 10","Number","184850"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","11","Week 11","Number","179990"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","12","Week 12","Number","186557"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","13","Week 13","Number","194924"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","14","Week 14","Number","191457"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","15","Week 15","Number","191186"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","16","Week 16","Number","189240"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","17","Week 17","Number","192476"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","18","Week 18","Number","194851"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","19","Week 19","Number","191255"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","20","Week 20","Number","196349"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","21","Week 21","Number","196073"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","22","Week 22","Number","197118"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","23","Week 23","Number","191441"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","24","Week 24","Number","196687"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","25","Week 25","Number","195671"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","26","Week 26","Number","198187"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","27","Week 27","Number","199642"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","28","Week 28","Number","199348"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","29","Week 29","Number","197061"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","30","Week 30","Number","202725"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","31","Week 31","Number","199496"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","32","Week 32","Number","197696"
