Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Clogheen,Tipperary,52.2770794,-7.9951028,60,4,0,0,418,62,544,0,Town (Small)
Clogherhead,Louth,53.7916777,-6.2388506,482,2,22,36,2056,518,3116,0,Town (Small)
Cloghfin,Donegal,54.653827,-8.1096142,20,0,0,0,120,4,144,0,Town (Small)
Clonakilty,Cork,51.6203379,-8.905510399999999,204,10,12,8,4000,1796,6030,0,Town (Small)
Clonard,Meath,53.4515329,-7.0231073,78,2,2,6,326,24,438,0,Town (Small)
Clonaslee,Laois,53.1486014,-7.524369599999999,20,2,4,4,632,84,746,0,Town (Small)
Clonbullogue,Offaly,53.26068309999999,-7.086431,46,2,2,6,314,58,428,0,Town (Small)
Clondrohid,Cork,51.9292332,-9.022767499999999,22,0,2,0,212,18,254,0,Town (Small)
Clondulane,Cork,52.1421634,-8.2203365,4,2,2,0,554,96,658,0,Town (Small)
Clonee,Meath,53.4105621,-6.4426,200,16,2,48,1060,200,1526,0,Town (Small)
Clonegall,Carlow,52.6948009,-6.6477303,10,0,6,0,202,60,278,0,Town (Small)
Clones,Monaghan,54.1796829,-7.230667100000001,72,2,10,4,1258,818,2164,0,Town (Small)
Clongeen,Wexford,52.2978897,-6.7727531,46,0,0,2,212,22,282,0,Town (Small)
Clonlara,Clare,52.7238329,-8.5528365,52,0,4,2,840,118,1016,0,Town (Small)
Clonmany,Donegal,55.2628052,-7.411610800000001,104,0,6,2,438,58,608,0,Town (Small)
Clonmel,Tipperary,52.3623523,-7.7007084,756,50,46,32,16448,3590,20922,3,Town (Medium)
Clonmellon,Westmeath,53.6640717,-7.0183933,102,0,8,4,670,136,920,0,Town (Small)
Clonroche,Wexford,52.4496872,-6.7174157,30,0,0,0,212,62,304,0,Town (Small)
Clontibret,Monaghan,54.2054431,-6.8415402,40,0,0,2,216,32,290,0,Town (Small)
Clonygowan,Offaly,53.1874518,-7.2804446,32,0,4,20,306,74,436,0,Town (Small)
Cloonfad,Roscommon,53.6867556,-8.75182,26,0,6,0,378,70,480,0,Town (Small)
Cloontuskert,Roscommon,53.70606859999999,-8.0028889,10,2,0,2,180,16,210,0,Town (Small)
Cloughduv,Cork,51.8473203,-8.7880041,68,0,2,0,450,88,608,0,Town (Small)
Cloughjordan,Tipperary,52.9429442,-8.0383372,128,2,8,14,392,228,772,0,Town (Small)
Cloyne,Cork,51.8630971,-8.121236999999999,306,12,12,30,1926,388,2674,0,Town (Small)
Cluain Bú,Galway,53.5137007,-8.6601381,88,0,4,0,498,8,598,0,Town (Small)
Coachford,Cork,51.909471,-8.788960099999999,12,0,2,0,416,140,570,0,Town (Small)
Cobh,Cork,51.8530415,-8.295090499999999,1398,30,116,606,12322,3338,17810,3,Town (Medium)
Coill Dubh (Blackwood),Kildare,53.2931573,-6.818584400000001,234,6,4,10,1402,198,1854,0,Town (Small)
Collinstown,Westmeath,53.64747149999999,-7.212159999999999,36,2,0,0,304,66,408,0,Town (Small)
Collon,Louth,53.7777425,-6.4840991,242,0,2,4,732,188,1168,0,Town (Small)
Collooney,Sligo,54.1849522,-8.4865545,146,0,2,12,1894,346,2400,0,Town (Small)
Conna,Cork,52.0931079,-8.1073545,118,0,4,0,542,96,760,0,Town (Small)
Convoy,Donegal,54.859725,-7.6654466,196,0,6,0,1484,182,1868,0,Town (Small)
Coolaney,Sligo,54.17380929999999,-8.6008023,164,4,6,6,1478,42,1700,0,Town (Small)
Coolboy,Wicklow,52.7620319,-6.462780299999999,54,0,2,0,314,6,376,0,Town (Small)
Coolgreany,Wexford,52.7647077,-6.2360077,30,4,6,4,356,40,440,0,Town (Small)
Cootehall,Roscommon,53.9841688,-8.1580069,52,2,4,2,300,2,362,0,Town (Small)
Cootehill,Cavan,54.0725034,-7.0823541,234,0,6,2,1564,416,2222,0,Town (Small)
Cork city and suburbs,Cork,51.8985143,-8.4756035,25718,868,648,1218,170530,59804,258786,4,City (Large)
Corofin,Clare,52.9448216,-9.0640874,158,0,0,2,676,76,912,0,Town (Small)
Corrandulla,Galway,53.3991608,-8.995794499999999,70,2,0,0,400,74,546,0,Town (Small)
Corrofin,Galway,53.437565,-8.8602715,158,0,4,2,906,14,1084,0,Town (Small)
Courtbrack,Cork,51.8808748,-8.4785161,26,0,4,0,676,0,706,0,Town (Small)
Courtmacsherry,Cork,51.63385539999999,-8.7059339,118,0,2,2,508,38,668,0,Town (Small)
Courtown,Wexford,52.6448624,-6.2286169,676,4,22,28,3416,548,4694,0,Town (Small)
Cratloe,Clare,52.6985433,-8.762853699999999,52,4,4,2,910,44,1016,0,Town (Small)
Craughwell,Galway,53.2302689,-8.7347736,162,0,6,10,1250,38,1466,0,Town (Small)
Creeslough,Donegal,55.12334970000001,-7.909467599999999,64,0,0,0,266,68,398,0,Town (Small)
Crinkill,Offaly,53.07837860000001,-7.8970751,28,0,0,6,728,158,920,0,Town (Small)
Cromane,Kerry,52.1061221,-9.898534699999999,4,0,0,0,222,16,242,0,Town (Small)
Crookstown,Cork,51.84242700000001,-8.830431899999999,32,0,0,0,194,8,234,0,Town (Small)
Croom,Limerick,52.519036,-8.7174345,26,2,0,0,658,266,952,0,Town (Small)
Crossakeel,Meath,53.71411920000001,-7.020536799999999,30,0,0,2,230,8,270,0,Town (Small)
Crossbarry,Cork,51.8020473,-8.6453657,156,0,4,0,434,4,598,0,Town (Small)
Crosshaven,Cork,51.8022632,-8.2904494,222,10,12,6,3290,610,4150,0,Town (Small)
Crossmolina,Mayo,54.100342,-9.3158456,24,2,4,0,1126,166,1322,0,Town (Small)
Crusheen,Clare,52.9386532,-8.8967688,60,2,2,4,786,88,942,0,Town (Small)
Culdaff,Donegal,55.2859437,-7.165135100000001,54,2,2,2,352,24,436,0,Town (Small)
Curragh Camp,Kildare,53.1474495,-6.8299723,126,6,4,18,974,102,1230,0,Town (Small)
Cut Bush,Kildare,53.1237168,-6.8326039,48,0,2,12,306,58,426,0,Town (Small)
Daingean,Offaly,53.2960818,-7.291967,182,4,10,22,1048,198,1464,0,Town (Small)
Delvin,Westmeath,53.6125653,-7.0917224,134,2,4,6,608,62,816,0,Town (Small)
Derrinturn,Kildare,53.3395275,-6.9399818,402,0,10,18,1638,346,2414,0,Town (Small)
Dingle-Daingean Uí Chuis,Kerry,52.1408534,-10.2671142,42,8,8,12,804,718,1592,0,Town (Small)
Doirí Beaga,Donegal,55.0743448,-8.294187299999999,52,0,6,0,622,72,752,0,Town (Small)
Donabate,Dublin,53.4853365,-6.1504482,812,40,18,2780,6622,3226,13498,0,Town (Small)
Donard,Wicklow,53.0222351,-6.6130978,24,0,2,0,204,48,278,0,Town (Small)
Donaskeigh,Tipperary,52.5218302,-8.0647868,18,0,4,0,188,10,220,0,Town (Small)
Donegal,Donegal,54.653827,-8.1096142,84,6,14,2,2324,524,2954,0,Town (Small)
Doneraile,Cork,52.2151735,-8.585977399999999,14,2,2,8,742,178,946,0,Town (Small)
Donore,Meath,53.6921097,-6.4172506,140,2,0,10,698,178,1028,0,Town (Small)
Doohamlat,Monaghan,54.1287354,-6.823994600000001,32,0,0,0,292,64,388,0,Town (Small)
Doon,Limerick,52.6043221,-8.248491699999999,16,2,8,2,600,164,792,0,Town (Small)
Doonbeg,Clare,52.7308501,-9.5259951,22,0,2,0,182,60,266,0,Town (Small)
Drangan,Tipperary,52.5170482,-7.583662700000001,8,0,4,0,132,10,154,0,Town (Small)
Drimoleague,Cork,51.6599357,-9.261245299999999,48,0,2,0,438,68,556,0,Town (Small)
Drogheda,Louth,53.717856,-6.3560985,6686,136,126,1208,31176,13690,53022,3,Town (Medium)
Dromahair,Leitrim,54.2306704,-8.3026235,90,2,0,0,964,178,1234,0,Town (Small)
Dromina,Cork,52.3117507,-8.8012075,14,0,2,0,298,44,358,0,Town (Small)
Dromineer,Tipperary,52.9248849,-8.2756534,0,0,0,0,80,6,86,0,Town (Small)
Dromiskin,Louth,53.9217123,-6.401009200000001,188,4,2,8,1318,150,1670,0,Town (Small)
Drommahane,Cork,52.1056038,-8.6908349,78,2,10,18,960,196,1264,0,Town (Small)
Dromore West,Sligo,54.2495094,-8.8799262,70,0,4,0,270,20,364,0,Town (Small)
Drumcollogher,Limerick,52.3396079,-8.9076419,4,0,8,2,436,100,550,0,Town (Small)
Drumconrath,Meath,53.8515966,-6.6563415,76,0,6,2,326,60,470,0,Town (Small)
Drumkeen,Donegal,54.8660308,-7.7513945,38,2,4,0,366,22,432,0,Town (Small)
Drumkeeran,Leitrim,54.16940899999999,-8.142664,6,0,0,2,184,70,262,0,Town (Small)
Drumlish,Longford,53.82059030000001,-7.768414,230,0,18,18,976,172,1414,0,Town (Small)
Drumod,Leitrim,53.8575697,-7.9208348,156,4,2,26,668,30,886,0,Town (Small)
Drumshanbo,Leitrim,54.04780040000001,-8.0400238,40,0,6,12,1028,238,1324,0,Town (Small)
Drumsna,Leitrim,53.9269176,-8.0079271,44,2,0,2,272,2,322,0,Town (Small)
Duagh,Kerry,52.4147893,-9.3901918,22,0,4,0,292,44,362,0,Town (Small)
Dublin city and suburbs,Dublin,53.3498053,-6.2603097,225800,9312,2960,104860,689012,440362,1472306,1,City (Large)
Duleek,Meath,53.6547501,-6.4221752,1450,8,14,46,4580,358,6456,0,Town (Small)
Dumha Thuama,Mayo,54.0645,-9.5357,34,0,0,2,60,4,100,0,Town (Small)
Dunboyne,Meath,53.4192677,-6.4758857,742,32,32,528,5740,2594,9668,0,Town (Small)
Duncannon,Wexford,52.2206117,-6.9325606,12,0,0,2,192,34,240,0,Town (Small)
Duncormick,Wexford,52.2285412,-6.655054199999999,26,0,0,0,178,12,216,0,Town (Small)
Dundalk,Louth,53.9979451,-6.405957,4392,110,84,440,31450,11704,48180,3,Town (Medium)
Dunderrow,Cork,51.726487,-8.5874569,30,0,0,0,216,70,316,0,Town (Small)
Dundrum,Tipperary,52.5595234,-8.043225099999999,56,0,0,0,188,28,272,0,Town (Small)
Dunfanaghy,Donegal,55.1834711,-7.9694369,52,0,2,0,318,68,440,0,Town (Small)
Dungarvan,Waterford,52.0936763,-7.620362699999999,326,12,30,14,7846,3138,11366,0,Town (Small)
Dunhill,Waterford,52.1737783,-7.263755799999999,28,2,2,0,244,34,310,0,Town (Small)
Dunkineely,Donegal,54.6320711,-8.357078699999999,58,0,2,0,288,36,384,0,Town (Small)
Dunlavin,Wicklow,53.0578764,-6.7016395,14,4,4,0,828,340,1190,0,Town (Small)
Dunleer,Louth,53.8310533,-6.3944559,202,4,14,10,1772,682,2684,0,Town (Small)
Dunmanway,Cork,51.7222571,-9.1118088,62,2,10,6,1636,446,2162,0,Town (Small)
Dunmore,Galway,53.6180163,-8.7441461,26,0,2,0,556,208,792,0,Town (Small)
Dunmore East,Waterford,52.1527666,-6.994803999999999,228,0,6,10,1632,232,2108,0,Town (Small)
Dunshaughlin,Meath,53.5135229,-6.540252499999999,820,14,18,116,5936,2000,8904,0,Town (Small)
Durrow,Laois,52.84622479999999,-7.394980200000001,144,0,10,12,784,156,1106,0,Town (Small)
Durrus,Cork,51.6217112,-9.521993,54,0,2,0,312,54,422,0,Town (Small)
Easky,Sligo,54.286325,-8.9623692,16,0,2,0,182,40,240,0,Town (Small)
Edenderry,Offaly,53.3432235,-7.0517202,672,22,24,34,6330,2434,9516,0,Town (Small)
Edgeworthstown,Longford,53.6956862,-7.608492999999999,406,2,2,72,1280,458,2220,0,Town (Small)
Elphin,Roscommon,53.8522697,-8.1978488,34,2,4,10,546,174,770,0,Town (Small)
Emly,Tipperary,52.4633291,-8.3498992,34,0,0,2,298,52,386,0,Town (Small)
Emo,Laois,53.097203,-7.208534999999999,40,2,2,6,242,32,324,0,Town (Small)
Emyvale,Monaghan,54.3409914,-6.959261199999999,108,0,6,0,580,86,780,0,Town (Small)
Enfield,Meath,53.4142026,-6.8296541,776,12,8,146,2992,1242,5176,0,Town (Small)
Ennis,Clare,52.8474255,-8.988738399999999,1002,58,70,246,26250,5554,33180,3,Town (Medium)
Enniscorthy,Wexford,52.5031135,-6.5727721,732,18,38,30,9258,2958,13034,0,Town (Small)
Enniscrone,Sligo,54.2136818,-9.090835199999999,36,0,2,12,1022,264,1336,0,Town (Small)
Enniskerry,Wicklow,53.1935037,-6.1707299,216,14,14,106,1788,166,2304,0,Town (Small)
Ennistimon,Clare,52.940372,-9.2934951,22,6,4,4,780,400,1216,0,Town (Small)
Errill,Laois,52.8599496,-7.6769934,34,0,4,0,196,14,248,0,Town (Small)
Eyrecourt,Galway,53.1997171,-8.131427,36,0,2,4,172,36,250,0,Town (Small)
Fahan,Donegal,55.0876125,-7.4724123,66,0,2,0,504,14,586,0,Town (Small)
Farran,Cork,51.8733225,-8.720434299999999,28,0,4,0,356,24,412,0,Town (Small)
Feakle,Clare,52.9260682,-8.6486521,10,0,0,0,72,20,102,0,Town (Small)
Fedamore,Limerick,52.54550709999999,-8.6016177,46,0,0,0,414,14,474,0,Town (Small)
Fenit,Kerry,52.2784045,-9.8612114,28,0,4,4,630,68,734,0,Town (Small)
Fennagh,Carlow,52.71467,-6.84615,130,0,4,4,474,20,632,0,Town (Small)
Ferbane,Offaly,53.27195,-7.8278719,28,2,4,12,1148,214,1408,0,Town (Small)
Fermoy,Cork,52.1378017,-8.2752606,286,22,20,10,5744,1994,8076,0,Town (Small)
Ferns,Wexford,52.5909249,-6.498010499999999,196,2,6,0,932,300,1436,0,Town (Small)
Fethard,Tipperary,52.4659436,-7.6927334,94,0,10,8,1496,356,1964,0,Town (Small)
Fethard,Wexford,52.1923021,-6.8402183,64,0,0,0,286,28,378,0,Town (Small)
Fiddown,Kilkenny,52.331516,-7.313796000000001,42,0,2,0,514,20,578,0,Town (Small)
Fieries,Kerry,52.17019,-9.59718,124,2,6,0,630,154,916,0,Town (Small)
Foxford,Mayo,53.98077259999999,-9.113245,62,0,4,6,1256,200,1528,0,Town (Small)
Foynes,Limerick,52.6102719,-9.104861699999999,46,0,0,0,446,78,570,0,Town (Small)
Freemount,Cork,52.2768369,-8.8847534,28,0,0,0,274,44,346,0,Town (Small)
Frenchpark,Roscommon,53.8695107,-8.4074282,60,0,6,4,392,76,538,0,Town (Small)
Freshford,Kilkenny,52.73250669999999,-7.3981631,84,2,8,0,406,84,584,0,Town (Small)
Galbally,Limerick,52.4000202,-8.2936733,32,0,2,4,194,36,268,0,Town (Small)
Galway city and suburbs,Galway,53.274001,-9.051266199999999,11670,316,208,380,57788,29600,99962,2,Town (Large)
Garristown,Dublin,53.5668673,-6.3835624,244,2,0,6,522,88,862,0,Town (Small)
Geashill,Offaly,53.2352224,-7.3209776,64,2,2,8,310,94,480,0,Town (Small)
Glanworth,Cork,52.1866296,-8.3567369,84,2,0,6,576,122,790,0,Town (Small)
Glaslough,Monaghan,54.31727840000001,-6.8971168,46,0,4,2,430,38,520,0,Town (Small)
Glassan,Westmeath,53.4699107,-7.863907299999999,16,0,0,8,214,18,256,0,Town (Small)
Gleann Cholm Cille,Donegal,54.7080885,-8.7295157,14,0,0,0,110,38,162,0,Town (Small)
Glenamaddy,Galway,53.6055461,-8.5604032,32,0,8,0,414,214,668,0,Town (Small)
Glenbeigh,Kerry,52.0561861,-9.9403477,32,2,0,2,354,36,426,0,Town (Small)
Glencullen,Dublin,53.2224638,-6.216138,18,2,2,34,408,38,502,0,Town (Small)
Glenealy,Wicklow,52.9666341,-6.144572900000001,102,4,10,10,612,72,810,0,Town (Small)
Gleneely,Donegal,55.2387477,-7.1466476,36,0,4,0,216,38,294,0,Town (Small)
Glengarriff,Cork,51.7500277,-9.5522224,34,0,0,2,142,42,220,0,Town (Small)
Glenties,Donegal,54.7971669,-8.2830316,30,0,6,0,802,196,1034,0,Town (Small)
Glenville,Cork,52.04565789999999,-8.4254293,130,2,4,0,568,102,806,0,Town (Small)
Glin,Limerick,52.5688921,-9.2819067,56,0,0,0,508,122,686,0,Town (Small)
Gneevgullia,Kerry,52.1166851,-9.2719471,50,0,6,2,320,32,410,0,Town (Small)
Gob an Choire,Mayo,53.9302564,-9.9266332,8,0,0,0,168,52,228,0,Town (Small)
Golden,Tipperary,52.4984411,-7.980749500000001,36,0,6,8,334,42,426,0,Town (Small)
Goresbridge,Kilkenny,52.6297084,-6.9940878,22,0,0,6,248,44,320,0,Town (Small)
Gorey,Wexford,52.67573549999999,-6.2943022,796,26,28,104,9662,3736,14352,0,Town (Small)
Gormanston,Meath,53.6419159,-6.2480288,28,0,0,20,284,24,356,0,Town (Small)
Gort,Galway,53.0666432,-8.8187486,174,2,4,30,2222,678,3110,0,Town (Small)
Gort An Choirce,Donegal,55.116926,-8.140072500000002,28,0,4,0,280,46,358,0,Town (Small)
Gortnahoo,Tipperary,52.6759449,-7.602561799999999,46,0,6,0,242,64,358,0,Town (Small)
Gowran,Kilkenny,52.6290523,-7.0665112,116,0,6,4,784,130,1040,0,Town (Small)
Graiguenamanagh-Tinnahinch,Kilkenny,52.54413479999999,-6.9594397,82,6,2,14,976,282,1362,0,Town (Small)
Granard,Longford,53.7791755,-7.4923774,28,0,4,2,614,388,1036,0,Town (Small)
Grange,Sligo,54.3932789,-8.5220973,40,0,0,2,532,198,772,0,Town (Small)
Greencastle,Donegal,55.203361,-6.9875478,158,4,10,4,1194,84,1454,0,Town (Small)
Grenagh,Cork,52.0104774,-8.610667,106,0,2,0,934,28,1070,0,Town (Small)
Greystones-Delgany,Wicklow,53.1491175,-6.0793414,1972,104,78,2674,17024,4688,26540,3,Town (Medium)
Gurteen,Sligo,53.99590019999999,-8.5226889,50,0,2,2,412,78,544,0,Town (Small)
Hacketstown,Carlow,52.8653857,-6.5586053,12,0,6,0,486,224,728,0,Town (Small)
Halfway,Cork,51.80401999999999,-8.57161,32,0,6,0,328,0,366,0,Town (Small)
Headford,Galway,53.4694617,-9.106133999999999,58,0,12,0,1222,220,1512,0,Town (Small)
Holycross,Tipperary,52.6397686,-7.870179299999998,54,0,0,26,716,48,844,0,Town (Small)
Hospital,Limerick,52.4743003,-8.4324543,36,0,2,2,550,182,772,0,Town (Small)
Inagh,Clare,52.8769834,-9.176764499999999,18,0,2,0,214,18,252,0,Town (Small)
Inchigeelagh,Cork,51.8424464,-9.1264323,6,0,0,0,128,20,154,0,Town (Small)
Inishannon,Cork,51.7649008,-8.6574773,144,4,2,0,1066,248,1464,0,Town (Small)
Inistioge,Kilkenny,52.4884908,-7.065458899999999,44,0,0,0,236,40,320,0,Town (Small)
Inniskeen,Monaghan,54.00315999999999,-6.58406,50,2,8,0,316,72,448,0,Town (Small)
Irishtown,Mayo,53.6627806,-8.8900518,22,0,6,0,168,32,228,0,Town (Small)
Jenkinstown,Louth,54.01605559999999,-6.3103519,86,0,6,8,416,2,518,0,Town (Small)
Johnstown,Kildare,53.2370579,-6.6217975,458,0,4,24,1412,88,1986,0,Town (Small)
Johnstown,Kilkenny,52.74851779999999,-7.556992999999999,20,2,0,0,358,88,468,0,Town (Small)
Johnstownbridge,Kildare,53.4019965,-6.855203299999999,160,0,4,20,610,108,902,0,Town (Small)
Julianstown,Meath,53.6729374,-6.285651,146,2,0,26,650,114,938,0,Town (Small)
Kanturk,Cork,52.17725489999999,-8.9051669,152,2,18,28,2498,668,3366,0,Town (Small)
Keadew,Roscommon,54.0511423,-8.1377557,22,0,2,4,168,14,210,0,Town (Small)
Keel-Dooagh,Mayo,53.9749643,-10.1266688,52,0,2,2,356,56,468,0,Town (Small)
Keenagh,Longford,53.622007,-7.8147206,162,0,2,8,640,136,948,0,Town (Small)
Kells,Kilkenny,52.5396697,-7.273187099999999,32,0,2,2,346,26,408,0,Town (Small)
Kells,Meath,53.72718030000001,-6.876972299999999,884,16,20,8,5138,1700,7766,0,Town (Small)
Kenmare,Kerry,51.8801017,-9.583520199999999,74,4,8,8,1982,732,2808,0,Town (Small)
Kentstown,Meath,53.6275364,-6.533341099999999,312,2,4,0,1126,204,1648,0,Town (Small)
Kernanstown,Carlow,52.835854,-6.932474399999999,6,0,0,2,218,28,254,0,Town (Small)
Keshcarrigan,Leitrim,54.0188646,-7.942526399999999,42,0,0,4,188,12,246,0,Town (Small)
Kilbeggan,Westmeath,53.3684574,-7.4994634,60,2,12,8,1288,434,1804,0,Town (Small)
Kilberry,Kildare,53.0311398,-7.016986999999999,36,0,4,4,290,22,356,0,Town (Small)
Kilbrin,Cork,51.8812776,-8.4408691,18,0,2,0,186,26,232,0,Town (Small)
Kilbrittain,Cork,51.6735577,-8.6917337,34,0,2,0,216,46,298,0,Town (Small)
Kilcloon,Meath,53.42723,-6.58392,42,2,2,30,456,62,594,0,Town (Small)
Kilcock,Kildare,53.3994266,-6.6681233,976,38,20,696,7518,2534,11782,0,Town (Small)
Kilcolgan,Galway,53.210233,-8.869438299999999,26,0,2,2,226,26,282,0,Town (Small)
Kilcoole,Wicklow,53.1062723,-6.064586100000001,536,20,14,300,3924,1146,5940,0,Town (Small)
Kilcormac,Offaly,53.1764113,-7.7274112,44,2,14,4,760,270,1094,0,Town (Small)
Kilcullen,Kildare,53.1302865,-6.745279099999999,228,10,12,76,3584,1384,5294,0,Town (Small)
Kilcummin,Kerry,52.0984108,-9.470070399999999,34,0,0,4,740,36,814,0,Town (Small)
Kildalkey,Meath,53.5714499,-6.9060291,166,6,4,4,690,172,1042,0,Town (Small)
Kildangan,Kildare,53.1052189,-7.013760100000001,118,0,2,26,500,88,734,0,Town (Small)
Kildare,Kildare,53.15980589999999,-6.9089763,1012,30,22,724,9220,2192,13200,0,Town (Small)
Kildavin,Carlow,52.683205,-6.6849832,6,0,4,0,172,22,204,0,Town (Small)
Kildimo,Limerick,52.6237328,-8.8120969,44,0,0,0,604,44,692,0,Town (Small)
Kildorrery,Cork,52.2464986,-8.4273898,46,0,2,2,352,72,474,0,Town (Small)
Kildrum,Donegal,54.9791343,-7.419445400000001,66,0,2,2,610,6,686,0,Town (Small)
Kildysart,Clare,52.6739738,-9.1075349,14,0,4,0,438,96,552,0,Town (Small)
Kilfenora,Clare,52.9899429,-9.218327,16,2,0,0,118,30,166,0,Town (Small)
Kilfinnane,Limerick,52.3591426,-8.4682225,30,2,6,2,560,216,816,0,Town (Small)
Kilflynn,Kerry,52.3505422,-9.625316399999999,2,0,0,2,178,14,196,0,Town (Small)
Kilgarvan,Kerry,51.9031476,-9.4384061,18,2,0,0,268,30,318,0,Town (Small)
Kilkee,Clare,52.6828228,-9.6444116,40,0,4,0,552,196,792,0,Town (Small)
Kilkelly,Mayo,53.87179219999999,-8.8502415,26,0,2,0,440,42,510,0,Town (Small)
Kilkenny,Kilkenny,52.6549027,-7.246402900000001,1564,82,66,252,21044,8804,31812,3,Town (Medium)
Kilkishen,Clare,52.8071551,-8.747034600000001,94,2,10,2,652,110,870,0,Town (Small)
Kill,Kildare,53.24870629999999,-6.590530600000001,808,14,8,24,3654,604,5112,0,Town (Small)
Kill,Waterford,52.1758844,-7.335392100000001,72,2,2,0,276,72,424,0,Town (Small)
Killala,Mayo,54.2125146,-9.220999899999999,68,0,4,2,472,74,620,0,Town (Small)
Killaloe,Clare,52.808886,-8.4475152,96,0,16,0,1234,504,1850,0,Town (Small)
Killarney,Kerry,52.0598646,-9.504362900000002,750,42,56,96,10416,4364,15724,3,Town (Medium)
Killashee,Longford,53.6812889,-7.879322800000001,16,0,0,2,202,22,242,0,Town (Small)
Killavullen,Cork,52.1465049,-8.5166811,34,0,4,0,278,52,368,0,Town (Small)
Killeagh,Cork,51.9424888,-7.9920158,156,0,0,16,846,166,1184,0,Town (Small)
Killeigh,Offaly,53.2140733,-7.450342699999999,44,0,0,6,166,26,242,0,Town (Small)
Killenard,Laois,53.1349458,-7.1478515,92,0,4,40,606,166,908,0,Town (Small)
Killenaule,Tipperary,52.5684251,-7.6734719,38,2,6,2,612,106,766,0,Town (Small)
Killeshandra,Cavan,54.0138727,-7.5282313,36,0,0,0,152,56,244,0,Town (Small)
Killimor,Galway,53.1656231,-8.2910516,30,0,6,2,238,54,330,0,Town (Small)
Killinierin,Wexford,52.7300058,-6.2850306,26,0,2,6,288,46,368,0,Town (Small)
Killorglin,Kerry,52.10635079999999,-9.7843403,84,8,6,10,1798,582,2488,0,Town (Small)
Killucan-Rathwire,Westmeath,53.5138676,-7.1428989,204,2,12,8,1398,374,1998,0,Town (Small)
Killumney,Cork,51.8637285,-8.6539137,156,0,6,0,1816,90,2068,0,Town (Small)
Killurin,Offaly,53.2173433,-7.5509127,30,0,2,4,166,6,208,0,Town (Small)
Killurin,Wexford,53.2173433,-7.5509127,10,0,4,0,276,6,296,0,Town (Small)
Killybegs,Donegal,54.6347625,-8.4547084,34,2,8,2,1030,238,1314,0,Town (Small)
Killygordon,Donegal,54.7968309,-7.683535399999999,110,0,0,0,652,116,878,0,Town (Small)
Kilmacanogue,Wicklow,53.16901,-6.13946,142,4,18,52,1032,142,1390,0,Town (Small)
Kilmacow,Kilkenny,52.31208050000001,-7.1765298,68,2,4,0,666,42,782,0,Town (Small)
Kilmacrennan,Donegal,55.030269,-7.7793541,176,2,4,0,744,100,1026,0,Town (Small)
Kilmacthomas,Waterford,52.2054897,-7.426765199999999,38,2,10,0,810,192,1052,0,Town (Small)
Kilmaine,Mayo,53.5811547,-9.1227567,30,0,2,2,150,34,218,0,Town (Small)
Kilmainhamwood,Meath,53.852351,-6.8048926,56,2,4,2,192,68,324,0,Town (Small)
Kilmaley,Clare,52.8188446,-9.1088116,38,2,0,2,354,12,408,0,Town (Small)
Kilmallock,Limerick,52.3986185,-8.5715956,36,2,10,2,1210,458,1718,0,Town (Small)
Kilmead,Kildare,53.0347993,-6.9022241,78,0,6,8,308,68,468,0,Town (Small)
Kilmeaden,Waterford,52.23333,-7.24281,22,0,0,0,476,6,504,0,Town (Small)
Kilmeage,Kildare,53.2510535,-6.8399263,168,2,4,14,1102,46,1336,0,Town (Small)
Kilmessan,Meath,53.55888849999999,-6.6589527,156,2,0,8,836,222,1224,0,Town (Small)
Kilmihil,Clare,52.7208888,-9.3198723,6,0,6,4,394,92,502,0,Town (Small)
Kilmoganny,Kilkenny,52.46147269999999,-7.3282056,22,0,0,0,226,24,272,0,Town (Small)
Kilmore,Wexford,52.2056319,-6.5473792,12,4,0,0,204,24,244,0,Town (Small)
Kilmore Quay,Wexford,52.17571940000001,-6.5863919,80,0,8,0,328,44,460,0,Town (Small)
Kilmuckridge,Wexford,52.51308849999999,-6.283934599999999,48,6,4,0,604,206,868,0,Town (Small)
Kilmurry,Clare,52.7781704,-8.7826372,56,0,2,0,248,30,336,0,Town (Small)
Kilnaleck,Cavan,53.8622249,-7.3213784,60,2,4,0,392,140,598,0,Town (Small)
Kilpedder,Wicklow,53.11037349999999,-6.1055471,178,6,12,54,1236,56,1542,0,Town (Small)
Kilrush,Clare,52.6406999,-9.4859374,36,2,10,6,1502,696,2252,0,Town (Small)
Kilsheelan,Tipperary,52.3611942,-7.580387699999999,124,0,2,0,876,102,1104,0,Town (Small)
Kilteel,Kildare,53.2359545,-6.521514199999999,42,4,0,8,270,4,328,0,Town (Small)
Kilteely,Limerick,52.55401999999999,-8.391494999999999,18,0,0,0,186,10,214,0,Town (Small)
Kiltimagh,Mayo,53.8494839,-8.9994739,30,2,10,12,1062,280,1396,0,Town (Small)
Kilworth,Cork,52.1760533,-8.247312299999999,142,4,10,0,1070,308,1534,0,Town (Small)
Kingscourt,Cavan,53.9068739,-6.8052229,140,0,20,6,2924,636,3726,0,Town (Small)
Kinlough,Leitrim,54.4487146,-8.2858213,138,0,18,2,1198,172,1528,0,Town (Small)
Kinnegad,Westmeath,53.4568103,-7.1049959,884,10,8,18,2380,656,3956,0,Town (Small)
Kinnitty,Offaly,53.097806,-7.7189969,38,0,0,0,238,58,334,0,Town (Small)
