Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Annacotty,Limerick,52.667128,-8.5324694,204,2,10,0,3040,956,4212,0,Town (Small)
Annagassan,Louth,53.882628,-6.343494199999999,32,0,2,0,178,16,228,0,Town (Small)
Annaghdown,Galway,53.3881317,-9.0710338,26,0,2,0,230,2,260,0,Town (Small)
Annascaul,Kerry,52.1510786,-10.0567611,60,0,0,0,246,38,344,0,Town (Small)
Annayalla,Monaghan,54.16064,-6.788880000000001,34,0,2,0,238,42,316,0,Town (Small)
Ardagh,Limerick,52.4941478,-9.0637542,18,0,6,0,268,30,322,0,Town (Small)
Ardara,Donegal,54.7671456,-8.4092864,106,0,0,0,582,160,848,0,Town (Small)
Ardee,Louth,53.8576227,-6.5400009,366,4,20,12,4234,1684,6320,0,Town (Small)
Ardfert,Kerry,52.3282825,-9.767440599999999,72,0,4,0,706,88,870,0,Town (Small)
Ardfinnan,Tipperary,52.3092483,-7.8842292,140,2,2,2,954,84,1184,0,Town (Small)
Ardmore,Waterford,51.9510741,-7.725328999999999,54,2,0,2,314,126,498,0,Town (Small)
Ardnacrusha,Clare,52.7104277,-8.602863,82,0,4,2,1564,50,1702,0,Town (Small)
Arklow,Wicklow,52.79769349999999,-6.1599293,648,26,34,176,11320,3708,15912,3,Town (Medium)
Arthurstown,Wexford,52.24206059999999,-6.9517472,6,0,4,0,116,14,140,0,Town (Small)
Arvagh,Cavan,53.9214383,-7.5799134,38,0,12,2,348,112,512,0,Town (Small)
Ashbourne,Meath,53.5111621,-6.3973818,2090,84,36,48,13612,5782,21652,3,Town (Medium)
Ashford,Wicklow,53.0107896,-6.108289000000001,216,8,4,30,1772,198,2228,0,Town (Small)
Askeaton,Limerick,52.6005095,-8.975062,46,0,4,2,912,312,1276,0,Town (Small)
Athboy,Meath,53.6236329,-6.915636999999999,328,6,10,8,2190,664,3206,0,Town (Small)
Athea,Limerick,52.4606497,-9.287626,52,0,6,0,320,80,458,0,Town (Small)
Athenry,Galway,53.3008131,-8.745376799999999,146,10,4,262,4528,1140,6090,0,Town (Small)
Athgarvan,Kildare,53.15289079999999,-6.777700299999999,72,4,6,68,1416,142,1708,0,Town (Small)
Athleague,Roscommon,53.5676272,-8.2567472,44,0,0,2,304,44,394,0,Town (Small)
Athlone,Westmeath,53.4239331,-7.940689799999999,2472,36,70,402,17500,5184,25664,3,Town (Medium)
Athy,Kildare,52.9918336,-6.985728,828,30,40,600,8744,2652,12894,0,Town (Small)
Aughnacliffe,Longford,53.84885,-7.60445,26,0,2,2,160,18,208,0,Town (Small)
Aughrim,Wicklow,52.8559337,-6.325933099999999,308,4,6,16,1226,194,1754,0,Town (Small)
Avoca,Wicklow,52.8586664,-6.2140891,116,4,8,20,600,128,876,0,Town (Small)
Baile Chláir,Galway,53.34090310000001,-8.9456735,126,8,0,4,1570,546,2254,0,Town (Small)
Baile Mhic Íre,Cork,51.93639049999999,-9.1454314,18,0,4,0,336,112,470,0,Town (Small)
Bailieborough,Cavan,53.9156096,-6.969294199999999,158,2,18,2,2324,572,3076,0,Town (Small)
Balbriggan,Dublin,53.6083194,-6.182079799999999,2650,76,60,2694,17318,8868,31666,3,Town (Medium)
Balla,Mayo,53.8043767,-9.1305014,26,0,10,0,926,154,1116,0,Town (Small)
Ballaghaderreen,Roscommon,53.9016968,-8.5792106,112,2,20,16,1548,670,2368,0,Town (Small)
Ballina,Mayo,54.1149482,-9.1550693,1102,8,26,16,8734,2158,12044,0,Town (Small)
Ballina,Tipperary,52.8070154,-8.430917899999999,170,4,8,16,2732,988,3918,0,Town (Small)
Ballinabrannagh,Carlow,52.785424,-6.984884200000001,68,0,12,12,610,136,838,0,Town (Small)
Ballinaclash,Wicklow,52.9052365,-6.2579487,82,0,4,12,280,2,380,0,Town (Small)
Ballinagar,Offaly,53.2662048,-7.337107199999998,38,0,2,0,354,46,440,0,Town (Small)
Ballinagh,Cavan,53.9302,-7.41044,180,0,4,2,904,160,1250,0,Town (Small)
Ballinakill,Laois,52.8745935,-7.3085929,10,0,6,6,454,54,530,0,Town (Small)
Ballinalack,Westmeath,53.63055809999999,-7.473040999999999,26,0,2,2,164,14,208,0,Town (Small)
Ballinalee,Longford,53.7750724,-7.6550915,52,0,4,8,346,34,444,0,Town (Small)
Ballinameen,Roscommon,53.8972258,-8.301216,24,0,4,0,296,2,326,0,Town (Small)
Ballinamore,Leitrim,54.0522181,-7.8032043,58,0,8,4,844,292,1206,0,Town (Small)
