Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Ballinroad,Waterford,52.1037518,-7.5734156,40,2,8,0,1810,160,2020,0
Ballinrobe,Mayo,53.6237338,-9.2211143,172,4,16,6,2650,836,3684,0
Ballinspittle,Cork,51.6663408,-8.596594099999999,58,0,0,0,330,74,462,0
Ballintober,Roscommon,53.7180878,-8.4100998,8,0,2,2,206,20,238,0
Ballintogher,Sligo,54.2006449,-8.3649676,60,0,4,0,392,48,504,0
Ballintra,Donegal,54.57884989999999,-8.1243234,20,0,0,0,226,14,260,0
Ballitore,Kildare,53.009742,-6.8156295,82,0,0,6,644,30,762,0
Ballivor,Meath,53.5329521,-6.968071699999999,370,0,6,14,1826,326,2542,0
Ballon,Carlow,52.7391042,-6.769783899999999,128,2,0,4,702,192,1028,0
Ballyagran,Limerick,52.4018224,-8.782366699999999,14,0,2,0,180,10,206,0
Ballybay,Monaghan,54.1294617,-6.9027864,62,0,14,2,1226,340,1644,0
Ballybofey-Stranorlar,Donegal,54.80166699999999,-7.774999999999999,662,4,36,4,4648,762,6116,0
Ballyboghil,Dublin,53.52020599999999,-6.267595399999999,94,6,4,32,804,162,1102,0
Ballybrittas,Laois,53.109028,-7.1374187,60,2,2,14,518,16,612,0
Ballybunion,Kerry,52.51108,-9.670969999999999,34,0,2,10,1234,276,1556,0
Ballycanew,Wexford,52.6106782,-6.3049672,76,0,6,6,526,90,704,0
Ballycannan,Clare,52.70296399999999,-8.649498,30,4,2,0,708,12,756,0
Ballycastle,Mayo,54.2796698,-9.372464299999999,22,0,0,0,150,20,192,0
Ballyclerahan,Tipperary,52.4118971,-7.753067199999999,58,2,10,2,1092,118,1282,0
Ballyclogh,Cork,52.1673919,-8.742242,42,0,6,2,276,44,370,0
Ballycolla,Laois,52.8825474,-7.446860600000001,4,0,0,0,136,6,146,0
Ballyconnell,Cavan,54.1162175,-7.583954299999999,206,12,10,4,1132,350,1714,0
Ballycotton,Cork,51.8299148,-8.0097621,38,0,0,0,426,72,536,0
Ballycullane,Wexford,52.2803179,-6.8397818,30,0,2,2,182,34,250,0
Ballycumber,Offaly,53.3264159,-7.686113700000001,16,0,0,0,214,18,248,0
Ballydehob,Cork,51.5644261,-9.463412199999999,22,0,4,0,222,58,306,0
