Town,County,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Kilcormac,Offaly,44,2,14,4,760,270,1094,0
Kilcullen,Kildare,228,10,12,76,3584,1384,5294,0
Kilcummin,Kerry,34,0,0,4,740,36,814,0
Kildalkey,Meath,166,6,4,4,690,172,1042,0
Kildangan,Kildare,118,0,2,26,500,88,734,0
Kildare,Kildare,1012,30,22,724,9220,2192,13200,0
Kildavin,Carlow,6,0,4,0,172,22,204,0
Kildimo,Limerick,44,0,0,0,604,44,692,0
Kildorrery,Cork,46,0,2,2,352,72,474,0
Kildrum,Donegal,66,0,2,2,610,6,686,0
Kildysart,Clare,14,0,4,0,438,96,552,0
Kilfenora,Clare,16,2,0,0,118,30,166,0
Kilfinnane,Limerick,30,2,6,2,560,216,816,0
Kilflynn,Kerry,2,0,0,2,178,14,196,0
Kilgarvan,Kerry,18,2,0,0,268,30,318,0
Kilkee,Clare,40,0,4,0,552,196,792,0
Kilkelly,Mayo,26,0,2,0,440,42,510,0
Kilkenny,Kilkenny,1564,82,66,252,21044,8804,31812,3
Kilkishen,Clare,94,2,10,2,652,110,870,0
Kill,Kildare,808,14,8,24,3654,604,5112,0
Kill,Waterford,72,2,2,0,276,72,424,0
Killala,Mayo,68,0,4,2,472,74,620,0
Killaloe,Clare,96,0,16,0,1234,504,1850,0
Killarney,Kerry,750,42,56,96,10416,4364,15724,3
Killashee,Longford,16,0,0,2,202,22,242,0
Killavullen,Cork,34,0,4,0,278,52,368,0
Killeagh,Cork,156,0,0,16,846,166,1184,0
Killeigh,Offaly,44,0,0,6,166,26,242,0
Killenard,Laois,92,0,4,40,606,166,908,0
Killenaule,Tipperary,38,2,6,2,612,106,766,0
Killeshandra,Cavan,36,0,0,0,152,56,244,0
Killimor,Galway,30,0,6,2,238,54,330,0
Killinierin,Wexford,26,0,2,6,288,46,368,0
Killorglin,Kerry,84,8,6,10,1798,582,2488,0
Killucan-Rathwire,Westmeath,204,2,12,8,1398,374,1998,0
Killumney,Cork,156,0,6,0,1816,90,2068,0
Killurin,Offaly,30,0,2,4,166,6,208,0
Killurin,Wexford,10,0,4,0,276,6,296,0
Killybegs,Donegal,34,2,8,2,1030,238,1314,0
Killygordon,Donegal,110,0,0,0,652,116,878,0
Kilmacanogue,Wicklow,142,4,18,52,1032,142,1390,0
Kilmacow,Kilkenny,68,2,4,0,666,42,782,0
Kilmacrennan,Donegal,176,2,4,0,744,100,1026,0
Kilmacthomas,Waterford,38,2,10,0,810,192,1052,0
Kilmaine,Mayo,30,0,2,2,150,34,218,0
Kilmainhamwood,Meath,56,2,4,2,192,68,324,0
Kilmaley,Clare,38,2,0,2,354,12,408,0
Kilmallock,Limerick,36,2,10,2,1210,458,1718,0
Kilmead,Kildare,78,0,6,8,308,68,468,0
Kilmeaden,Waterford,22,0,0,0,476,6,504,0
Kilmeage,Kildare,168,2,4,14,1102,46,1336,0
Kilmessan,Meath,156,2,0,8,836,222,1224,0
Kilmihil,Clare,6,0,6,4,394,92,502,0
Kilmoganny,Kilkenny,22,0,0,0,226,24,272,0
Kilmore,Wexford,12,4,0,0,204,24,244,0
Kilmore Quay,Wexford,80,0,8,0,328,44,460,0
Kilmuckridge,Wexford,48,6,4,0,604,206,868,0
Kilmurry,Clare,56,0,2,0,248,30,336,0
Kilnaleck,Cavan,60,2,4,0,392,140,598,0
Kilpedder,Wicklow,178,6,12,54,1236,56,1542,0
Kilrush,Clare,36,2,10,6,1502,696,2252,0
Kilsheelan,Tipperary,124,0,2,0,876,102,1104,0
Kilteel,Kildare,42,4,0,8,270,4,328,0
Kilteely,Limerick,18,0,0,0,186,10,214,0
Kiltimagh,Mayo,30,2,10,12,1062,280,1396,0
Kilworth,Cork,142,4,10,0,1070,308,1534,0
Kingscourt,Cavan,140,0,20,6,2924,636,3726,0
Kinlough,Leitrim,138,0,18,2,1198,172,1528,0
Kinnegad,Westmeath,884,10,8,18,2380,656,3956,0
Kinnitty,Offaly,38,0,0,0,238,58,334,0
Kinsale,Cork,306,16,20,20,4692,1788,6842,0
Kinsaley,Dublin,112,0,2,92,742,86,1034,0
Kinsealy-Drinan,Dublin,1758,44,34,142,6546,2020,10544,0
Kinvarra,Galway,56,0,6,4,600,272,938,0
Knightstown,Kerry,32,6,0,0,164,28,230,0
Knock,Mayo,82,2,6,2,746,108,946,0
Knockananna,Wicklow,34,0,8,2,184,14,242,0
Knockbridge,Louth,118,4,2,4,728,164,1020,0
Knockcroghery,Roscommon,56,0,2,4,426,44,532,0
Knocklong,Limerick,26,0,4,0,200,14,244,0
Knocknagree,Cork,20,2,0,0,188,38,248,0
Knockraha,Cork,56,2,0,4,536,180,778,0
Knocktopher,Kilkenny,22,0,2,0,180,16,220,0
Lackaghbeg,Galway,116,0,8,2,584,156,866,0
Ladysbridge,Cork,228,2,0,8,872,40,1150,0
Laghy,Donegal,2,0,4,0,154,24,184,0
Lahardane,Mayo,36,0,0,0,222,18,276,0
Lanesborough-Ballyleague,Roscommon,108,2,2,16,1564,304,1996,0
Laragh,Wicklow,52,2,2,2,386,92,536,0
Laytown-Bettystown-Mornington-Donacarney,Meath,3678,46,40,836,13256,2456,20312,3
Leap,Cork,4,2,2,0,124,4,136,0
Legan,Longford,48,0,4,0,290,58,400,0
Lehinch,Clare,36,2,0,2,794,108,942,0
Leighlinbridge,Carlow,126,0,0,8,992,122,1248,0
Leitrim,Leitrim,80,0,4,6,696,126,912,0
Leixlip,Kildare,2236,94,32,1842,11794,4658,20656,3
Lemybrien,Waterford,20,0,6,0,272,6,304,0
Letterkenny,Donegal,2608,14,68,30,19522,3916,26158,3
Lifford,Donegal,192,0,8,2,1268,182,1652,0
Limerick city and suburbs,Limerick,9668,368,194,318,69568,30006,110122,2
Liscannor,Clare,6,0,0,0,100,6,112,0
Liscarroll,Cork,14,0,0,0,190,40,244,0
Lisdoonvarna,Clare,10,2,0,0,294,154,460,0
Lismore,Waterford,54,4,20,0,1030,510,1618,0
Lisronagh,Tipperary,26,2,2,0,230,16,276,0
Lissycasey,Clare,86,0,2,0,512,4,604,0
Listowel,Kerry,224,4,18,12,3958,884,5100,0
Littleton,Tipperary,60,0,2,4,286,82,434,0
Lixnaw,Kerry,128,2,4,0,794,70,998,0
Loch An Iúir,Donegal,72,0,0,0,310,26,408,0
Loch Gowna,Cavan,8,0,0,0,144,36,188,0
Longford,Longford,760,12,36,212,6942,3074,11036,0
Longwood,Meath,136,2,14,20,1482,706,2360,0
Loughglinn,Roscommon,10,0,4,2,154,34,204,0
Loughrea,Galway,418,8,20,10,5490,1404,7350,0
Loughshinny,Dublin,108,6,4,62,494,122,796,0
Louisburgh,Mayo,12,0,2,0,300,64,378,0
Louth,Louth,142,2,2,2,610,102,860,0
Lusk,Dublin,1536,48,22,634,7048,2784,12072,0
Lyre,Cork,22,0,0,0,148,50,220,0
Macroom,Cork,160,6,24,8,3924,1064,5186,0
Maigh Cuilinn,Galway,284,6,8,10,2096,442,2846,0
Malahide,Dublin,2010,46,44,3284,12698,4340,22422,3
Malin,Donegal,2,0,0,0,64,8,74,0
Mallow,Cork,582,22,62,428,12144,2932,16170,3
Manor Kilbride,Wicklow,20,0,4,2,184,6,216,0
Manorcunningham,Donegal,178,0,6,2,766,24,976,0
Manorhamilton,Leitrim,64,2,12,4,1306,522,1910,0
Maynooth,Kildare,1766,84,34,2166,12062,7018,23130,3
Midleton,Cork,976,32,24,718,13762,3020,18532,3
Milford,Cork,20,0,0,0,254,20,294,0
Milford,Donegal,74,4,8,0,932,160,1178,0
Millstreet,Cork,76,0,20,18,1642,314,2070,0
Milltown,Galway,28,0,4,2,242,8,284,0
Milltown,Kerry,70,2,4,4,1042,296,1418,0
Milltown,Kildare,28,4,14,12,366,26,450,0
Miltown Malbay,Clare,36,0,2,4,852,116,1010,0
Mitchelstown,Cork,110,4,4,2,3010,1094,4224,0
Moate,Westmeath,140,6,6,22,2698,558,3430,0
Model Village or Dripsey,Cork,56,0,4,0,306,10,376,0
Mogeely,Cork,64,4,2,4,554,24,652,0
Mohill,Leitrim,26,0,6,14,742,222,1010,0
Monaghan,Monaghan,466,10,22,22,6608,1998,9126,0
Monamolin,Wexford,58,0,0,0,252,18,328,0
Monard,Tipperary,28,0,6,8,260,50,352,0
Monasterevin,Kildare,530,10,26,248,5018,966,6798,0
Moneenroe,Kilkenny,60,0,6,2,744,62,874,0
Moneygall,Offaly,48,0,2,2,360,34,446,0
Monivea,Galway,26,0,4,8,508,62,608,0
Mooncoin,Kilkenny,72,0,6,6,976,214,1274,0
Moroe,Limerick,192,4,8,0,1510,232,1946,0
Mountbellew,Galway,32,0,2,2,788,126,950,0
Mountcharles,Donegal,98,2,4,2,660,82,848,0
Mountcollins,Limerick,22,2,4,0,220,4,252,0
Mountmellick,Laois,278,2,14,140,4194,1190,5818,0
Mountrath,Laois,160,4,10,26,1590,456,2246,0
Mountshannon,Clare,28,0,2,0,220,28,278,0
Moville,Donegal,106,2,6,2,1038,280,1434,0
Moylough,Galway,54,0,0,2,648,50,754,0
Mucklagh,Offaly,102,2,6,26,930,116,1182,0
Muff,Donegal,220,4,10,0,1458,108,1800,0
Muinebeag (Bagenalstown),Carlow,102,4,14,60,2138,1054,3372,0
Mullagh,Cavan,322,2,10,2,1490,304,2130,0
Mullaghmore,Sligo,10,0,4,2,114,8,138,0
Mullinahone,Tipperary,66,2,0,0,418,98,584,0
Mullinavat,Kilkenny,18,0,0,2,164,20,204,0
Mullingar,Westmeath,1004,64,90,544,19164,5576,26442,3
Mulranny,Mayo,52,0,0,0,206,52,310,0
Multyfarnham,Westmeath,42,0,4,4,360,96,506,0
Mungret,Limerick,42,0,0,2,422,38,504,0
Murntown,Wexford,28,2,0,0,376,32,438,0
Myrtleville,Cork,70,0,10,6,952,64,1102,0
Myshall,Carlow,52,0,0,2,260,26,340,0
Mín Lárach,Donegal,64,0,2,4,356,20,446,0
Na Dúnaibh,Donegal,122,0,6,0,502,38,668,0
Na Forbacha,Galway,80,0,0,4,812,124,1020,0
Naas,Kildare,2620,128,76,1500,23488,6738,34550,3
Narraghmore,Kildare,100,4,0,6,440,18,568,0
Naul,Dublin,104,0,6,26,712,128,976,0
Navan,Meath,4880,88,96,140,28866,9904,43974,3
Nenagh,Tipperary,450,14,24,22,8688,2992,12190,0
New Ross,Wexford,668,14,34,12,6710,1810,9248,0
Newbawn,Wexford,24,0,0,0,142,18,184,0
Newbliss,Monaghan,44,0,0,0,326,50,420,0
Newbridge,Kildare,1836,94,66,1736,20074,7288,31094,3
Newcastle,Dublin,780,20,10,126,4108,1034,6078,0
Newcastle,Tipperary,64,0,2,0,264,94,424,0
Newcastle,Wicklow,160,8,4,62,938,94,1266,0
Newcastle West,Limerick,444,4,14,12,6540,1564,8578,0
Newmarket,Cork,48,0,8,6,958,128,1148,0
Newmarket-On-Fergus,Clare,208,8,4,2,1848,286,2356,0
Newport,Mayo,68,0,8,2,652,134,864,0
Newport,Tipperary,112,2,6,0,2352,538,3010,0
Newtown,Cork,30,0,6,0,444,70,550,0
Newtown,Laois,36,0,2,0,274,18,330,0
Newtown,Tipperary,24,0,6,0,484,68,582,0
Newtowncunningham,Donegal,246,2,4,2,1014,176,1444,0
Newtownforbes,Longford,112,2,2,14,710,114,954,0
Newtownmountkennedy,Wicklow,670,14,26,68,3318,576,4672,0
Newtownsandes,Kerry,40,0,0,0,308,42,390,0
Nobber,Meath,28,0,0,0,280,152,460,0
Nurney,Kildare,84,0,6,16,440,114,660,0
O'Briensbridge-Montpelier,Clare,56,0,10,0,430,12,508,0
Oilgate,Wexford,40,0,4,0,352,46,442,0
Oldcastle,Meath,44,2,16,4,1108,604,1778,0
Oldtown,Dublin,92,2,6,2,530,54,686,0
Omeath,Louth,124,2,6,0,558,92,782,0
Oola,Limerick,36,0,2,4,258,28,328,0
Oram,Monaghan,16,0,4,0,164,24,208,0
Oranmore,Galway,436,18,10,120,5970,1400,7954,0
Oughterard,Galway,134,6,8,4,1696,336,2184,0
Oulart,Wexford,22,0,2,4,214,24,266,0
Palatine,Carlow,16,0,2,4,348,6,376,0
Pallasgreen,Limerick,52,0,2,0,202,20,276,0
Pallaskenry,Limerick,12,0,4,0,584,168,768,0
Parteen,Clare,32,2,4,4,776,160,978,0
Passage East,Waterford,40,4,2,0,712,74,832,0
Passage West-Monkstown,Cork,654,24,28,6,6240,678,7630,0
Patrickswell,Limerick,114,4,4,0,728,134,984,0
Paulstown,Kilkenny,154,2,2,0,996,132,1286,0
Pettigo,Donegal,20,0,2,0,96,16,134,0
Piercetown,Wexford,16,0,2,0,296,36,350,0
Piltown,Kilkenny,184,2,8,2,1212,208,1616,0
Pollagh,Offaly,54,0,2,0,178,18,252,0
Portarlington,Laois,1172,18,36,650,7934,1676,11486,0
Portlaoise,Laois,2156,64,84,792,20472,4610,28178,3
Portlaw,Waterford,380,8,4,2,1696,332,2422,0
Portmagee,Kerry,30,0,4,0,68,30,132,0
Portmarnock,Dublin,724,42,16,2170,6590,2954,12496,0
Portrane,Dublin,166,10,8,136,1006,118,1444,0
Portroe,Tipperary,62,0,6,0,454,44,566,0
Portumna,Galway,32,0,6,12,1286,448,1784,0
Prosperous,Kildare,310,6,8,34,2222,552,3132,0
Puckaun,Tipperary,24,0,0,0,222,28,274,0
Quigleys Point,Donegal,52,0,0,0,192,12,256,0
Quilty,Clare,6,0,0,0,176,8,190,0
Quin,Clare,104,4,6,2,1004,190,1310,0
Raharney,Westmeath,30,2,0,4,140,12,188,0
Ramelton,Donegal,204,0,6,0,1006,166,1382,0
Rampark,Louth,78,0,2,4,444,80,608,0
Rann Na Feirste,Donegal,74,0,2,0,324,30,430,0
Raphoe,Donegal,50,0,10,0,784,246,1090,0
Rathangan,Kildare,98,10,8,94,3268,784,4262,0
Rathard-Aherla,Cork,106,0,6,0,736,18,866,0
Rathcoffey,Kildare,56,0,2,12,314,64,448,0
Rathcoole,Cork,42,0,2,2,218,36,300,0
Rathcoole,Dublin,422,32,16,148,4636,2108,7362,0
Rathcormac,Cork,388,6,10,4,1890,518,2816,0
Rathdowney,Laois,54,0,4,24,1164,408,1654,0
Rathdrum,Wicklow,80,6,8,110,1974,614,2792,0
Rathkeale,Limerick,32,0,10,0,590,312,944,0
Rathmolyon,Meath,84,0,4,12,502,24,626,0
Rathmore,Kerry,126,2,6,12,868,40,1054,0
Rathmullan,Donegal,50,0,4,2,386,82,524,0
Rathnew,Wicklow,276,12,22,44,3490,818,4662,0
Rathowen,Westmeath,32,0,2,0,132,36,202,0
Rathtoe,Carlow,42,2,0,4,352,50,450,0
Rathvilly,Carlow,138,2,8,0,1012,146,1306,0
Ratoath,Meath,1544,32,18,116,9354,3642,14706,0
Rear Cross,Tipperary,20,0,6,0,114,36,176,0
Redcross,Wicklow,60,0,0,8,218,38,324,0
Rhode,Offaly,156,0,4,0,712,82,954,0
Ringaskiddy-Loughbeg,Cork,62,0,8,2,648,86,806,0
Rivermeade,Dublin,132,0,2,0,354,116,604,0
Riverstick,Cork,238,2,0,2,888,34,1164,0
Riverstown,Sligo,38,0,4,2,376,58,478,0
Robertstown,Kildare,86,2,4,6,792,72,962,0
Robinstown,Meath,74,0,4,2,396,108,584,0
Rochfortbridge,Westmeath,136,0,24,6,1194,468,1828,0
Rockcorry,Monaghan,46,2,4,0,264,46,362,0
Roosky,Leitrim,94,0,4,12,654,110,874,0
Roscommon,Roscommon,254,10,32,70,5814,1560,7740,0
Roscrea,Tipperary,388,8,52,22,4808,1314,6592,0
Rosegreen,Tipperary,22,0,0,0,216,34,272,0
Rosscahill,Galway,38,0,0,0,392,30,460,0
Rosscarbery,Cork,14,2,4,0,566,108,694,0
Rosses Point,Sligo,68,2,0,8,764,118,960,0
Rosslare,Wexford,218,2,8,32,1470,210,1940,0
Rosslare Harbour,Wexford,342,2,24,8,1712,258,2346,0
Roundstone,Galway,32,0,2,0,124,30,188,0
Roundwood,Wicklow,204,4,4,8,778,224,1222,0
Rush,Dublin,1790,56,62,1052,8350,2900,14210,3
Saggart,Dublin,346,30,2,418,2792,834,4422,0
Saleen,Cork,86,2,2,10,658,72,830,0
Sallins,Kildare,1018,28,18,1018,5270,1454,8806,0
Scarriff-Tuamgraney,Clare,18,0,6,0,470,172,666,0
Schull,Cork,14,4,6,0,432,180,636,0
Scotshouse,Monaghan,74,0,0,0,316,42,432,0
Scotstown,Monaghan,68,2,0,6,490,32,598,0
Shanagarry,Cork,90,2,8,12,700,78,890,0
Shanagolden,Limerick,12,0,0,0,130,8,150,0
Shanbally,Cork,32,2,0,0,402,68,504,0
Shanballymore,Cork,30,0,2,4,166,38,240,0
Shannon,Clare,696,34,38,12,8318,3710,12808,0
Shannonbridge,Offaly,36,0,0,0,98,6,140,0
Shercock,Cavan,70,0,2,2,500,212,786,0
Shillelagh,Wicklow,36,0,0,0,376,52,464,0
Shinrone,Offaly,82,0,6,4,498,108,698,0
Shrule,Mayo,50,0,0,0,364,32,446,0
Silvermines,Tipperary,36,2,2,0,280,26,346,0
Sixmilebridge,Clare,446,10,18,46,2966,478,3964,0
Skerries,Dublin,606,34,26,2244,6622,3734,13266,0
Skibbereen,Cork,68,2,12,2,2382,880,3346,0
Slane,Meath,340,2,6,2,1192,276,1818,0
Slieverue,Kilkenny,50,2,2,2,424,66,546,0
Sligo,Sligo,978,60,50,102,14140,7430,22760,3
Smithborough,Monaghan,80,0,2,0,550,52,684,0
Sneem,Kerry,46,0,0,0,184,146,376,0
Spa,Kerry,6,0,0,6,380,40,432,0
Spanish Point,Clare,8,0,0,10,220,16,254,0
St. Johnston,Donegal,90,0,0,0,410,76,576,0
Stamullen,Meath,614,4,10,202,3982,870,5682,0
Stoneyford,Kilkenny,14,0,0,2,252,26,294,0
Stradbally,Laois,186,0,10,18,1126,200,1540,0
Stradbally,Waterford,54,0,0,0,516,30,600,0
Straffan,Kildare,132,2,0,28,1148,260,1570,0
Strandhill,Sligo,134,2,4,16,1956,318,2430,0
Stratford,Wicklow,12,0,0,0,214,36,262,0
Strokestown,Roscommon,46,0,2,2,620,194,864,0
Summerhill,Meath,180,2,10,14,894,106,1206,0
Suncroft,Kildare,50,2,0,8,370,70,500,0
Swanlinbar,Cavan,24,0,6,0,114,94,238,0
Swinford,Mayo,44,0,4,2,1068,386,1504,0
Swords,Dublin,10364,282,90,422,32242,10730,54130,3
Taghmon,Wexford,112,0,12,0,430,152,706,0
Tagoat,Wexford,88,0,2,2,508,56,656,0
Tallanstown,Louth,110,0,0,8,634,134,886,0
Tallow,Waterford,166,0,4,0,712,258,1140,0
Tarbert,Kerry,10,0,2,0,360,148,520,0
Templemore,Tipperary,34,8,12,54,1582,620,2310,0
Templetuohy,Tipperary,24,0,0,0,212,40,276,0
Termonbarry,Roscommon,82,4,2,10,772,46,916,0
Termonfeckin,Louth,298,4,8,40,1942,198,2490,0
The Ballagh,Wexford,62,0,6,0,574,50,692,0
The Commons,Tipperary,8,2,0,4,104,34,152,0
The Swan,Laois,48,0,0,4,270,32,354,0
Thomastown,Kilkenny,150,4,14,34,2110,590,2902,0
Three Mile House,Monaghan,22,0,2,0,130,20,174,0
Thurles,Tipperary,184,10,34,184,6750,2124,9286,0
Tievebane,Donegal,70,2,6,2,490,46,616,0
Timoleague,Cork,46,0,0,0,266,176,488,0
Tinahely,Wicklow,184,4,10,4,902,142,1246,0
Tinryland,Carlow,40,0,8,4,338,30,420,0
Tinure,Louth,142,0,0,8,490,122,762,0
Tipperary,Tipperary,150,8,20,76,3982,1458,5694,0
Toomevara,Tipperary,24,0,0,0,186,56,266,0
Toornafulla,Limerick,28,0,0,0,218,20,266,0
Tower,Cork,322,4,2,0,3950,148,4426,0
Tralee,Kerry,1118,48,70,90,19390,6268,26984,3
Tramore,Waterford,818,30,28,48,10600,2378,13902,0
Trim,Meath,1174,18,30,46,8642,2302,12212,0
Tuam,Galway,670,22,34,14,8108,2162,11010,0
Tubbercurry,Sligo,160,6,14,8,1916,410,2514,0
Tulla,Clare,28,0,6,4,684,180,902,0
Tullaghan,Leitrim,12,0,4,0,312,12,340,0
Tullamore,Offaly,1274,28,52,446,12244,3828,17872,3
Tullow,Carlow,278,0,20,16,4516,1304,6134,0
Tullyallen,Louth,388,6,4,28,1674,370,2470,0
Tulsk,Roscommon,22,0,2,4,184,20,232,0
Turlough,Mayo,36,0,2,0,572,8,618,0
Turloughmore,Galway,30,0,2,0,298,4,334,0
Two Mile House,Kildare,76,0,2,22,522,80,702,0
Twomileborris,Tipperary,34,0,2,8,514,50,608,0
Tyrrellspass,Westmeath,42,0,2,2,306,74,426,0
Unionhall,Cork,54,0,0,0,302,66,422,0
Urlingford,Kilkenny,120,2,10,12,876,312,1332,0
Villierstown,Waterford,50,0,2,0,240,46,338,0
Virginia,Cavan,282,6,18,10,2730,878,3924,0
Walsh Island or Coolagary,Offaly,68,0,4,8,368,92,540,0
Waterford city and suburbs,Waterford,3786,284,186,182,48764,14232,67434,2
Watergrasshill,Cork,302,0,16,2,2004,456,2780,0
Waterville,Kerry,102,0,6,0,388,108,604,0
Westport,Mayo,358,12,10,50,5124,2274,7828,0
Wexford,Wexford,980,52,66,82,17430,5748,24358,3
Whitechurch,Cork,66,4,4,0,1048,12,1134,0
Whitegate,Clare,18,0,2,0,172,8,200,0
Whitegate,Cork,234,2,4,10,1398,90,1738,0
Wicklow,Wicklow,1070,38,40,464,11564,2834,16010,3
Williamstown,Galway,10,0,2,0,176,28,216,0
Woodford,Galway,2,0,4,0,244,26,276,0
Youghal,Cork,786,12,36,22,7088,1338,9282,0
