Town,County,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Ballyhaunis,Mayo,180,2,12,26,1724,950,2894,0
Ballyheigue,Kerry,120,0,2,4,378,42,546,0
Ballyhogue,Wexford,60,0,0,0,252,22,334,0
Ballyhooly,Cork,80,0,0,0,606,124,810,0
Ballyjamesduff,Cavan,164,2,16,4,2534,1082,3802,0
Ballyknockan,Wicklow,56,0,0,0,238,6,300,0
Ballylanders,Limerick,36,0,2,0,266,88,392,0
Ballyliffin,Donegal,82,0,2,0,374,46,504,0
Ballylinan,Laois,206,2,12,32,1176,148,1576,0
Ballylongford,Kerry,66,0,4,0,354,18,442,0
Ballymacarbry,Waterford,24,0,0,0,138,14,176,0
Ballymacoda,Cork,62,2,0,0,218,0,282,0
Ballymahon,Longford,40,2,2,6,1162,524,1736,0
Ballymore,Westmeath,64,0,8,8,500,50,630,0
Ballymore Eustace,Kildare,112,0,0,12,600,92,816,0
Ballymote,Sligo,98,4,4,18,1534,364,2022,0
Ballymurn,Wexford,84,2,2,2,690,78,858,0
Ballynacargy,Westmeath,28,0,0,0,128,48,204,0
Ballynacarrow,Sligo,18,0,0,0,256,28,302,0
Ballyneety,Limerick,36,0,0,2,682,18,738,0
Ballynoe,Cork,50,0,0,0,208,6,264,0
Ballyoulster,Kildare,80,2,2,10,336,60,490,0
Ballyporeen,Tipperary,42,0,4,2,252,60,360,0
Ballyragget,Kilkenny,148,0,10,4,952,188,1302,0
Ballyroan,Laois,102,0,6,4,712,64,888,0
Ballyroe,Kildare,24,0,2,4,160,36,226,0
Ballysadare,Sligo,88,4,10,10,2012,272,2396,0
Ballyshannon,Donegal,124,2,4,6,1626,514,2276,0
Ballysimon,Wexford,32,0,12,0,356,40,440,0
Ballyvaughan,Clare,34,0,2,0,94,48,178,0
Balrothery,Dublin,380,10,4,84,2030,498,3006,0
Baltimore,Cork,86,2,8,4,272,90,462,0
Baltinglass,Wicklow,104,4,8,12,2014,774,2916,0
Baltray,Louth,10,0,0,4,166,2,182,0
Banagher,Offaly,62,0,12,6,1372,586,2038,0
Bandon,Cork,808,18,44,18,7458,1716,10062,0
Bangor Erris,Mayo,50,0,4,0,266,70,390,0
Bansha,Tipperary,42,0,0,6,256,62,366,0
Banteer,Cork,36,0,2,10,312,50,410,0
Bantry,Cork,102,2,12,2,2240,780,3138,0
Barndarrig,Wicklow,54,0,2,2,256,10,324,0
Barntown,Wexford,34,0,0,4,526,26,590,0
Baylin,Westmeath,14,0,0,6,340,26,386,0
Bearna,Galway,144,8,10,8,2436,362,2968,0
Beaufort,Kerry,26,0,2,2,280,18,328,0
Beaulieu,Louth,12,2,6,4,230,12,266,0
Belcarra,Mayo,12,0,0,0,180,36,228,0
Belgooly,Cork,206,0,2,6,888,140,1242,0
Bellanagare,Roscommon,12,0,4,0,124,14,154,0
Bellanode,Monaghan,64,0,2,0,484,22,572,0
Bellavary,Mayo,20,0,0,0,186,34,240,0
Belmont,Offaly,12,0,0,0,152,14,178,0
Belturbet,Cavan,120,0,4,6,1154,306,1590,0
Bennettsbridge,Kilkenny,72,0,8,2,600,100,782,0
Birr,Offaly,152,2,24,36,3602,1314,5130,0
Blacklion,Cavan,8,0,0,4,162,22,196,0
Blackwater,Wexford,60,0,0,2,390,62,514,0
Blarney,Cork,198,4,2,8,2798,370,3380,0
Blessington,Wicklow,808,20,16,52,5150,1570,7616,0
Boherbue,Cork,8,0,0,0,406,118,532,0
Boherlahan,Tipperary,16,0,2,4,170,20,212,0
Bohola,Mayo,26,0,0,0,170,10,206,0
Bonniconlon,Mayo,12,0,0,0,204,36,252,0
Borris,Carlow,20,0,4,6,438,164,632,0
Borris-In-Ossory,Laois,104,0,4,6,538,124,776,0
Borrisokane,Tipperary,62,6,2,0,808,330,1208,0
Borrisoleigh,Tipperary,12,2,12,8,662,134,830,0
Boyle,Roscommon,136,0,14,20,1886,684,2740,0
Bracknagh,Offaly,28,0,4,4,238,16,290,0
Brannockstown,Kildare,8,4,2,10,254,10,288,0
Bray,Wicklow,4460,170,114,3360,22580,8834,39518,3
Bree,Wexford,34,0,0,2,318,58,412,0
Bridebridge,Cork,24,2,4,0,204,28,262,0
Bridge End,Donegal,50,0,4,0,360,52,466,0
Bridgetown,Wexford,80,0,0,0,446,92,618,0
Brittas,Dublin,26,0,2,4,168,2,202,0
Broadford,Clare,36,0,4,0,328,56,424,0
Broadford,Limerick,12,0,2,0,194,48,256,0
Brosna,Kerry,16,0,0,0,130,14,160,0
Bruff,Limerick,106,0,8,4,756,172,1046,0
Bruree,Limerick,62,0,4,0,600,56,722,0
Bun Na Leaca,Donegal,148,0,0,0,422,26,596,0
Bunclody,Wexford,52,2,4,12,1474,456,2000,0
Buncrana,Donegal,374,0,48,4,6672,1124,8222,0
Bundoran,Donegal,122,2,6,12,1906,720,2768,0
Bunratty,Clare,36,2,0,2,338,12,390,0
Burnfoot,Donegal,92,0,6,0,378,10,486,0
Butlersbridge,Cavan,20,0,4,0,260,46,330,0
Buttevant,Cork,52,2,2,8,836,208,1108,0
Bweeng,Cork,96,0,4,2,908,82,1092,0
Béal An Mhuirthead,Mayo,50,0,4,2,854,274,1184,0
Béal Átha An Ghaorthaidh,Cork,2,0,0,0,246,46,294,0
Caherconlish,Limerick,236,0,2,2,1498,180,1918,0
Cahir,Tipperary,308,2,12,20,2970,832,4144,0
Cahirciveen,Kerry,56,2,2,2,672,372,1106,0
Callan,Kilkenny,182,4,6,8,2396,656,3252,0
Calverstown,Kildare,132,0,2,28,760,20,942,0
Camolin,Wexford,66,4,10,0,352,64,496,0
Campile,Wexford,114,0,2,0,262,12,390,0
Cappamore,Limerick,80,6,6,0,470,166,728,0
Cappawhite,Tipperary,36,0,0,4,334,78,452,0
Cappoquin,Waterford,116,0,4,0,566,162,848,0
Carlanstown,Meath,94,2,6,0,826,138,1066,0
Carlingford,Louth,174,2,4,10,1120,268,1578,0
Carlow,Carlow,1208,122,114,478,22762,7268,31952,3
Carndonagh,Donegal,204,0,22,4,2462,456,3148,0
Carnew,Wicklow,32,0,4,10,908,400,1354,0
Carney,Sligo,118,0,2,4,458,12,594,0
Carragh,Kildare,188,0,0,92,1018,220,1518,0
Carraig Airt,Donegal,54,0,0,0,204,26,284,0
Carrick-On-Shannon,Leitrim,176,10,14,54,4310,1096,5660,0
Carrick-on-Suir,Tipperary,584,6,6,14,4312,1232,6154,0
Carrickmacross,Monaghan,482,8,38,2,4738,1574,6842,0
Carrig on Bannow,Wexford,84,0,2,0,322,50,458,0
Carrigaline,Cork,1796,58,64,26,20048,3152,25144,3
Carrigallen,Leitrim,10,0,0,6,426,144,586,0
Carrigans,Donegal,54,0,2,2,374,18,450,0
Carrigkerry,Limerick,26,0,0,0,154,20,200,0
Carrignavar,Cork,4,0,2,4,636,114,760,0
Carrigtwohill,Cork,396,32,12,186,5990,1530,8146,0
Carrowkeel,Donegal,62,0,0,0,274,68,404,0
Cashel,Tipperary,166,4,20,22,3842,1466,5520,0
Castlebar,Mayo,460,12,46,52,11318,3494,15382,3
Castlebellingham-Kilsaran,Louth,150,6,4,8,962,134,1264,0
Castleblayney,Monaghan,178,6,24,10,3394,1050,4662,0
Castlebridge,Wexford,176,6,4,6,1956,250,2398,0
