,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification,Public,Private,Public to Private Ratio
216,Carney,Sligo,54.3386704,-8.5277091,118,0,2,4,458,12,594,0,Town (Small),122,458,0.2663755458515284
217,Carragh,Kildare,53.2371324,-6.7289787,188,0,0,92,1018,220,1518,0,Town (Small),280,1018,0.275049115913556
218,Carraig Airt,Donegal,55.1775506,-7.793277699999999,54,0,0,0,204,26,284,0,Town (Small),54,204,0.2647058823529412
219,Carrick-On-Shannon,Leitrim,53.945181,-8.0863766,176,10,14,54,4310,1096,5660,0,Town (Small),230,4320,0.05324074074074074
220,Carrick-on-Suir,Tipperary,52.3467186,-7.414770799999999,584,6,6,14,4312,1232,6154,0,Town (Small),598,4318,0.13849004168596574
221,Carrickmacross,Monaghan,53.9779778,-6.7188238,482,8,38,2,4738,1574,6842,0,Town (Small),484,4746,0.10198061525495154
222,Carrig on Bannow,Wexford,52.2385344,-6.7321656,84,0,2,0,322,50,458,0,Town (Small),84,322,0.2608695652173913
223,Carrigaline,Cork,51.8164452,-8.3912494,1796,58,64,26,20048,3152,25144,3,Town (Medium),1822,20106,0.09061971550780862
224,Carrigallen,Leitrim,53.9769348,-7.644325899999999,10,0,0,6,426,144,586,0,Town (Small),16,426,0.03755868544600939
225,Carrigans,Donegal,54.9512185,-7.428285199999999,54,0,2,2,374,18,450,0,Town (Small),56,374,0.1497326203208556
226,Carrigkerry,Limerick,52.49449,-9.1486153,26,0,0,0,154,20,200,0,Town (Small),26,154,0.16883116883116883
227,Carrignavar,Cork,51.9891078,-8.477924,4,0,2,4,636,114,760,0,Town (Small),8,636,0.012578616352201259
228,Carrigtwohill,Cork,51.9094919,-8.2589402,396,32,12,186,5990,1530,8146,0,Town (Small),582,6022,0.0966456326801727
229,Carrowkeel,Donegal,55.137713,-7.663875699999999,62,0,0,0,274,68,404,0,Town (Small),62,274,0.22627737226277372
230,Cashel,Tipperary,52.51590969999999,-7.8915829,166,4,20,22,3842,1466,5520,0,Town (Small),188,3846,0.048881955278211126
231,Castlebar,Mayo,53.8550014,-9.287925699999999,460,12,46,52,11318,3494,15382,3,Town (Medium),512,11330,0.04518976169461606
232,Castlebellingham-Kilsaran,Louth,53.89811,-6.3895,150,6,4,8,962,134,1264,0,Town (Small),158,968,0.16322314049586778
233,Castleblayney,Monaghan,54.120659,-6.7397374,178,6,24,10,3394,1050,4662,0,Town (Small),188,3400,0.05529411764705883
234,Castlebridge,Wexford,52.3824281,-6.4502872,176,6,4,6,1956,250,2398,0,Town (Small),182,1962,0.09276248725790011
235,Castlecomer,Kilkenny,52.8052843,-7.210312699999998,66,2,0,6,1230,328,1632,0,Town (Small),72,1232,0.05844155844155844
236,Castleconnell,Limerick,52.7129297,-8.500052499999999,350,8,18,16,2466,320,3178,0,Town (Small),366,2474,0.14793856103476152
237,Castledermot,Kildare,52.9118755,-6.837567,62,0,16,18,1506,450,2052,0,Town (Small),80,1506,0.05312084993359894
238,Castlefinn,Donegal,54.802999,-7.5895814,152,0,8,2,514,104,780,0,Town (Small),154,514,0.29961089494163423
239,Castlegregory,Kerry,52.25346510000001,-10.0207218,12,2,4,2,352,62,434,0,Town (Small),14,354,0.03954802259887006
240,Castleisland,Kerry,52.2328974,-9.4601492,84,0,16,4,2208,476,2788,0,Town (Small),88,2208,0.03985507246376811
241,Castlelyons,Cork,52.0885669,-8.233699,70,0,0,0,484,14,568,0,Town (Small),70,484,0.1446280991735537
242,Castlemagner,Cork,51.8985143,-8.4756035,42,0,8,6,452,2,510,0,Town (Small),48,452,0.10619469026548672
243,Castlemaine,Kerry,52.1684322,-9.7014756,6,0,2,0,184,12,204,0,Town (Small),6,184,0.03260869565217391
244,Castlemartyr,Cork,51.9119477,-8.0535486,286,4,10,6,1402,390,2098,0,Town (Small),292,1406,0.20768136557610242
245,Castlepollard,Westmeath,53.6800722,-7.2964508,56,0,6,4,1052,310,1428,0,Town (Small),60,1052,0.057034220532319393
246,Castlerea,Roscommon,53.7686571,-8.4924537,104,6,22,38,1510,336,2016,0,Town (Small),142,1516,0.09366754617414248
247,Castletown,Laois,52.9774693,-7.4995604,46,0,2,4,422,70,544,0,Town (Small),50,422,0.11848341232227488
248,Castletown Geoghegan,Westmeath,53.4462801,-7.487606899999999,38,0,2,4,274,30,348,0,Town (Small),42,274,0.15328467153284672
249,Castletownbere,Cork,51.65149539999999,-9.910330199999999,12,0,4,0,756,384,1156,0,Town (Small),12,756,0.015873015873015872
250,Castletownroche,Cork,52.1731113,-8.4634479,40,0,6,4,384,114,548,0,Town (Small),44,384,0.11458333333333333
251,Castletownshend,Cork,51.5265757,-9.179386899999999,6,0,2,2,126,14,150,0,Town (Small),8,126,0.06349206349206349
252,Causeway,Kerry,52.41442199999999,-9.7330771,2,0,2,0,184,30,218,0,Town (Small),2,184,0.010869565217391304
253,Cavan,Cavan,53.9897186,-7.3633319,846,20,48,26,10680,2234,13854,3,Town (Medium),872,10700,0.08149532710280374
254,Celbridge,Kildare,53.3383911,-6.5397633,3912,124,34,892,16910,5594,27466,3,Town (Medium),4804,17034,0.2820241869202771
255,Charlestown-Bellahy,Mayo,53.964167,-8.795278,54,0,12,2,1072,322,1462,0,Town (Small),56,1072,0.05223880597014925
256,Charleville,Cork,52.3556889,-8.6840314,182,10,16,12,3144,968,4332,0,Town (Small),194,3154,0.061509194673430564
257,Cheekpoint,Waterford,52.2698641,-7.0009247,20,0,6,4,242,10,282,0,Town (Small),24,242,0.09917355371900827
258,Churchtown,Cork,52.2713057,-8.730869199999999,60,0,0,16,570,162,808,0,Town (Small),76,570,0.13333333333333333
259,Cill Charthaigh,Donegal,54.6323944,-8.5894621,54,0,2,0,344,50,450,0,Town (Small),54,344,0.1569767441860465
260,Cill Rónáin,Galway,53.1232125,-9.670372799999999,16,0,4,2,114,96,232,0,Town (Small),18,114,0.15789473684210525
261,Clane,Kildare,53.293785,-6.6870404,946,24,18,178,7760,2064,10990,0,Town (Small),1124,7784,0.14439876670092497
262,Clara,Offaly,53.3425103,-7.613480099999999,184,4,14,80,3092,654,4028,0,Town (Small),264,3096,0.08527131782945736
263,Claremorris,Mayo,53.72387639999999,-9.0017356,474,16,6,26,3320,736,4578,0,Town (Small),500,3336,0.1498800959232614
264,Clarina,Limerick,52.63209,-8.73269,42,0,2,0,682,36,762,0,Town (Small),42,682,0.06158357771260997
265,Clarinbridge,Galway,53.2293077,-8.8773824,112,0,4,8,994,88,1206,0,Town (Small),120,994,0.12072434607645875
266,Clashmore,Waterford,52.0093569,-7.8188756,54,2,0,0,256,46,358,0,Town (Small),54,258,0.20930232558139536
267,Clifden,Galway,53.4891345,-10.0202388,64,0,6,6,712,504,1292,0,Town (Small),70,712,0.09831460674157304
268,Cliffony,Sligo,54.430559,-8.453432399999999,52,2,6,0,454,58,572,0,Town (Small),52,456,0.11403508771929824
269,Clogh,Kilkenny,52.8710161,-7.1642467,42,0,4,2,274,14,336,0,Town (Small),44,274,0.16058394160583941
270,Cloghan,Offaly,53.2252399,-7.8825143,76,0,8,2,590,74,750,0,Town (Small),78,590,0.13220338983050847
271,Clogheen,Tipperary,52.2770794,-7.9951028,60,4,0,0,418,62,544,0,Town (Small),60,422,0.14218009478672985
272,Clogherhead,Louth,53.7916777,-6.2388506,482,2,22,36,2056,518,3116,0,Town (Small),518,2058,0.25170068027210885
273,Cloghfin,Donegal,54.653827,-8.1096142,20,0,0,0,120,4,144,0,Town (Small),20,120,0.16666666666666666
274,Clonakilty,Cork,51.6203379,-8.905510399999999,204,10,12,8,4000,1796,6030,0,Town (Small),212,4010,0.05286783042394015
275,Clonard,Meath,53.4515329,-7.0231073,78,2,2,6,326,24,438,0,Town (Small),84,328,0.25609756097560976
276,Clonaslee,Laois,53.1486014,-7.524369599999999,20,2,4,4,632,84,746,0,Town (Small),24,634,0.03785488958990536
277,Clonbullogue,Offaly,53.26068309999999,-7.086431,46,2,2,6,314,58,428,0,Town (Small),52,316,0.16455696202531644
278,Clondrohid,Cork,51.9292332,-9.022767499999999,22,0,2,0,212,18,254,0,Town (Small),22,212,0.10377358490566038
279,Clondulane,Cork,52.1421634,-8.2203365,4,2,2,0,554,96,658,0,Town (Small),4,556,0.007194244604316547
280,Clonee,Meath,53.4105621,-6.4426,200,16,2,48,1060,200,1526,0,Town (Small),248,1076,0.23048327137546468
281,Clonegall,Carlow,52.6948009,-6.6477303,10,0,6,0,202,60,278,0,Town (Small),10,202,0.04950495049504951
282,Clones,Monaghan,54.1796829,-7.230667100000001,72,2,10,4,1258,818,2164,0,Town (Small),76,1260,0.06031746031746032
283,Clongeen,Wexford,52.2978897,-6.7727531,46,0,0,2,212,22,282,0,Town (Small),48,212,0.22641509433962265
284,Clonlara,Clare,52.7238329,-8.5528365,52,0,4,2,840,118,1016,0,Town (Small),54,840,0.06428571428571428
285,Clonmany,Donegal,55.2628052,-7.411610800000001,104,0,6,2,438,58,608,0,Town (Small),106,438,0.2420091324200913
286,Clonmel,Tipperary,52.3623523,-7.7007084,756,50,46,32,16448,3590,20922,3,Town (Medium),788,16498,0.04776336525639471
287,Clonmellon,Westmeath,53.6640717,-7.0183933,102,0,8,4,670,136,920,0,Town (Small),106,670,0.1582089552238806
288,Clonroche,Wexford,52.4496872,-6.7174157,30,0,0,0,212,62,304,0,Town (Small),30,212,0.14150943396226415
289,Clontibret,Monaghan,54.2054431,-6.8415402,40,0,0,2,216,32,290,0,Town (Small),42,216,0.19444444444444445
290,Clonygowan,Offaly,53.1874518,-7.2804446,32,0,4,20,306,74,436,0,Town (Small),52,306,0.16993464052287582
291,Cloonfad,Roscommon,53.6867556,-8.75182,26,0,6,0,378,70,480,0,Town (Small),26,378,0.06878306878306878
292,Cloontuskert,Roscommon,53.70606859999999,-8.0028889,10,2,0,2,180,16,210,0,Town (Small),12,182,0.06593406593406594
293,Cloughduv,Cork,51.8473203,-8.7880041,68,0,2,0,450,88,608,0,Town (Small),68,450,0.1511111111111111
294,Cloughjordan,Tipperary,52.9429442,-8.0383372,128,2,8,14,392,228,772,0,Town (Small),142,394,0.3604060913705584
295,Cloyne,Cork,51.8630971,-8.121236999999999,306,12,12,30,1926,388,2674,0,Town (Small),336,1938,0.17337461300309598
296,Cluain Bú,Galway,53.5137007,-8.6601381,88,0,4,0,498,8,598,0,Town (Small),88,498,0.17670682730923695
297,Coachford,Cork,51.909471,-8.788960099999999,12,0,2,0,416,140,570,0,Town (Small),12,416,0.028846153846153848
298,Cobh,Cork,51.8530415,-8.295090499999999,1398,30,116,606,12322,3338,17810,3,Town (Medium),2004,12352,0.16224093264248704
299,Coill Dubh (Blackwood),Kildare,53.2931573,-6.818584400000001,234,6,4,10,1402,198,1854,0,Town (Small),244,1408,0.17329545454545456
300,Collinstown,Westmeath,53.64747149999999,-7.212159999999999,36,2,0,0,304,66,408,0,Town (Small),36,306,0.11764705882352941
301,Collon,Louth,53.7777425,-6.4840991,242,0,2,4,732,188,1168,0,Town (Small),246,732,0.3360655737704918
302,Collooney,Sligo,54.1849522,-8.4865545,146,0,2,12,1894,346,2400,0,Town (Small),158,1894,0.08342133051742344
303,Conna,Cork,52.0931079,-8.1073545,118,0,4,0,542,96,760,0,Town (Small),118,542,0.2177121771217712
304,Convoy,Donegal,54.859725,-7.6654466,196,0,6,0,1484,182,1868,0,Town (Small),196,1484,0.1320754716981132
305,Coolaney,Sligo,54.17380929999999,-8.6008023,164,4,6,6,1478,42,1700,0,Town (Small),170,1482,0.11470985155195682
306,Coolboy,Wicklow,52.7620319,-6.462780299999999,54,0,2,0,314,6,376,0,Town (Small),54,314,0.17197452229299362
307,Coolgreany,Wexford,52.7647077,-6.2360077,30,4,6,4,356,40,440,0,Town (Small),34,360,0.09444444444444444
308,Cootehall,Roscommon,53.9841688,-8.1580069,52,2,4,2,300,2,362,0,Town (Small),54,302,0.17880794701986755
309,Cootehill,Cavan,54.0725034,-7.0823541,234,0,6,2,1564,416,2222,0,Town (Small),236,1564,0.15089514066496162
310,Cork city and suburbs,Cork,51.8985143,-8.4756035,25718,868,648,1218,170530,59804,258786,4,City (Large),26936,171398,0.15715469258684464
311,Corofin,Clare,52.9448216,-9.0640874,158,0,0,2,676,76,912,0,Town (Small),160,676,0.23668639053254437
312,Corrandulla,Galway,53.3991608,-8.995794499999999,70,2,0,0,400,74,546,0,Town (Small),70,402,0.17412935323383086
313,Corrofin,Galway,53.437565,-8.8602715,158,0,4,2,906,14,1084,0,Town (Small),160,906,0.17660044150110377
314,Courtbrack,Cork,51.8808748,-8.4785161,26,0,4,0,676,0,706,0,Town (Small),26,676,0.038461538461538464
315,Courtmacsherry,Cork,51.63385539999999,-8.7059339,118,0,2,2,508,38,668,0,Town (Small),120,508,0.23622047244094488
316,Courtown,Wexford,52.6448624,-6.2286169,676,4,22,28,3416,548,4694,0,Town (Small),704,3420,0.20584795321637428
317,Cratloe,Clare,52.6985433,-8.762853699999999,52,4,4,2,910,44,1016,0,Town (Small),54,914,0.05908096280087528
318,Craughwell,Galway,53.2302689,-8.7347736,162,0,6,10,1250,38,1466,0,Town (Small),172,1250,0.1376
319,Creeslough,Donegal,55.12334970000001,-7.909467599999999,64,0,0,0,266,68,398,0,Town (Small),64,266,0.24060150375939848
320,Crinkill,Offaly,53.07837860000001,-7.8970751,28,0,0,6,728,158,920,0,Town (Small),34,728,0.046703296703296704
321,Cromane,Kerry,52.1061221,-9.898534699999999,4,0,0,0,222,16,242,0,Town (Small),4,222,0.018018018018018018
322,Crookstown,Cork,51.84242700000001,-8.830431899999999,32,0,0,0,194,8,234,0,Town (Small),32,194,0.16494845360824742
323,Croom,Limerick,52.519036,-8.7174345,26,2,0,0,658,266,952,0,Town (Small),26,660,0.03939393939393939
324,Crossakeel,Meath,53.71411920000001,-7.020536799999999,30,0,0,2,230,8,270,0,Town (Small),32,230,0.1391304347826087
325,Crossbarry,Cork,51.8020473,-8.6453657,156,0,4,0,434,4,598,0,Town (Small),156,434,0.35944700460829493
326,Crosshaven,Cork,51.8022632,-8.2904494,222,10,12,6,3290,610,4150,0,Town (Small),228,3300,0.06909090909090909
327,Crossmolina,Mayo,54.100342,-9.3158456,24,2,4,0,1126,166,1322,0,Town (Small),24,1128,0.02127659574468085
328,Crusheen,Clare,52.9386532,-8.8967688,60,2,2,4,786,88,942,0,Town (Small),64,788,0.08121827411167512
329,Culdaff,Donegal,55.2859437,-7.165135100000001,54,2,2,2,352,24,436,0,Town (Small),56,354,0.15819209039548024
330,Curragh Camp,Kildare,53.1474495,-6.8299723,126,6,4,18,974,102,1230,0,Town (Small),144,980,0.1469387755102041
331,Cut Bush,Kildare,53.1237168,-6.8326039,48,0,2,12,306,58,426,0,Town (Small),60,306,0.19607843137254902
332,Daingean,Offaly,53.2960818,-7.291967,182,4,10,22,1048,198,1464,0,Town (Small),204,1052,0.19391634980988592
333,Delvin,Westmeath,53.6125653,-7.0917224,134,2,4,6,608,62,816,0,Town (Small),140,610,0.22950819672131148
334,Derrinturn,Kildare,53.3395275,-6.9399818,402,0,10,18,1638,346,2414,0,Town (Small),420,1638,0.2564102564102564
335,Dingle-Daingean Uí Chuis,Kerry,52.1408534,-10.2671142,42,8,8,12,804,718,1592,0,Town (Small),54,812,0.0665024630541872
336,Doirí Beaga,Donegal,55.0743448,-8.294187299999999,52,0,6,0,622,72,752,0,Town (Small),52,622,0.08360128617363344
337,Donabate,Dublin,53.4853365,-6.1504482,812,40,18,2780,6622,3226,13498,0,Town (Small),3592,6662,0.5391774241969378
338,Donard,Wicklow,53.0222351,-6.6130978,24,0,2,0,204,48,278,0,Town (Small),24,204,0.11764705882352941
339,Donaskeigh,Tipperary,52.5218302,-8.0647868,18,0,4,0,188,10,220,0,Town (Small),18,188,0.09574468085106383
340,Donegal,Donegal,54.653827,-8.1096142,84,6,14,2,2324,524,2954,0,Town (Small),86,2330,0.03690987124463519
341,Doneraile,Cork,52.2151735,-8.585977399999999,14,2,2,8,742,178,946,0,Town (Small),22,744,0.02956989247311828
342,Donore,Meath,53.6921097,-6.4172506,140,2,0,10,698,178,1028,0,Town (Small),150,700,0.21428571428571427
343,Doohamlat,Monaghan,54.1287354,-6.823994600000001,32,0,0,0,292,64,388,0,Town (Small),32,292,0.1095890410958904
344,Doon,Limerick,52.6043221,-8.248491699999999,16,2,8,2,600,164,792,0,Town (Small),18,602,0.029900332225913623
345,Doonbeg,Clare,52.7308501,-9.5259951,22,0,2,0,182,60,266,0,Town (Small),22,182,0.12087912087912088
346,Drangan,Tipperary,52.5170482,-7.583662700000001,8,0,4,0,132,10,154,0,Town (Small),8,132,0.06060606060606061
347,Drimoleague,Cork,51.6599357,-9.261245299999999,48,0,2,0,438,68,556,0,Town (Small),48,438,0.1095890410958904
348,Drogheda,Louth,53.717856,-6.3560985,6686,136,126,1208,31176,13690,53022,3,Town (Medium),7894,31312,0.2521078180889116
349,Dromahair,Leitrim,54.2306704,-8.3026235,90,2,0,0,964,178,1234,0,Town (Small),90,966,0.09316770186335403
350,Dromina,Cork,52.3117507,-8.8012075,14,0,2,0,298,44,358,0,Town (Small),14,298,0.04697986577181208
351,Dromineer,Tipperary,52.9248849,-8.2756534,0,0,0,0,80,6,86,0,Town (Small),0,80,0.0
352,Dromiskin,Louth,53.9217123,-6.401009200000001,188,4,2,8,1318,150,1670,0,Town (Small),196,1322,0.14826021180030258
353,Drommahane,Cork,52.1056038,-8.6908349,78,2,10,18,960,196,1264,0,Town (Small),96,962,0.0997920997920998
354,Dromore West,Sligo,54.2495094,-8.8799262,70,0,4,0,270,20,364,0,Town (Small),70,270,0.25925925925925924
355,Drumcollogher,Limerick,52.3396079,-8.9076419,4,0,8,2,436,100,550,0,Town (Small),6,436,0.013761467889908258
356,Drumconrath,Meath,53.8515966,-6.6563415,76,0,6,2,326,60,470,0,Town (Small),78,326,0.2392638036809816
357,Drumkeen,Donegal,54.8660308,-7.7513945,38,2,4,0,366,22,432,0,Town (Small),38,368,0.10326086956521739
358,Drumkeeran,Leitrim,54.16940899999999,-8.142664,6,0,0,2,184,70,262,0,Town (Small),8,184,0.043478260869565216
359,Drumlish,Longford,53.82059030000001,-7.768414,230,0,18,18,976,172,1414,0,Town (Small),248,976,0.2540983606557377
360,Drumod,Leitrim,53.8575697,-7.9208348,156,4,2,26,668,30,886,0,Town (Small),182,672,0.2708333333333333
361,Drumshanbo,Leitrim,54.04780040000001,-8.0400238,40,0,6,12,1028,238,1324,0,Town (Small),52,1028,0.05058365758754864
362,Drumsna,Leitrim,53.9269176,-8.0079271,44,2,0,2,272,2,322,0,Town (Small),46,274,0.1678832116788321
363,Duagh,Kerry,52.4147893,-9.3901918,22,0,4,0,292,44,362,0,Town (Small),22,292,0.07534246575342465
364,Dublin city and suburbs,Dublin,53.3498053,-6.2603097,225800,9312,2960,104860,689012,440362,1472306,1,City (Large),330660,698324,0.4735051351521643
365,Duleek,Meath,53.6547501,-6.4221752,1450,8,14,46,4580,358,6456,0,Town (Small),1496,4588,0.3260680034873583
366,Dumha Thuama,Mayo,54.0645,-9.5357,34,0,0,2,60,4,100,0,Town (Small),36,60,0.6
367,Dunboyne,Meath,53.4192677,-6.4758857,742,32,32,528,5740,2594,9668,0,Town (Small),1270,5772,0.22002772002772003
368,Duncannon,Wexford,52.2206117,-6.9325606,12,0,0,2,192,34,240,0,Town (Small),14,192,0.07291666666666667
369,Duncormick,Wexford,52.2285412,-6.655054199999999,26,0,0,0,178,12,216,0,Town (Small),26,178,0.14606741573033707
370,Dundalk,Louth,53.9979451,-6.405957,4392,110,84,440,31450,11704,48180,3,Town (Medium),4832,31560,0.15310519645120405
371,Dunderrow,Cork,51.726487,-8.5874569,30,0,0,0,216,70,316,0,Town (Small),30,216,0.1388888888888889
372,Dundrum,Tipperary,52.5595234,-8.043225099999999,56,0,0,0,188,28,272,0,Town (Small),56,188,0.2978723404255319
373,Dunfanaghy,Donegal,55.1834711,-7.9694369,52,0,2,0,318,68,440,0,Town (Small),52,318,0.16352201257861634
374,Dungarvan,Waterford,52.0936763,-7.620362699999999,326,12,30,14,7846,3138,11366,0,Town (Small),340,7858,0.04326800712649529
375,Dunhill,Waterford,52.1737783,-7.263755799999999,28,2,2,0,244,34,310,0,Town (Small),28,246,0.11382113821138211
376,Dunkineely,Donegal,54.6320711,-8.357078699999999,58,0,2,0,288,36,384,0,Town (Small),58,288,0.2013888888888889
377,Dunlavin,Wicklow,53.0578764,-6.7016395,14,4,4,0,828,340,1190,0,Town (Small),14,832,0.016826923076923076
378,Dunleer,Louth,53.8310533,-6.3944559,202,4,14,10,1772,682,2684,0,Town (Small),212,1776,0.11936936936936937
379,Dunmanway,Cork,51.7222571,-9.1118088,62,2,10,6,1636,446,2162,0,Town (Small),68,1638,0.04151404151404151
380,Dunmore,Galway,53.6180163,-8.7441461,26,0,2,0,556,208,792,0,Town (Small),26,556,0.046762589928057555
381,Dunmore East,Waterford,52.1527666,-6.994803999999999,228,0,6,10,1632,232,2108,0,Town (Small),238,1632,0.14583333333333334
382,Dunshaughlin,Meath,53.5135229,-6.540252499999999,820,14,18,116,5936,2000,8904,0,Town (Small),936,5950,0.1573109243697479
383,Durrow,Laois,52.84622479999999,-7.394980200000001,144,0,10,12,784,156,1106,0,Town (Small),156,784,0.1989795918367347
384,Durrus,Cork,51.6217112,-9.521993,54,0,2,0,312,54,422,0,Town (Small),54,312,0.17307692307692307
385,Easky,Sligo,54.286325,-8.9623692,16,0,2,0,182,40,240,0,Town (Small),16,182,0.08791208791208792
386,Edenderry,Offaly,53.3432235,-7.0517202,672,22,24,34,6330,2434,9516,0,Town (Small),706,6352,0.11114609571788413
387,Edgeworthstown,Longford,53.6956862,-7.608492999999999,406,2,2,72,1280,458,2220,0,Town (Small),478,1282,0.37285491419656785
388,Elphin,Roscommon,53.8522697,-8.1978488,34,2,4,10,546,174,770,0,Town (Small),44,548,0.08029197080291971
389,Emly,Tipperary,52.4633291,-8.3498992,34,0,0,2,298,52,386,0,Town (Small),36,298,0.12080536912751678
390,Emo,Laois,53.097203,-7.208534999999999,40,2,2,6,242,32,324,0,Town (Small),46,244,0.1885245901639344
391,Emyvale,Monaghan,54.3409914,-6.959261199999999,108,0,6,0,580,86,780,0,Town (Small),108,580,0.18620689655172415
392,Enfield,Meath,53.4142026,-6.8296541,776,12,8,146,2992,1242,5176,0,Town (Small),922,3004,0.30692410119840213
393,Ennis,Clare,52.8474255,-8.988738399999999,1002,58,70,246,26250,5554,33180,3,Town (Medium),1248,26308,0.047438041660331456
394,Enniscorthy,Wexford,52.5031135,-6.5727721,732,18,38,30,9258,2958,13034,0,Town (Small),762,9276,0.08214747736093143
395,Enniscrone,Sligo,54.2136818,-9.090835199999999,36,0,2,12,1022,264,1336,0,Town (Small),48,1022,0.046966731898238745
396,Enniskerry,Wicklow,53.1935037,-6.1707299,216,14,14,106,1788,166,2304,0,Town (Small),322,1802,0.17869034406215317
397,Ennistimon,Clare,52.940372,-9.2934951,22,6,4,4,780,400,1216,0,Town (Small),26,786,0.03307888040712468
398,Errill,Laois,52.8599496,-7.6769934,34,0,4,0,196,14,248,0,Town (Small),34,196,0.17346938775510204
399,Eyrecourt,Galway,53.1997171,-8.131427,36,0,2,4,172,36,250,0,Town (Small),40,172,0.23255813953488372
400,Fahan,Donegal,55.0876125,-7.4724123,66,0,2,0,504,14,586,0,Town (Small),66,504,0.13095238095238096
401,Farran,Cork,51.8733225,-8.720434299999999,28,0,4,0,356,24,412,0,Town (Small),28,356,0.07865168539325842
402,Feakle,Clare,52.9260682,-8.6486521,10,0,0,0,72,20,102,0,Town (Small),10,72,0.1388888888888889
403,Fedamore,Limerick,52.54550709999999,-8.6016177,46,0,0,0,414,14,474,0,Town (Small),46,414,0.1111111111111111
404,Fenit,Kerry,52.2784045,-9.8612114,28,0,4,4,630,68,734,0,Town (Small),32,630,0.050793650793650794
405,Fennagh,Carlow,52.71467,-6.84615,130,0,4,4,474,20,632,0,Town (Small),134,474,0.28270042194092826
406,Ferbane,Offaly,53.27195,-7.8278719,28,2,4,12,1148,214,1408,0,Town (Small),40,1150,0.034782608695652174
407,Fermoy,Cork,52.1378017,-8.2752606,286,22,20,10,5744,1994,8076,0,Town (Small),296,5766,0.05133541449878599
408,Ferns,Wexford,52.5909249,-6.498010499999999,196,2,6,0,932,300,1436,0,Town (Small),196,934,0.20985010706638116
409,Fethard,Tipperary,52.4659436,-7.6927334,94,0,10,8,1496,356,1964,0,Town (Small),102,1496,0.06818181818181818
410,Fethard,Wexford,52.1923021,-6.8402183,64,0,0,0,286,28,378,0,Town (Small),64,286,0.22377622377622378
411,Fiddown,Kilkenny,52.331516,-7.313796000000001,42,0,2,0,514,20,578,0,Town (Small),42,514,0.08171206225680934
412,Fieries,Kerry,52.17019,-9.59718,124,2,6,0,630,154,916,0,Town (Small),124,632,0.1962025316455696
413,Foxford,Mayo,53.98077259999999,-9.113245,62,0,4,6,1256,200,1528,0,Town (Small),68,1256,0.054140127388535034
414,Foynes,Limerick,52.6102719,-9.104861699999999,46,0,0,0,446,78,570,0,Town (Small),46,446,0.1031390134529148
415,Freemount,Cork,52.2768369,-8.8847534,28,0,0,0,274,44,346,0,Town (Small),28,274,0.10218978102189781
416,Frenchpark,Roscommon,53.8695107,-8.4074282,60,0,6,4,392,76,538,0,Town (Small),64,392,0.16326530612244897
417,Freshford,Kilkenny,52.73250669999999,-7.3981631,84,2,8,0,406,84,584,0,Town (Small),84,408,0.20588235294117646
418,Galbally,Limerick,52.4000202,-8.2936733,32,0,2,4,194,36,268,0,Town (Small),36,194,0.18556701030927836
419,Galway city and suburbs,Galway,53.274001,-9.051266199999999,11670,316,208,380,57788,29600,99962,2,Town (Large),12050,58104,0.2073867547845243
420,Garristown,Dublin,53.5668673,-6.3835624,244,2,0,6,522,88,862,0,Town (Small),250,524,0.4770992366412214
421,Geashill,Offaly,53.2352224,-7.3209776,64,2,2,8,310,94,480,0,Town (Small),72,312,0.23076923076923078
422,Glanworth,Cork,52.1866296,-8.3567369,84,2,0,6,576,122,790,0,Town (Small),90,578,0.15570934256055363
423,Glaslough,Monaghan,54.31727840000001,-6.8971168,46,0,4,2,430,38,520,0,Town (Small),48,430,0.11162790697674418
424,Glassan,Westmeath,53.4699107,-7.863907299999999,16,0,0,8,214,18,256,0,Town (Small),24,214,0.11214953271028037
425,Gleann Cholm Cille,Donegal,54.7080885,-8.7295157,14,0,0,0,110,38,162,0,Town (Small),14,110,0.12727272727272726
426,Glenamaddy,Galway,53.6055461,-8.5604032,32,0,8,0,414,214,668,0,Town (Small),32,414,0.07729468599033816
427,Glenbeigh,Kerry,52.0561861,-9.9403477,32,2,0,2,354,36,426,0,Town (Small),34,356,0.09550561797752809
428,Glencullen,Dublin,53.2224638,-6.216138,18,2,2,34,408,38,502,0,Town (Small),52,410,0.12682926829268293
429,Glenealy,Wicklow,52.9666341,-6.144572900000001,102,4,10,10,612,72,810,0,Town (Small),112,616,0.18181818181818182
430,Gleneely,Donegal,55.2387477,-7.1466476,36,0,4,0,216,38,294,0,Town (Small),36,216,0.16666666666666666
431,Glengarriff,Cork,51.7500277,-9.5522224,34,0,0,2,142,42,220,0,Town (Small),36,142,0.2535211267605634
432,Glenties,Donegal,54.7971669,-8.2830316,30,0,6,0,802,196,1034,0,Town (Small),30,802,0.03740648379052369
433,Glenville,Cork,52.04565789999999,-8.4254293,130,2,4,0,568,102,806,0,Town (Small),130,570,0.22807017543859648
434,Glin,Limerick,52.5688921,-9.2819067,56,0,0,0,508,122,686,0,Town (Small),56,508,0.11023622047244094
435,Gneevgullia,Kerry,52.1166851,-9.2719471,50,0,6,2,320,32,410,0,Town (Small),52,320,0.1625
