,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification,Public,Private,Public to Private Ratio
49,Bailieborough,Cavan,53.9156096,-6.969294199999999,158,2,18,2,2324,572,3076,0,Town (Small),160,2326,0.06878761822871883
50,Balbriggan,Dublin,53.6083194,-6.182079799999999,2650,76,60,2694,17318,8868,31666,3,Town (Medium),5344,17394,0.3072323789812579
51,Balla,Mayo,53.8043767,-9.1305014,26,0,10,0,926,154,1116,0,Town (Small),26,926,0.028077753779697623
52,Ballaghaderreen,Roscommon,53.9016968,-8.5792106,112,2,20,16,1548,670,2368,0,Town (Small),128,1550,0.08258064516129032
53,Ballina,Mayo,54.1149482,-9.1550693,1102,8,26,16,8734,2158,12044,0,Town (Small),1118,8742,0.12788835506749027
54,Ballina,Tipperary,52.8070154,-8.430917899999999,170,4,8,16,2732,988,3918,0,Town (Small),186,2736,0.06798245614035088
55,Ballinabrannagh,Carlow,52.785424,-6.984884200000001,68,0,12,12,610,136,838,0,Town (Small),80,610,0.13114754098360656
56,Ballinaclash,Wicklow,52.9052365,-6.2579487,82,0,4,12,280,2,380,0,Town (Small),94,280,0.3357142857142857
57,Ballinagar,Offaly,53.2662048,-7.337107199999998,38,0,2,0,354,46,440,0,Town (Small),38,354,0.10734463276836158
58,Ballinagh,Cavan,53.9302,-7.41044,180,0,4,2,904,160,1250,0,Town (Small),182,904,0.2013274336283186
59,Ballinakill,Laois,52.8745935,-7.3085929,10,0,6,6,454,54,530,0,Town (Small),16,454,0.03524229074889868
60,Ballinalack,Westmeath,53.63055809999999,-7.473040999999999,26,0,2,2,164,14,208,0,Town (Small),28,164,0.17073170731707318
61,Ballinalee,Longford,53.7750724,-7.6550915,52,0,4,8,346,34,444,0,Town (Small),60,346,0.17341040462427745
62,Ballinameen,Roscommon,53.8972258,-8.301216,24,0,4,0,296,2,326,0,Town (Small),24,296,0.08108108108108109
63,Ballinamore,Leitrim,54.0522181,-7.8032043,58,0,8,4,844,292,1206,0,Town (Small),62,844,0.07345971563981042
64,Ballinasloe,Galway,53.3281251,-8.2236807,356,12,36,116,4994,1272,6786,0,Town (Small),472,5006,0.09428685577307232
65,Ballincar,Sligo,54.2979892,-8.497289499999999,16,0,2,0,312,24,354,0,Town (Small),16,312,0.05128205128205128
66,Ballinderreen,Galway,53.18567210000001,-8.909645399999999,56,0,2,2,390,108,558,0,Town (Small),58,390,0.14871794871794872
67,Ballindine,Mayo,53.66925690000001,-8.9567295,50,0,4,0,438,68,560,0,Town (Small),50,438,0.1141552511415525
68,Ballindrait,Donegal,54.8451594,-7.526530599999999,8,0,2,0,70,4,84,0,Town (Small),8,70,0.11428571428571428
69,Ballineen-Enniskean,Cork,51.73824,-8.930579999999999,98,0,6,0,556,140,800,0,Town (Small),98,556,0.17625899280575538
70,Ballingarry,Limerick,52.4732187,-8.8627555,58,0,2,0,614,102,776,0,Town (Small),58,614,0.09446254071661238
71,Ballingarry,Tipperary,52.5863379,-7.5416271,22,0,2,8,218,40,290,0,Town (Small),30,218,0.13761467889908258
72,Ballinlough,Roscommon,53.7418858,-8.6335579,12,0,4,0,308,28,352,0,Town (Small),12,308,0.03896103896103896
73,Ballinroad,Waterford,52.1037518,-7.5734156,40,2,8,0,1810,160,2020,0,Town (Small),40,1812,0.02207505518763797
74,Ballinrobe,Mayo,53.6237338,-9.2211143,172,4,16,6,2650,836,3684,0,Town (Small),178,2654,0.06706857573474001
75,Ballinspittle,Cork,51.6663408,-8.596594099999999,58,0,0,0,330,74,462,0,Town (Small),58,330,0.17575757575757575
76,Ballintober,Roscommon,53.7180878,-8.4100998,8,0,2,2,206,20,238,0,Town (Small),10,206,0.04854368932038835
77,Ballintogher,Sligo,54.2006449,-8.3649676,60,0,4,0,392,48,504,0,Town (Small),60,392,0.15306122448979592
78,Ballintra,Donegal,54.57884989999999,-8.1243234,20,0,0,0,226,14,260,0,Town (Small),20,226,0.08849557522123894
79,Ballitore,Kildare,53.009742,-6.8156295,82,0,0,6,644,30,762,0,Town (Small),88,644,0.13664596273291926
80,Ballivor,Meath,53.5329521,-6.968071699999999,370,0,6,14,1826,326,2542,0,Town (Small),384,1826,0.21029572836801752
81,Ballon,Carlow,52.7391042,-6.769783899999999,128,2,0,4,702,192,1028,0,Town (Small),132,704,0.1875
82,Ballyagran,Limerick,52.4018224,-8.782366699999999,14,0,2,0,180,10,206,0,Town (Small),14,180,0.07777777777777778
83,Ballybay,Monaghan,54.1294617,-6.9027864,62,0,14,2,1226,340,1644,0,Town (Small),64,1226,0.052202283849918436
84,Ballybofey-Stranorlar,Donegal,54.80166699999999,-7.774999999999999,662,4,36,4,4648,762,6116,0,Town (Small),666,4652,0.14316423043852106
85,Ballyboghil,Dublin,53.52020599999999,-6.267595399999999,94,6,4,32,804,162,1102,0,Town (Small),126,810,0.15555555555555556
86,Ballybrittas,Laois,53.109028,-7.1374187,60,2,2,14,518,16,612,0,Town (Small),74,520,0.1423076923076923
87,Ballybunion,Kerry,52.51108,-9.670969999999999,34,0,2,10,1234,276,1556,0,Town (Small),44,1234,0.03565640194489465
88,Ballycanew,Wexford,52.6106782,-6.3049672,76,0,6,6,526,90,704,0,Town (Small),82,526,0.155893536121673
89,Ballycannan,Clare,52.70296399999999,-8.649498,30,4,2,0,708,12,756,0,Town (Small),30,712,0.042134831460674156
90,Ballycastle,Mayo,54.2796698,-9.372464299999999,22,0,0,0,150,20,192,0,Town (Small),22,150,0.14666666666666667
