"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03424V04122","Local Authority","C03122V03774","Type of Carriageway","UNIT","VALUE"
"NRA03","National Route Length","2015","2015","14","Cork","-","All Carriage ways","Number","514"
"NRA03","National Route Length","2015","2015","14","Cork","01","Motorway","Number","49"
"NRA03","National Route Length","2015","2015","14","Cork","03","Single","Number","403"
"NRA03","National Route Length","2015","2015","14","Cork","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","14","Cork","05","Dual carriageway","Number","63"
"NRA03","National Route Length","2015","2015","15","Kerry","-","All Carriage ways","Number","424"
"NRA03","National Route Length","2015","2015","15","Kerry","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","15","Kerry","03","Single","Number","413"
"NRA03","National Route Length","2015","2015","15","Kerry","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","15","Kerry","05","Dual carriageway","Number","11"
"NRA03","National Route Length","2015","2015","16","Limerick","-","All Carriage ways","Number","192"
"NRA03","National Route Length","2015","2015","16","Limerick","01","Motorway","Number","27"
"NRA03","National Route Length","2015","2015","16","Limerick","03","Single","Number","156"
"NRA03","National Route Length","2015","2015","16","Limerick","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","16","Limerick","05","Dual carriageway","Number","9"
"NRA03","National Route Length","2015","2015","17","Tipperary","-","All Carriage ways","Number","335"
"NRA03","National Route Length","2015","2015","17","Tipperary","01","Motorway","Number","122"
"NRA03","National Route Length","2015","2015","17","Tipperary","03","Single","Number","210"
"NRA03","National Route Length","2015","2015","17","Tipperary","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","17","Tipperary","05","Dual carriageway","Number","3"
"NRA03","National Route Length","2015","2015","18","Waterford","-","All Carriage ways","Number","107"
"NRA03","National Route Length","2015","2015","18","Waterford","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","18","Waterford","03","Single","Number","97"
"NRA03","National Route Length","2015","2015","18","Waterford","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","18","Waterford","05","Dual carriageway","Number","10"
"NRA03","National Route Length","2015","2015","19","Galway","-","All Carriage ways","Number","454"
"NRA03","National Route Length","2015","2015","19","Galway","01","Motorway","Number","62"
"NRA03","National Route Length","2015","2015","19","Galway","03","Single","Number","380"
"NRA03","National Route Length","2015","2015","19","Galway","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","19","Galway","05","Dual carriageway","Number","12"
"NRA03","National Route Length","2015","2015","20","Leitrim","-","All Carriage ways","Number","56"
"NRA03","National Route Length","2015","2015","20","Leitrim","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","20","Leitrim","03","Single","Number","49"
"NRA03","National Route Length","2015","2015","20","Leitrim","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","20","Leitrim","05","Dual carriageway","Number","7"
"NRA03","National Route Length","2015","2015","21","Mayo","-","All Carriage ways","Number","397"
"NRA03","National Route Length","2015","2015","21","Mayo","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","21","Mayo","03","Single","Number","397"
"NRA03","National Route Length","2015","2015","21","Mayo","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","21","Mayo","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","22","Roscommon","-","All Carriage ways","Number","247"
"NRA03","National Route Length","2015","2015","22","Roscommon","01","Motorway","Number","21"
"NRA03","National Route Length","2015","2015","22","Roscommon","03","Single","Number","225"
"NRA03","National Route Length","2015","2015","22","Roscommon","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","22","Roscommon","05","Dual carriageway","Number","1"
"NRA03","National Route Length","2015","2015","23","Sligo","-","All Carriage ways","Number","153"
"NRA03","National Route Length","2015","2015","23","Sligo","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","23","Sligo","03","Single","Number","141"
"NRA03","National Route Length","2015","2015","23","Sligo","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","23","Sligo","05","Dual carriageway","Number","13"
"NRA03","National Route Length","2015","2015","24","Cavan","-","All Carriage ways","Number","123"
"NRA03","National Route Length","2015","2015","24","Cavan","01","Motorway","Number","0"
"NRA03","National Route Length","2015","2015","24","Cavan","03","Single","Number","123"
"NRA03","National Route Length","2015","2015","24","Cavan","04","Two plus one","Number",""
"NRA03","National Route Length","2015","2015","24","Cavan","05","Dual carriageway","Number","0"
"NRA03","National Route Length","2015","2015","25","Donegal","-","All Carriage ways","Number","304"
