"STATISTIC","Statistic Label","C03157V03810","Local Authority","C03122V03774","Type of Carriageway","TLIST(A1)","Year","UNIT","VALUE"
"NRA02","National Route Length","20","Louth","03","Single","2012","2012","Kilometres","73"
"NRA02","National Route Length","20","Louth","03","Single","2013","2013","Kilometres","49"
"NRA02","National Route Length","20","Louth","03","Single","2014","2014","Kilometres","49"
"NRA02","National Route Length","20","Louth","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","20","Louth","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2006","2006","Kilometres","2"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2007","2007","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2008","2008","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2009","2009","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2010","2010","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2011","2011","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2012","2012","Kilometres","11"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2013","2013","Kilometres","9"
"NRA02","National Route Length","20","Louth","05","Dual carriageway","2014","2014","Kilometres","9"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2006","2006","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2007","2007","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2008","2008","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2009","2009","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2010","2010","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2011","2011","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2012","2012","Kilometres","396"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2013","2013","Kilometres","397"
"NRA02","National Route Length","21","Mayo","-","All Carriage ways","2014","2014","Kilometres","397"
"NRA02","National Route Length","21","Mayo","01","Motorway","2006","2006","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2007","2007","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2008","2008","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2009","2009","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2010","2010","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2011","2011","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2012","2012","Kilometres",""
"NRA02","National Route Length","21","Mayo","01","Motorway","2013","2013","Kilometres","0"
"NRA02","National Route Length","21","Mayo","01","Motorway","2014","2014","Kilometres","0"
"NRA02","National Route Length","21","Mayo","03","Single","2006","2006","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2007","2007","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2008","2008","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2009","2009","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2010","2010","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2011","2011","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2012","2012","Kilometres","396"
"NRA02","National Route Length","21","Mayo","03","Single","2013","2013","Kilometres","397"
"NRA02","National Route Length","21","Mayo","03","Single","2014","2014","Kilometres","397"
"NRA02","National Route Length","21","Mayo","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","21","Mayo","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2006","2006","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2007","2007","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2008","2008","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2009","2009","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2010","2010","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2011","2011","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2012","2012","Kilometres",""
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2013","2013","Kilometres","0"
"NRA02","National Route Length","21","Mayo","05","Dual carriageway","2014","2014","Kilometres","0"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2006","2006","Kilometres","202"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2007","2007","Kilometres","203"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2008","2008","Kilometres","203"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2009","2009","Kilometres","202"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2010","2010","Kilometres","203"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2011","2011","Kilometres","203"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2012","2012","Kilometres","203"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2013","2013","Kilometres","204"
"NRA02","National Route Length","22","Meath","-","All Carriage ways","2014","2014","Kilometres","204"
"NRA02","National Route Length","22","Meath","01","Motorway","2006","2006","Kilometres","28"
"NRA02","National Route Length","22","Meath","01","Motorway","2007","2007","Kilometres","28"
"NRA02","National Route Length","22","Meath","01","Motorway","2008","2008","Kilometres","28"
"NRA02","National Route Length","22","Meath","01","Motorway","2009","2009","Kilometres","41"
"NRA02","National Route Length","22","Meath","01","Motorway","2010","2010","Kilometres","87"
"NRA02","National Route Length","22","Meath","01","Motorway","2011","2011","Kilometres","87"
"NRA02","National Route Length","22","Meath","01","Motorway","2012","2012","Kilometres","87"
"NRA02","National Route Length","22","Meath","01","Motorway","2013","2013","Kilometres","88"
"NRA02","National Route Length","22","Meath","01","Motorway","2014","2014","Kilometres","88"
"NRA02","National Route Length","22","Meath","03","Single","2006","2006","Kilometres","162"
"NRA02","National Route Length","22","Meath","03","Single","2007","2007","Kilometres","162"
"NRA02","National Route Length","22","Meath","03","Single","2008","2008","Kilometres","162"
"NRA02","National Route Length","22","Meath","03","Single","2009","2009","Kilometres","162"
"NRA02","National Route Length","22","Meath","03","Single","2010","2010","Kilometres","104"
"NRA02","National Route Length","22","Meath","03","Single","2011","2011","Kilometres","104"
"NRA02","National Route Length","22","Meath","03","Single","2012","2012","Kilometres","104"
"NRA02","National Route Length","22","Meath","03","Single","2013","2013","Kilometres","104"
"NRA02","National Route Length","22","Meath","03","Single","2014","2014","Kilometres","104"
"NRA02","National Route Length","22","Meath","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","22","Meath","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2006","2006","Kilometres","13"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2007","2007","Kilometres","13"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2008","2008","Kilometres","12"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2009","2009","Kilometres",""
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2010","2010","Kilometres","12"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2011","2011","Kilometres","12"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2012","2012","Kilometres","12"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2013","2013","Kilometres","12"
"NRA02","National Route Length","22","Meath","05","Dual carriageway","2014","2014","Kilometres","12"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2006","2006","Kilometres","103"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2007","2007","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2008","2008","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2009","2009","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2010","2010","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2011","2011","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2012","2012","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2013","2013","Kilometres","104"
"NRA02","National Route Length","23","Monaghan","-","All Carriage ways","2014","2014","Kilometres","103"
"NRA02","National Route Length","23","Monaghan","01","Motorway","2006","2006","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2007","2007","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2008","2008","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2009","2009","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2010","2010","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2011","2011","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2012","2012","Kilometres",""
"NRA02","National Route Length","23","Monaghan","01","Motorway","2013","2013","Kilometres","0"
"NRA02","National Route Length","23","Monaghan","01","Motorway","2014","2014","Kilometres","0"
"NRA02","National Route Length","23","Monaghan","03","Single","2006","2006","Kilometres","103"
"NRA02","National Route Length","23","Monaghan","03","Single","2007","2007","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2008","2008","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2009","2009","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2010","2010","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2011","2011","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2012","2012","Kilometres","89"
"NRA02","National Route Length","23","Monaghan","03","Single","2013","2013","Kilometres","88"
"NRA02","National Route Length","23","Monaghan","03","Single","2014","2014","Kilometres","88"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2007","2007","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2008","2008","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2009","2009","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2010","2010","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2011","2011","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2012","2012","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","23","Monaghan","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2006","2006","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2007","2007","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2008","2008","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2009","2009","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2010","2010","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2011","2011","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2012","2012","Kilometres",""
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2013","2013","Kilometres","15"
"NRA02","National Route Length","23","Monaghan","05","Dual carriageway","2014","2014","Kilometres","15"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2006","2006","Kilometres","138"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2007","2007","Kilometres","138"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2008","2008","Kilometres","139"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2009","2009","Kilometres","143"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2010","2010","Kilometres","138"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2011","2011","Kilometres","138"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2012","2012","Kilometres","138"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2013","2013","Kilometres","116"
"NRA02","National Route Length","24","Offaly","-","All Carriage ways","2014","2014","Kilometres","116"
"NRA02","National Route Length","24","Offaly","01","Motorway","2006","2006","Kilometres",""
"NRA02","National Route Length","24","Offaly","01","Motorway","2007","2007","Kilometres",""
"NRA02","National Route Length","24","Offaly","01","Motorway","2008","2008","Kilometres","8"
"NRA02","National Route Length","24","Offaly","01","Motorway","2009","2009","Kilometres","8"
"NRA02","National Route Length","24","Offaly","01","Motorway","2010","2010","Kilometres","15"
"NRA02","National Route Length","24","Offaly","01","Motorway","2011","2011","Kilometres","15"
"NRA02","National Route Length","24","Offaly","01","Motorway","2012","2012","Kilometres","15"
"NRA02","National Route Length","24","Offaly","01","Motorway","2013","2013","Kilometres","15"
"NRA02","National Route Length","24","Offaly","01","Motorway","2014","2014","Kilometres","15"
"NRA02","National Route Length","24","Offaly","03","Single","2006","2006","Kilometres","138"
"NRA02","National Route Length","24","Offaly","03","Single","2007","2007","Kilometres","138"
"NRA02","National Route Length","24","Offaly","03","Single","2008","2008","Kilometres","131"
"NRA02","National Route Length","24","Offaly","03","Single","2009","2009","Kilometres","135"
"NRA02","National Route Length","24","Offaly","03","Single","2010","2010","Kilometres","123"
"NRA02","National Route Length","24","Offaly","03","Single","2011","2011","Kilometres","123"
"NRA02","National Route Length","24","Offaly","03","Single","2012","2012","Kilometres","123"
"NRA02","National Route Length","24","Offaly","03","Single","2013","2013","Kilometres","101"
"NRA02","National Route Length","24","Offaly","03","Single","2014","2014","Kilometres","101"
"NRA02","National Route Length","24","Offaly","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","24","Offaly","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2006","2006","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2007","2007","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2008","2008","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2009","2009","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2010","2010","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2011","2011","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2012","2012","Kilometres",""
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2013","2013","Kilometres","0"
"NRA02","National Route Length","24","Offaly","05","Dual carriageway","2014","2014","Kilometres","0"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2006","2006","Kilometres","248"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2007","2007","Kilometres","248"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2008","2008","Kilometres","248"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2009","2009","Kilometres","249"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2010","2010","Kilometres","249"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2011","2011","Kilometres","249"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2012","2012","Kilometres","249"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2013","2013","Kilometres","248"
"NRA02","National Route Length","25","Roscommon","-","All Carriage ways","2014","2014","Kilometres","248"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2006","2006","Kilometres",""
"NRA02","National Route Length","25","Roscommon","01","Motorway","2007","2007","Kilometres",""
"NRA02","National Route Length","25","Roscommon","01","Motorway","2008","2008","Kilometres",""
"NRA02","National Route Length","25","Roscommon","01","Motorway","2009","2009","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2010","2010","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2011","2011","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2012","2012","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2013","2013","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","01","Motorway","2014","2014","Kilometres","21"
"NRA02","National Route Length","25","Roscommon","03","Single","2006","2006","Kilometres","245"
"NRA02","National Route Length","25","Roscommon","03","Single","2007","2007","Kilometres","245"
"NRA02","National Route Length","25","Roscommon","03","Single","2008","2008","Kilometres","245"
"NRA02","National Route Length","25","Roscommon","03","Single","2009","2009","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","03","Single","2010","2010","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","03","Single","2011","2011","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","03","Single","2012","2012","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","03","Single","2013","2013","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","03","Single","2014","2014","Kilometres","226"
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","25","Roscommon","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2006","2006","Kilometres","3"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2007","2007","Kilometres","3"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2008","2008","Kilometres","3"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2009","2009","Kilometres","1"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2010","2010","Kilometres","1"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2011","2011","Kilometres","1"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2012","2012","Kilometres","1"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2013","2013","Kilometres","1"
"NRA02","National Route Length","25","Roscommon","05","Dual carriageway","2014","2014","Kilometres","1"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2006","2006","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2007","2007","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2008","2008","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2009","2009","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2010","2010","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2011","2011","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2012","2012","Kilometres","154"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2013","2013","Kilometres","153"
"NRA02","National Route Length","26","Sligo","-","All Carriage ways","2014","2014","Kilometres","154"
"NRA02","National Route Length","26","Sligo","01","Motorway","2006","2006","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2007","2007","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2008","2008","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2009","2009","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2010","2010","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2011","2011","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2012","2012","Kilometres",""
"NRA02","National Route Length","26","Sligo","01","Motorway","2013","2013","Kilometres","0"
"NRA02","National Route Length","26","Sligo","01","Motorway","2014","2014","Kilometres","0"
"NRA02","National Route Length","26","Sligo","03","Single","2006","2006","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2007","2007","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2008","2008","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2009","2009","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2010","2010","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2011","2011","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2012","2012","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2013","2013","Kilometres","141"
"NRA02","National Route Length","26","Sligo","03","Single","2014","2014","Kilometres","141"
"NRA02","National Route Length","26","Sligo","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","26","Sligo","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2006","2006","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2007","2007","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2008","2008","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2009","2009","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2010","2010","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2011","2011","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2012","2012","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2013","2013","Kilometres","13"
"NRA02","National Route Length","26","Sligo","05","Dual carriageway","2014","2014","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2006","2006","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2007","2007","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2008","2008","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2009","2009","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2010","2010","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2011","2011","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2012","2012","Kilometres","54"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2013","2013","Kilometres","48"
"NRA02","National Route Length","27","South Dublin","-","All Carriage ways","2014","2014","Kilometres","48"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2006","2006","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2007","2007","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2008","2008","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2009","2009","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2010","2010","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2011","2011","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2012","2012","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2013","2013","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","01","Motorway","2014","2014","Kilometres","15"
"NRA02","National Route Length","27","South Dublin","03","Single","2006","2006","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2007","2007","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2008","2008","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2009","2009","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2010","2010","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2011","2011","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2012","2012","Kilometres","13"
"NRA02","National Route Length","27","South Dublin","03","Single","2013","2013","Kilometres","9"
"NRA02","National Route Length","27","South Dublin","03","Single","2014","2014","Kilometres","9"
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2006","2006","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2007","2007","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2008","2008","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2009","2009","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2010","2010","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2011","2011","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2012","2012","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2013","2013","Kilometres",""
"NRA02","National Route Length","27","South Dublin","04","Two plus one","2014","2014","Kilometres",""
"NRA02","National Route Length","27","South Dublin","05","Dual carriageway","2006","2006","Kilometres","26"
"NRA02","National Route Length","27","South Dublin","05","Dual carriageway","2007","2007","Kilometres","26"
"NRA02","National Route Length","27","South Dublin","05","Dual carriageway","2008","2008","Kilometres","26"
"NRA02","National Route Length","27","South Dublin","05","Dual carriageway","2009","2009","Kilometres","26"
"NRA02","National Route Length","27","South Dublin","05","Dual carriageway","2010","2010","Kilometres","26"
