"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","C03841V04591","Time of day","UNIT","VALUE"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","230","15:00 - 15:59","%","5.32"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","240","16:00 - 16:59","%","7.98"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","250","17:00 - 17:59","%","11.8"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","260","18:00 - 18:59","%","9.02"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","270","19:00 - 19:59","%","4.88"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","280","20:00 - 20:59","%","3.9"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","290","21:00 - 21:59","%","2.68"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","300","22:00 - 22:59","%","2.01"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","320","23:00 - 23:59","%","1.49"
"TOA09C01","Percentage of daily Luas passengers","2019","2019","02","Green line","330","00:00 - 00:59","%","0.61"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","110","05:00 - 05:59","%","0.48"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","120","06:00 - 06:59","%","2.79"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","130","07:00 - 07:59","%","7.9"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","140","08:00 - 08:59","%","12.49"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","150","09:00 - 09:59","%","6.96"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","160","10:00 - 10:59","%","4.38"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","180","11:00 - 11:59","%","3.82"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","190","12:00 - 12:59","%","4.42"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","200","13:00 - 13:59","%","5.18"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","220","14:00 - 14:59","%","4.62"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","230","15:00 - 15:59","%","5.81"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","240","16:00 - 16:59","%","8.42"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","250","17:00 - 17:59","%","10.29"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","260","18:00 - 18:59","%","8.16"
"TOA09C01","Percentage of daily Luas passengers","2020","2020","-","All Luas lines","270","19:00 - 19:59","%","4.56"
