"STATISTIC","Statistic Label","TLIST(A1)","Year","C02639V03196","Days of Week","UNIT","VALUE"
"TOA02C02","Average Green Line Flow","2020","2020","4","Wednesday","Number","29129"
"TOA02C02","Average Green Line Flow","2020","2020","5","Thursday","Number","29959"
"TOA02C02","Average Green Line Flow","2020","2020","6","Friday","Number","31067"
"TOA02C02","Average Green Line Flow","2020","2020","7","Saturday","Number","20981"
"TOA02C02","Average Green Line Flow","2021","2021","-","All days","Number","180967"
"TOA02C02","Average Green Line Flow","2021","2021","1","Sunday","Number","16128"
"TOA02C02","Average Green Line Flow","2021","2021","2","Monday","Number","25037"
"TOA02C02","Average Green Line Flow","2021","2021","3","Tuesday","Number","27303"
"TOA02C02","Average Green Line Flow","2021","2021","4","Wednesday","Number","28445"
"TOA02C02","Average Green Line Flow","2021","2021","5","Thursday","Number","29775"
"TOA02C02","Average Green Line Flow","2021","2021","6","Friday","Number","30761"
"TOA02C02","Average Green Line Flow","2021","2021","7","Saturday","Number","23517"
"TOA02C02","Average Green Line Flow","2022","2022","-","All days","Number","352891"
"TOA02C02","Average Green Line Flow","2022","2022","1","Sunday","Number","28924"
"TOA02C02","Average Green Line Flow","2022","2022","2","Monday","Number","47233"
"TOA02C02","Average Green Line Flow","2022","2022","3","Tuesday","Number","56267"
"TOA02C02","Average Green Line Flow","2022","2022","4","Wednesday","Number","58278"
"TOA02C02","Average Green Line Flow","2022","2022","5","Thursday","Number","60553"
"TOA02C02","Average Green Line Flow","2022","2022","6","Friday","Number","58024"
"TOA02C02","Average Green Line Flow","2022","2022","7","Saturday","Number","43592"
"TOA02C03","Average Total Flow","2018","2018","-","All days","Number","804557"
"TOA02C03","Average Total Flow","2018","2018","1","Sunday","Number","62955"
"TOA02C03","Average Total Flow","2018","2018","2","Monday","Number","117267"
"TOA02C03","Average Total Flow","2018","2018","3","Tuesday","Number","127090"
"TOA02C03","Average Total Flow","2018","2018","4","Wednesday","Number","130399"
"TOA02C03","Average Total Flow","2018","2018","5","Thursday","Number","135011"
"TOA02C03","Average Total Flow","2018","2018","6","Friday","Number","140718"
"TOA02C03","Average Total Flow","2018","2018","7","Saturday","Number","91119"
"TOA02C03","Average Total Flow","2019","2019","-","All days","Number","926964"
"TOA02C03","Average Total Flow","2019","2019","1","Sunday","Number","78379"
"TOA02C03","Average Total Flow","2019","2019","2","Monday","Number","133473"
"TOA02C03","Average Total Flow","2019","2019","3","Tuesday","Number","144905"
"TOA02C03","Average Total Flow","2019","2019","4","Wednesday","Number","150008"
"TOA02C03","Average Total Flow","2019","2019","5","Thursday","Number","157594"
"TOA02C03","Average Total Flow","2019","2019","6","Friday","Number","161929"
"TOA02C03","Average Total Flow","2019","2019","7","Saturday","Number","100676"
"TOA02C03","Average Total Flow","2020","2020","-","All days","Number","366474"
"TOA02C03","Average Total Flow","2020","2020","1","Sunday","Number","28343"
"TOA02C03","Average Total Flow","2020","2020","2","Monday","Number","54602"
"TOA02C03","Average Total Flow","2020","2020","3","Tuesday","Number","58461"
"TOA02C03","Average Total Flow","2020","2020","4","Wednesday","Number","58689"
"TOA02C03","Average Total Flow","2020","2020","5","Thursday","Number","60743"
"TOA02C03","Average Total Flow","2020","2020","6","Friday","Number","63198"
"TOA02C03","Average Total Flow","2020","2020","7","Saturday","Number","42437"
"TOA02C03","Average Total Flow","2021","2021","-","All days","Number","373435"
"TOA02C03","Average Total Flow","2021","2021","1","Sunday","Number","33641"
"TOA02C03","Average Total Flow","2021","2021","2","Monday","Number","52540"
"TOA02C03","Average Total Flow","2021","2021","3","Tuesday","Number","56754"
"TOA02C03","Average Total Flow","2021","2021","4","Wednesday","Number","58168"
"TOA02C03","Average Total Flow","2021","2021","5","Thursday","Number","61025"
"TOA02C03","Average Total Flow","2021","2021","6","Friday","Number","62716"
"TOA02C03","Average Total Flow","2021","2021","7","Saturday","Number","48592"
"TOA02C03","Average Total Flow","2022","2022","-","All days","Number","742985"
"TOA02C03","Average Total Flow","2022","2022","1","Sunday","Number","62095"
"TOA02C03","Average Total Flow","2022","2022","2","Monday","Number","101475"
"TOA02C03","Average Total Flow","2022","2022","3","Tuesday","Number","117450"
"TOA02C03","Average Total Flow","2022","2022","4","Wednesday","Number","121427"
"TOA02C03","Average Total Flow","2022","2022","5","Thursday","Number","126294"
"TOA02C03","Average Total Flow","2022","2022","6","Friday","Number","122803"
"TOA02C03","Average Total Flow","2022","2022","7","Saturday","Number","91441"
