"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2021W01","2021 Week 01","1","Red line","Number","86518"
"TII03C01","Passenger Journeys","2021W01","2021 Week 01","2","Green line","Number","68364"
"TII03C01","Passenger Journeys","2021W02","2021 Week 02","-","All Luas lines","Number","147908"
"TII03C01","Passenger Journeys","2021W02","2021 Week 02","1","Red line","Number","83202"
"TII03C01","Passenger Journeys","2021W02","2021 Week 02","2","Green line","Number","64705"
"TII03C01","Passenger Journeys","2021W03","2021 Week 03","-","All Luas lines","Number","150280"
"TII03C01","Passenger Journeys","2021W03","2021 Week 03","1","Red line","Number","84576"
"TII03C01","Passenger Journeys","2021W03","2021 Week 03","2","Green line","Number","65704"
"TII03C01","Passenger Journeys","2021W04","2021 Week 04","-","All Luas lines","Number","148633"
"TII03C01","Passenger Journeys","2021W04","2021 Week 04","1","Red line","Number","84355"
"TII03C01","Passenger Journeys","2021W04","2021 Week 04","2","Green line","Number","64278"
"TII03C01","Passenger Journeys","2021W05","2021 Week 05","-","All Luas lines","Number","156469"
"TII03C01","Passenger Journeys","2021W05","2021 Week 05","1","Red line","Number","87285"
"TII03C01","Passenger Journeys","2021W05","2021 Week 05","2","Green line","Number","69184"
"TII03C01","Passenger Journeys","2021W06","2021 Week 06","-","All Luas lines","Number","154595"
"TII03C01","Passenger Journeys","2021W06","2021 Week 06","1","Red line","Number","86266"
"TII03C01","Passenger Journeys","2021W06","2021 Week 06","2","Green line","Number","68329"
"TII03C01","Passenger Journeys","2021W07","2021 Week 07","-","All Luas lines","Number","158958"
"TII03C01","Passenger Journeys","2021W07","2021 Week 07","1","Red line","Number","85601"
"TII03C01","Passenger Journeys","2021W07","2021 Week 07","2","Green line","Number","73357"
"TII03C01","Passenger Journeys","2021W08","2021 Week 08","-","All Luas lines","Number","173458"
"TII03C01","Passenger Journeys","2021W08","2021 Week 08","1","Red line","Number","95896"
"TII03C01","Passenger Journeys","2021W08","2021 Week 08","2","Green line","Number","77563"
"TII03C01","Passenger Journeys","2021W09","2021 Week 09","-","All Luas lines","Number","182546"
"TII03C01","Passenger Journeys","2021W09","2021 Week 09","1","Red line","Number","99907"
"TII03C01","Passenger Journeys","2021W09","2021 Week 09","2","Green line","Number","82639"
"TII03C01","Passenger Journeys","2021W10","2021 Week 10","-","All Luas lines","Number","182343"
"TII03C01","Passenger Journeys","2021W10","2021 Week 10","1","Red line","Number","100098"
"TII03C01","Passenger Journeys","2021W10","2021 Week 10","2","Green line","Number","82245"
"TII03C01","Passenger Journeys","2021W11","2021 Week 11","-","All Luas lines","Number","184592"
"TII03C01","Passenger Journeys","2021W11","2021 Week 11","1","Red line","Number","97816"
"TII03C01","Passenger Journeys","2021W11","2021 Week 11","2","Green line","Number","86775"
"TII03C01","Passenger Journeys","2021W12","2021 Week 12","-","All Luas lines","Number","194458"
"TII03C01","Passenger Journeys","2021W12","2021 Week 12","1","Red line","Number","103504"
"TII03C01","Passenger Journeys","2021W12","2021 Week 12","2","Green line","Number","90954"
"TII03C01","Passenger Journeys","2021W13","2021 Week 13","-","All Luas lines","Number","193222"
"TII03C01","Passenger Journeys","2021W13","2021 Week 13","1","Red line","Number","104351"
"TII03C01","Passenger Journeys","2021W13","2021 Week 13","2","Green line","Number","88872"
"TII03C01","Passenger Journeys","2021W14","2021 Week 14","-","All Luas lines","Number","175429"
"TII03C01","Passenger Journeys","2021W14","2021 Week 14","1","Red line","Number","94942"
"TII03C01","Passenger Journeys","2021W14","2021 Week 14","2","Green line","Number","80488"
"TII03C01","Passenger Journeys","2021W15","2021 Week 15","-","All Luas lines","Number","232495"
"TII03C01","Passenger Journeys","2021W15","2021 Week 15","1","Red line","Number","118595"
"TII03C01","Passenger Journeys","2021W15","2021 Week 15","2","Green line","Number","113900"
"TII03C01","Passenger Journeys","2021W16","2021 Week 16","-","All Luas lines","Number","240221"
"TII03C01","Passenger Journeys","2021W16","2021 Week 16","1","Red line","Number","126802"
"TII03C01","Passenger Journeys","2021W16","2021 Week 16","2","Green line","Number","113419"
"TII03C01","Passenger Journeys","2021W17","2021 Week 17","-","All Luas lines","Number","237120"
"TII03C01","Passenger Journeys","2021W17","2021 Week 17","1","Red line","Number","125669"
"TII03C01","Passenger Journeys","2021W17","2021 Week 17","2","Green line","Number","111451"
"TII03C01","Passenger Journeys","2021W18","2021 Week 18","-","All Luas lines","Number","216926"
"TII03C01","Passenger Journeys","2021W18","2021 Week 18","1","Red line","Number","112233"
"TII03C01","Passenger Journeys","2021W18","2021 Week 18","2","Green line","Number","104694"
"TII03C01","Passenger Journeys","2021W19","2021 Week 19","-","All Luas lines","Number","304059"
"TII03C01","Passenger Journeys","2021W19","2021 Week 19","1","Red line","Number","157788"
"TII03C01","Passenger Journeys","2021W19","2021 Week 19","2","Green line","Number","146271"
"TII03C01","Passenger Journeys","2021W20","2021 Week 20","-","All Luas lines","Number","356075"
"TII03C01","Passenger Journeys","2021W20","2021 Week 20","1","Red line","Number","181324"
"TII03C01","Passenger Journeys","2021W20","2021 Week 20","2","Green line","Number","174751"
"TII03C01","Passenger Journeys","2021W21","2021 Week 21","-","All Luas lines","Number","388279"
"TII03C01","Passenger Journeys","2021W21","2021 Week 21","1","Red line","Number","202202"
"TII03C01","Passenger Journeys","2021W21","2021 Week 21","2","Green line","Number","186077"
"TII03C01","Passenger Journeys","2021W22","2021 Week 22","-","All Luas lines","Number","381468"
"TII03C01","Passenger Journeys","2021W22","2021 Week 22","1","Red line","Number","210560"
"TII03C01","Passenger Journeys","2021W22","2021 Week 22","2","Green line","Number","170908"
"TII03C01","Passenger Journeys","2021W23","2021 Week 23","-","All Luas lines","Number","376282"
"TII03C01","Passenger Journeys","2021W23","2021 Week 23","1","Red line","Number","196288"
"TII03C01","Passenger Journeys","2021W23","2021 Week 23","2","Green line","Number","179995"
"TII03C01","Passenger Journeys","2021W24","2021 Week 24","-","All Luas lines","Number","414980"
"TII03C01","Passenger Journeys","2021W24","2021 Week 24","1","Red line","Number","219396"
"TII03C01","Passenger Journeys","2021W24","2021 Week 24","2","Green line","Number","195584"
"TII03C01","Passenger Journeys","2021W25","2021 Week 25","-","All Luas lines","Number","413187"
"TII03C01","Passenger Journeys","2021W25","2021 Week 25","1","Red line","Number","218088"
"TII03C01","Passenger Journeys","2021W25","2021 Week 25","2","Green line","Number","195099"
"TII03C01","Passenger Journeys","2021W26","2021 Week 26","-","All Luas lines","Number","408603"
"TII03C01","Passenger Journeys","2021W26","2021 Week 26","1","Red line","Number","218863"
"TII03C01","Passenger Journeys","2021W26","2021 Week 26","2","Green line","Number","189741"
"TII03C01","Passenger Journeys","2021W27","2021 Week 27","-","All Luas lines","Number","403259"
"TII03C01","Passenger Journeys","2021W27","2021 Week 27","1","Red line","Number","216285"
"TII03C01","Passenger Journeys","2021W27","2021 Week 27","2","Green line","Number","186974"
"TII03C01","Passenger Journeys","2021W28","2021 Week 28","-","All Luas lines","Number","417819"
"TII03C01","Passenger Journeys","2021W28","2021 Week 28","1","Red line","Number","225848"
"TII03C01","Passenger Journeys","2021W28","2021 Week 28","2","Green line","Number","191971"
"TII03C01","Passenger Journeys","2021W29","2021 Week 29","-","All Luas lines","Number","416359"
"TII03C01","Passenger Journeys","2021W29","2021 Week 29","1","Red line","Number","228641"
"TII03C01","Passenger Journeys","2021W29","2021 Week 29","2","Green line","Number","187718"
"TII03C01","Passenger Journeys","2021W30","2021 Week 30","-","All Luas lines","Number","391588"
"TII03C01","Passenger Journeys","2021W30","2021 Week 30","1","Red line","Number","201734"
"TII03C01","Passenger Journeys","2021W30","2021 Week 30","2","Green line","Number","189854"
"TII03C01","Passenger Journeys","2021W31","2021 Week 31","-","All Luas lines","Number","386208"
"TII03C01","Passenger Journeys","2021W31","2021 Week 31","1","Red line","Number","203388"
"TII03C01","Passenger Journeys","2021W31","2021 Week 31","2","Green line","Number","182820"
"TII03C01","Passenger Journeys","2021W32","2021 Week 32","-","All Luas lines","Number","430283"
"TII03C01","Passenger Journeys","2021W32","2021 Week 32","1","Red line","Number","231872"
"TII03C01","Passenger Journeys","2021W32","2021 Week 32","2","Green line","Number","198411"
"TII03C01","Passenger Journeys","2021W33","2021 Week 33","-","All Luas lines","Number","441304"
"TII03C01","Passenger Journeys","2021W33","2021 Week 33","1","Red line","Number","235705"
"TII03C01","Passenger Journeys","2021W33","2021 Week 33","2","Green line","Number","205599"
"TII03C01","Passenger Journeys","2021W34","2021 Week 34","-","All Luas lines","Number","462372"
"TII03C01","Passenger Journeys","2021W34","2021 Week 34","1","Red line","Number","239564"
"TII03C01","Passenger Journeys","2021W34","2021 Week 34","2","Green line","Number","222808"
"TII03C01","Passenger Journeys","2021W35","2021 Week 35","-","All Luas lines","Number","456687"
"TII03C01","Passenger Journeys","2021W35","2021 Week 35","1","Red line","Number","230456"
"TII03C01","Passenger Journeys","2021W35","2021 Week 35","2","Green line","Number","226231"
"TII03C01","Passenger Journeys","2021W36","2021 Week 36","-","All Luas lines","Number","490349"
"TII03C01","Passenger Journeys","2021W36","2021 Week 36","1","Red line","Number","245380"
"TII03C01","Passenger Journeys","2021W36","2021 Week 36","2","Green line","Number","244968"
"TII03C01","Passenger Journeys","2021W37","2021 Week 37","-","All Luas lines","Number","505786"
"TII03C01","Passenger Journeys","2021W37","2021 Week 37","1","Red line","Number","249168"
"TII03C01","Passenger Journeys","2021W37","2021 Week 37","2","Green line","Number","256618"
"TII03C01","Passenger Journeys","2021W38","2021 Week 38","-","All Luas lines","Number","552233"
"TII03C01","Passenger Journeys","2021W38","2021 Week 38","1","Red line","Number","268040"
"TII03C01","Passenger Journeys","2021W38","2021 Week 38","2","Green line","Number","284193"
"TII03C01","Passenger Journeys","2021W39","2021 Week 39","-","All Luas lines","Number","551254"
"TII03C01","Passenger Journeys","2021W39","2021 Week 39","1","Red line","Number","270932"
"TII03C01","Passenger Journeys","2021W39","2021 Week 39","2","Green line","Number","280322"
"TII03C01","Passenger Journeys","2021W40","2021 Week 40","-","All Luas lines","Number","592664"
"TII03C01","Passenger Journeys","2021W40","2021 Week 40","1","Red line","Number","290380"
"TII03C01","Passenger Journeys","2021W40","2021 Week 40","2","Green line","Number","302283"
"TII03C01","Passenger Journeys","2021W41","2021 Week 41","-","All Luas lines","Number","575688"
"TII03C01","Passenger Journeys","2021W41","2021 Week 41","1","Red line","Number","262502"
"TII03C01","Passenger Journeys","2021W41","2021 Week 41","2","Green line","Number","313186"
"TII03C01","Passenger Journeys","2021W42","2021 Week 42","-","All Luas lines","Number","606775"
"TII03C01","Passenger Journeys","2021W42","2021 Week 42","1","Red line","Number","301424"
"TII03C01","Passenger Journeys","2021W42","2021 Week 42","2","Green line","Number","305350"
"TII03C01","Passenger Journeys","2021W43","2021 Week 43","-","All Luas lines","Number","546048"
"TII03C01","Passenger Journeys","2021W43","2021 Week 43","1","Red line","Number","279174"
"TII03C01","Passenger Journeys","2021W43","2021 Week 43","2","Green line","Number","266874"
"TII03C01","Passenger Journeys","2021W44","2021 Week 44","-","All Luas lines","Number","616810"
"TII03C01","Passenger Journeys","2021W44","2021 Week 44","1","Red line","Number","308166"
"TII03C01","Passenger Journeys","2021W44","2021 Week 44","2","Green line","Number","308644"
"TII03C01","Passenger Journeys","2021W45","2021 Week 45","-","All Luas lines","Number","630247"
"TII03C01","Passenger Journeys","2021W45","2021 Week 45","1","Red line","Number","310262"
"TII03C01","Passenger Journeys","2021W45","2021 Week 45","2","Green line","Number","319985"
"TII03C01","Passenger Journeys","2021W46","2021 Week 46","-","All Luas lines","Number","617761"
"TII03C01","Passenger Journeys","2021W46","2021 Week 46","1","Red line","Number","306977"
"TII03C01","Passenger Journeys","2021W46","2021 Week 46","2","Green line","Number","310783"
"TII03C01","Passenger Journeys","2021W47","2021 Week 47","-","All Luas lines","Number","613392"
"TII03C01","Passenger Journeys","2021W47","2021 Week 47","1","Red line","Number","309178"
"TII03C01","Passenger Journeys","2021W47","2021 Week 47","2","Green line","Number","304214"
"TII03C01","Passenger Journeys","2021W48","2021 Week 48","-","All Luas lines","Number","597259"
"TII03C01","Passenger Journeys","2021W48","2021 Week 48","1","Red line","Number","300053"
"TII03C01","Passenger Journeys","2021W48","2021 Week 48","2","Green line","Number","297205"
"TII03C01","Passenger Journeys","2021W49","2021 Week 49","-","All Luas lines","Number","550174"
"TII03C01","Passenger Journeys","2021W49","2021 Week 49","1","Red line","Number","281430"
"TII03C01","Passenger Journeys","2021W49","2021 Week 49","2","Green line","Number","268744"
"TII03C01","Passenger Journeys","2021W50","2021 Week 50","-","All Luas lines","Number","649573"
"TII03C01","Passenger Journeys","2021W50","2021 Week 50","1","Red line","Number","327777"
"TII03C01","Passenger Journeys","2021W50","2021 Week 50","2","Green line","Number","321796"
"TII03C01","Passenger Journeys","2021W51","2021 Week 51","-","All Luas lines","Number","403994"
"TII03C01","Passenger Journeys","2021W51","2021 Week 51","1","Red line","Number","202322"
"TII03C01","Passenger Journeys","2021W51","2021 Week 51","2","Green line","Number","201673"
"TII03C01","Passenger Journeys","2021W52","2021 Week 52","-","All Luas lines","Number","278203"
"TII03C01","Passenger Journeys","2021W52","2021 Week 52","1","Red line","Number","148925"
"TII03C01","Passenger Journeys","2021W52","2021 Week 52","2","Green line","Number","129279"
"TII03C01","Passenger Journeys","2021W53","2021 Week 53","-","All Luas lines","Number",""
"TII03C01","Passenger Journeys","2021W53","2021 Week 53","1","Red line","Number",""
"TII03C01","Passenger Journeys","2021W53","2021 Week 53","2","Green line","Number",""
"TII03C01","Passenger Journeys","2022W01","2022 Week 01","-","All Luas lines","Number","345593"
"TII03C01","Passenger Journeys","2022W01","2022 Week 01","1","Red line","Number","184047"
"TII03C01","Passenger Journeys","2022W01","2022 Week 01","2","Green line","Number","161546"
"TII03C01","Passenger Journeys","2022W02","2022 Week 02","-","All Luas lines","Number","433914"
"TII03C01","Passenger Journeys","2022W02","2022 Week 02","1","Red line","Number","225426"
"TII03C01","Passenger Journeys","2022W02","2022 Week 02","2","Green line","Number","208488"
"TII03C01","Passenger Journeys","2022W03","2022 Week 03","-","All Luas lines","Number","462831"
"TII03C01","Passenger Journeys","2022W03","2022 Week 03","1","Red line","Number","241094"
"TII03C01","Passenger Journeys","2022W03","2022 Week 03","2","Green line","Number","221737"
"TII03C01","Passenger Journeys","2022W04","2022 Week 04","-","All Luas lines","Number","537929"
"TII03C01","Passenger Journeys","2022W04","2022 Week 04","1","Red line","Number","274293"
"TII03C01","Passenger Journeys","2022W04","2022 Week 04","2","Green line","Number","263636"
"TII03C01","Passenger Journeys","2022W05","2022 Week 05","-","All Luas lines","Number","571873"
"TII03C01","Passenger Journeys","2022W05","2022 Week 05","1","Red line","Number","293209"
"TII03C01","Passenger Journeys","2022W05","2022 Week 05","2","Green line","Number","278664"
"TII03C01","Passenger Journeys","2022W06","2022 Week 06","-","All Luas lines","Number","586898"
"TII03C01","Passenger Journeys","2022W06","2022 Week 06","1","Red line","Number","298548"
"TII03C01","Passenger Journeys","2022W06","2022 Week 06","2","Green line","Number","288350"
"TII03C01","Passenger Journeys","2022W07","2022 Week 07","-","All Luas lines","Number","579835"
"TII03C01","Passenger Journeys","2022W07","2022 Week 07","1","Red line","Number","295635"
"TII03C01","Passenger Journeys","2022W07","2022 Week 07","2","Green line","Number","284200"
"TII03C01","Passenger Journeys","2022W08","2022 Week 08","-","All Luas lines","Number","577293"
"TII03C01","Passenger Journeys","2022W08","2022 Week 08","1","Red line","Number","302427"
"TII03C01","Passenger Journeys","2022W08","2022 Week 08","2","Green line","Number","274866"
"TII03C01","Passenger Journeys","2022W09","2022 Week 09","-","All Luas lines","Number","607075"
"TII03C01","Passenger Journeys","2022W09","2022 Week 09","1","Red line","Number","319517"
"TII03C01","Passenger Journeys","2022W09","2022 Week 09","2","Green line","Number","287557"
"TII03C01","Passenger Journeys","2022W10","2022 Week 10","-","All Luas lines","Number","590952"
"TII03C01","Passenger Journeys","2022W10","2022 Week 10","1","Red line","Number","316221"
"TII03C01","Passenger Journeys","2022W10","2022 Week 10","2","Green line","Number","274731"
"TII03C01","Passenger Journeys","2022W11","2022 Week 11","-","All Luas lines","Number","576609"
"TII03C01","Passenger Journeys","2022W11","2022 Week 11","1","Red line","Number","314256"
"TII03C01","Passenger Journeys","2022W11","2022 Week 11","2","Green line","Number","262354"
"TII03C01","Passenger Journeys","2022W12","2022 Week 12","-","All Luas lines","Number","603392"
"TII03C01","Passenger Journeys","2022W12","2022 Week 12","1","Red line","Number","310281"
"TII03C01","Passenger Journeys","2022W12","2022 Week 12","2","Green line","Number","293111"
"TII03C01","Passenger Journeys","2022W13","2022 Week 13","-","All Luas lines","Number","632821"
"TII03C01","Passenger Journeys","2022W13","2022 Week 13","1","Red line","Number","337105"
"TII03C01","Passenger Journeys","2022W13","2022 Week 13","2","Green line","Number","295716"
"TII03C01","Passenger Journeys","2022W14","2022 Week 14","-","All Luas lines","Number","640207"
"TII03C01","Passenger Journeys","2022W14","2022 Week 14","1","Red line","Number","333218"
"TII03C01","Passenger Journeys","2022W14","2022 Week 14","2","Green line","Number","306988"
"TII03C01","Passenger Journeys","2022W15","2022 Week 15","-","All Luas lines","Number","619031"
"TII03C01","Passenger Journeys","2022W15","2022 Week 15","1","Red line","Number","345061"
"TII03C01","Passenger Journeys","2022W15","2022 Week 15","2","Green line","Number","273971"
"TII03C01","Passenger Journeys","2022W16","2022 Week 16","-","All Luas lines","Number","617520"
"TII03C01","Passenger Journeys","2022W16","2022 Week 16","1","Red line","Number","340040"
"TII03C01","Passenger Journeys","2022W16","2022 Week 16","2","Green line","Number","277480"
"TII03C01","Passenger Journeys","2022W17","2022 Week 17","-","All Luas lines","Number","642988"
"TII03C01","Passenger Journeys","2022W17","2022 Week 17","1","Red line","Number","326313"
"TII03C01","Passenger Journeys","2022W17","2022 Week 17","2","Green line","Number","316675"
"TII03C01","Passenger Journeys","2022W18","2022 Week 18","-","All Luas lines","Number","650527"
"TII03C01","Passenger Journeys","2022W18","2022 Week 18","1","Red line","Number","336415"
"TII03C01","Passenger Journeys","2022W18","2022 Week 18","2","Green line","Number","314112"
"TII03C01","Passenger Journeys","2022W19","2022 Week 19","-","All Luas lines","Number","701703"
"TII03C01","Passenger Journeys","2022W19","2022 Week 19","1","Red line","Number","367620"
"TII03C01","Passenger Journeys","2022W19","2022 Week 19","2","Green line","Number","334083"
"TII03C01","Passenger Journeys","2022W20","2022 Week 20","-","All Luas lines","Number","702050"
"TII03C01","Passenger Journeys","2022W20","2022 Week 20","1","Red line","Number","364591"
"TII03C01","Passenger Journeys","2022W20","2022 Week 20","2","Green line","Number","337459"
"TII03C01","Passenger Journeys","2022W21","2022 Week 21","-","All Luas lines","Number","736455"
"TII03C01","Passenger Journeys","2022W21","2022 Week 21","1","Red line","Number","400252"
"TII03C01","Passenger Journeys","2022W21","2022 Week 21","2","Green line","Number","336203"
"TII03C01","Passenger Journeys","2022W22","2022 Week 22","-","All Luas lines","Number","748966"
"TII03C01","Passenger Journeys","2022W22","2022 Week 22","1","Red line","Number","414633"
"TII03C01","Passenger Journeys","2022W22","2022 Week 22","2","Green line","Number","334333"
"TII03C01","Passenger Journeys","2022W23","2022 Week 23","-","All Luas lines","Number","654577"
"TII03C01","Passenger Journeys","2022W23","2022 Week 23","1","Red line","Number","351030"
"TII03C01","Passenger Journeys","2022W23","2022 Week 23","2","Green line","Number","303546"
"TII03C01","Passenger Journeys","2022W24","2022 Week 24","-","All Luas lines","Number","746758"
"TII03C01","Passenger Journeys","2022W24","2022 Week 24","1","Red line","Number","403216"
"TII03C01","Passenger Journeys","2022W24","2022 Week 24","2","Green line","Number","343542"
"TII03C01","Passenger Journeys","2022W25","2022 Week 25","-","All Luas lines","Number","768947"
"TII03C01","Passenger Journeys","2022W25","2022 Week 25","1","Red line","Number","425115"
"TII03C01","Passenger Journeys","2022W25","2022 Week 25","2","Green line","Number","343832"
"TII03C01","Passenger Journeys","2022W26","2022 Week 26","-","All Luas lines","Number","779963"
"TII03C01","Passenger Journeys","2022W26","2022 Week 26","1","Red line","Number","401680"
"TII03C01","Passenger Journeys","2022W26","2022 Week 26","2","Green line","Number","378283"
"TII03C01","Passenger Journeys","2022W27","2022 Week 27","-","All Luas lines","Number","761521"
"TII03C01","Passenger Journeys","2022W27","2022 Week 27","1","Red line","Number","402776"
"TII03C01","Passenger Journeys","2022W27","2022 Week 27","2","Green line","Number","358745"
"TII03C01","Passenger Journeys","2022W28","2022 Week 28","-","All Luas lines","Number","739605"
"TII03C01","Passenger Journeys","2022W28","2022 Week 28","1","Red line","Number","384792"
"TII03C01","Passenger Journeys","2022W28","2022 Week 28","2","Green line","Number","354813"
"TII03C01","Passenger Journeys","2022W29","2022 Week 29","-","All Luas lines","Number","739584"
"TII03C01","Passenger Journeys","2022W29","2022 Week 29","1","Red line","Number","386315"
"TII03C01","Passenger Journeys","2022W29","2022 Week 29","2","Green line","Number","353269"
"TII03C01","Passenger Journeys","2022W30","2022 Week 30","-","All Luas lines","Number","723458"
"TII03C01","Passenger Journeys","2022W30","2022 Week 30","1","Red line","Number","381066"
"TII03C01","Passenger Journeys","2022W30","2022 Week 30","2","Green line","Number","342392"
"TII03C01","Passenger Journeys","2022W31","2022 Week 31","-","All Luas lines","Number","689408"
"TII03C01","Passenger Journeys","2022W31","2022 Week 31","1","Red line","Number","370788"
"TII03C01","Passenger Journeys","2022W31","2022 Week 31","2","Green line","Number","318620"
"TII03C01","Passenger Journeys","2022W32","2022 Week 32","-","All Luas lines","Number","716924"
"TII03C01","Passenger Journeys","2022W32","2022 Week 32","1","Red line","Number","385414"
"TII03C01","Passenger Journeys","2022W32","2022 Week 32","2","Green line","Number","331511"
"TII03C01","Passenger Journeys","2022W33","2022 Week 33","-","All Luas lines","Number","742734"
"TII03C01","Passenger Journeys","2022W33","2022 Week 33","1","Red line","Number","394475"
"TII03C01","Passenger Journeys","2022W33","2022 Week 33","2","Green line","Number","348259"
"TII03C01","Passenger Journeys","2022W34","2022 Week 34","-","All Luas lines","Number","778106"
"TII03C01","Passenger Journeys","2022W34","2022 Week 34","1","Red line","Number","407670"
"TII03C01","Passenger Journeys","2022W34","2022 Week 34","2","Green line","Number","370436"
"TII03C01","Passenger Journeys","2022W35","2022 Week 35","-","All Luas lines","Number","749341"
"TII03C01","Passenger Journeys","2022W35","2022 Week 35","1","Red line","Number","394870"
"TII03C01","Passenger Journeys","2022W35","2022 Week 35","2","Green line","Number","354471"
"TII03C01","Passenger Journeys","2022W36","2022 Week 36","-","All Luas lines","Number","839027"
"TII03C01","Passenger Journeys","2022W36","2022 Week 36","1","Red line","Number","441116"
"TII03C01","Passenger Journeys","2022W36","2022 Week 36","2","Green line","Number","397912"
"TII03C01","Passenger Journeys","2022W37","2022 Week 37","-","All Luas lines","Number","890854"
"TII03C01","Passenger Journeys","2022W37","2022 Week 37","1","Red line","Number","464639"
"TII03C01","Passenger Journeys","2022W37","2022 Week 37","2","Green line","Number","426215"
"TII03C01","Passenger Journeys","2022W38","2022 Week 38","-","All Luas lines","Number","915330"
"TII03C01","Passenger Journeys","2022W38","2022 Week 38","1","Red line","Number","468498"
"TII03C01","Passenger Journeys","2022W38","2022 Week 38","2","Green line","Number","446831"
"TII03C01","Passenger Journeys","2022W39","2022 Week 39","-","All Luas lines","Number","966770"
"TII03C01","Passenger Journeys","2022W39","2022 Week 39","1","Red line","Number","495114"
"TII03C01","Passenger Journeys","2022W39","2022 Week 39","2","Green line","Number","471656"
"TII03C01","Passenger Journeys","2022W40","2022 Week 40","-","All Luas lines","Number","976883"
"TII03C01","Passenger Journeys","2022W40","2022 Week 40","1","Red line","Number","499121"
"TII03C01","Passenger Journeys","2022W40","2022 Week 40","2","Green line","Number","477762"
"TII03C01","Passenger Journeys","2022W41","2022 Week 41","-","All Luas lines","Number","973313"
"TII03C01","Passenger Journeys","2022W41","2022 Week 41","1","Red line","Number","490773"
"TII03C01","Passenger Journeys","2022W41","2022 Week 41","2","Green line","Number","482540"
"TII03C01","Passenger Journeys","2022W42","2022 Week 42","-","All Luas lines","Number","988465"
"TII03C01","Passenger Journeys","2022W42","2022 Week 42","1","Red line","Number","507315"
"TII03C01","Passenger Journeys","2022W42","2022 Week 42","2","Green line","Number","481150"
"TII03C01","Passenger Journeys","2022W43","2022 Week 43","-","All Luas lines","Number","1024107"
"TII03C01","Passenger Journeys","2022W43","2022 Week 43","1","Red line","Number","527175"
"TII03C01","Passenger Journeys","2022W43","2022 Week 43","2","Green line","Number","496932"
"TII03C01","Passenger Journeys","2022W44","2022 Week 44","-","All Luas lines","Number","892530"
"TII03C01","Passenger Journeys","2022W44","2022 Week 44","1","Red line","Number","472903"
"TII03C01","Passenger Journeys","2022W44","2022 Week 44","2","Green line","Number","419627"
"TII03C01","Passenger Journeys","2022W45","2022 Week 45","-","All Luas lines","Number","1027304"
"TII03C01","Passenger Journeys","2022W45","2022 Week 45","1","Red line","Number","530589"
"TII03C01","Passenger Journeys","2022W45","2022 Week 45","2","Green line","Number","496715"
"TII03C01","Passenger Journeys","2022W46","2022 Week 46","-","All Luas lines","Number","1036079"
"TII03C01","Passenger Journeys","2022W46","2022 Week 46","1","Red line","Number","535652"
"TII03C01","Passenger Journeys","2022W46","2022 Week 46","2","Green line","Number","500427"
"TII03C01","Passenger Journeys","2022W47","2022 Week 47","-","All Luas lines","Number","1039314"
"TII03C01","Passenger Journeys","2022W47","2022 Week 47","1","Red line","Number","535559"
"TII03C01","Passenger Journeys","2022W47","2022 Week 47","2","Green line","Number","503755"
"TII03C01","Passenger Journeys","2022W48","2022 Week 48","-","All Luas lines","Number","1038722"
"TII03C01","Passenger Journeys","2022W48","2022 Week 48","1","Red line","Number","547010"
"TII03C01","Passenger Journeys","2022W48","2022 Week 48","2","Green line","Number","491713"
"TII03C01","Passenger Journeys","2022W49","2022 Week 49","-","All Luas lines","Number","1035628"
"TII03C01","Passenger Journeys","2022W49","2022 Week 49","1","Red line","Number","537455"
"TII03C01","Passenger Journeys","2022W49","2022 Week 49","2","Green line","Number","498173"
"TII03C01","Passenger Journeys","2022W50","2022 Week 50","-","All Luas lines","Number","1060205"
"TII03C01","Passenger Journeys","2022W50","2022 Week 50","1","Red line","Number","526929"
"TII03C01","Passenger Journeys","2022W50","2022 Week 50","2","Green line","Number","533275"
"TII03C01","Passenger Journeys","2022W51","2022 Week 51","-","All Luas lines","Number","832231"
"TII03C01","Passenger Journeys","2022W51","2022 Week 51","1","Red line","Number","420463"
"TII03C01","Passenger Journeys","2022W51","2022 Week 51","2","Green line","Number","411768"
"TII03C01","Passenger Journeys","2022W52","2022 Week 52","-","All Luas lines","Number","560483"
"TII03C01","Passenger Journeys","2022W52","2022 Week 52","1","Red line","Number","289972"
"TII03C01","Passenger Journeys","2022W52","2022 Week 52","2","Green line","Number","270512"
"TII03C01","Passenger Journeys","2022W53","2022 Week 53","-","All Luas lines","Number",""
"TII03C01","Passenger Journeys","2022W53","2022 Week 53","1","Red line","Number",""
"TII03C01","Passenger Journeys","2022W53","2022 Week 53","2","Green line","Number",""
"TII03C01","Passenger Journeys","2023W01","2023 Week 01","-","All Luas lines","Number","711191"
"TII03C01","Passenger Journeys","2023W01","2023 Week 01","1","Red line","Number","371194"
"TII03C01","Passenger Journeys","2023W01","2023 Week 01","2","Green line","Number","339997"
"TII03C01","Passenger Journeys","2023W02","2023 Week 02","-","All Luas lines","Number","828385"
"TII03C01","Passenger Journeys","2023W02","2023 Week 02","1","Red line","Number","430666"
"TII03C01","Passenger Journeys","2023W02","2023 Week 02","2","Green line","Number","397719"
"TII03C01","Passenger Journeys","2023W03","2023 Week 03","-","All Luas lines","Number","851892"
