"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2019W22","2019 Week 22","-","All Luas lines","Number","973025"
"TII03C01","Passenger Journeys","2019W22","2019 Week 22","1","Red line","Number","502622"
"TII03C01","Passenger Journeys","2019W22","2019 Week 22","2","Green line","Number","470403"
"TII03C01","Passenger Journeys","2019W23","2019 Week 23","-","All Luas lines","Number","826269"
"TII03C01","Passenger Journeys","2019W23","2019 Week 23","1","Red line","Number","422419"
"TII03C01","Passenger Journeys","2019W23","2019 Week 23","2","Green line","Number","403850"
"TII03C01","Passenger Journeys","2019W24","2019 Week 24","-","All Luas lines","Number","925516"
"TII03C01","Passenger Journeys","2019W24","2019 Week 24","1","Red line","Number","471816"
"TII03C01","Passenger Journeys","2019W24","2019 Week 24","2","Green line","Number","453700"
"TII03C01","Passenger Journeys","2019W25","2019 Week 25","-","All Luas lines","Number","883208"
"TII03C01","Passenger Journeys","2019W25","2019 Week 25","1","Red line","Number","444675"
"TII03C01","Passenger Journeys","2019W25","2019 Week 25","2","Green line","Number","438533"
"TII03C01","Passenger Journeys","2019W26","2019 Week 26","-","All Luas lines","Number","905636"
"TII03C01","Passenger Journeys","2019W26","2019 Week 26","1","Red line","Number","457342"
"TII03C01","Passenger Journeys","2019W26","2019 Week 26","2","Green line","Number","448295"
"TII03C01","Passenger Journeys","2019W27","2019 Week 27","-","All Luas lines","Number","982288"
"TII03C01","Passenger Journeys","2019W27","2019 Week 27","1","Red line","Number","498818"
"TII03C01","Passenger Journeys","2019W27","2019 Week 27","2","Green line","Number","483470"
"TII03C01","Passenger Journeys","2019W28","2019 Week 28","-","All Luas lines","Number","919158"
"TII03C01","Passenger Journeys","2019W28","2019 Week 28","1","Red line","Number","478360"
"TII03C01","Passenger Journeys","2019W28","2019 Week 28","2","Green line","Number","440798"
"TII03C01","Passenger Journeys","2019W29","2019 Week 29","-","All Luas lines","Number","903958"
"TII03C01","Passenger Journeys","2019W29","2019 Week 29","1","Red line","Number","452205"
"TII03C01","Passenger Journeys","2019W29","2019 Week 29","2","Green line","Number","451753"
"TII03C01","Passenger Journeys","2019W30","2019 Week 30","-","All Luas lines","Number","926491"
"TII03C01","Passenger Journeys","2019W30","2019 Week 30","1","Red line","Number","469191"
"TII03C01","Passenger Journeys","2019W30","2019 Week 30","2","Green line","Number","457300"
"TII03C01","Passenger Journeys","2019W31","2019 Week 31","-","All Luas lines","Number","832452"
"TII03C01","Passenger Journeys","2019W31","2019 Week 31","1","Red line","Number","422939"
"TII03C01","Passenger Journeys","2019W31","2019 Week 31","2","Green line","Number","409513"
"TII03C01","Passenger Journeys","2019W32","2019 Week 32","-","All Luas lines","Number","807393"
"TII03C01","Passenger Journeys","2019W32","2019 Week 32","1","Red line","Number","423004"
"TII03C01","Passenger Journeys","2019W32","2019 Week 32","2","Green line","Number","384389"
"TII03C01","Passenger Journeys","2019W33","2019 Week 33","-","All Luas lines","Number","868677"
"TII03C01","Passenger Journeys","2019W33","2019 Week 33","1","Red line","Number","445915"
"TII03C01","Passenger Journeys","2019W33","2019 Week 33","2","Green line","Number","422762"
"TII03C01","Passenger Journeys","2019W34","2019 Week 34","-","All Luas lines","Number","862939"
"TII03C01","Passenger Journeys","2019W34","2019 Week 34","1","Red line","Number","448568"
"TII03C01","Passenger Journeys","2019W34","2019 Week 34","2","Green line","Number","414371"
"TII03C01","Passenger Journeys","2019W35","2019 Week 35","-","All Luas lines","Number","897355"
"TII03C01","Passenger Journeys","2019W35","2019 Week 35","1","Red line","Number","442634"
"TII03C01","Passenger Journeys","2019W35","2019 Week 35","2","Green line","Number","454721"
"TII03C01","Passenger Journeys","2019W36","2019 Week 36","-","All Luas lines","Number","933362"
"TII03C01","Passenger Journeys","2019W36","2019 Week 36","1","Red line","Number","454849"
"TII03C01","Passenger Journeys","2019W36","2019 Week 36","2","Green line","Number","478513"
"TII03C01","Passenger Journeys","2019W37","2019 Week 37","-","All Luas lines","Number","969818"
"TII03C01","Passenger Journeys","2019W37","2019 Week 37","1","Red line","Number","469489"
"TII03C01","Passenger Journeys","2019W37","2019 Week 37","2","Green line","Number","500329"
"TII03C01","Passenger Journeys","2019W38","2019 Week 38","-","All Luas lines","Number","990123"
"TII03C01","Passenger Journeys","2019W38","2019 Week 38","1","Red line","Number","484461"
"TII03C01","Passenger Journeys","2019W38","2019 Week 38","2","Green line","Number","505662"
"TII03C01","Passenger Journeys","2019W39","2019 Week 39","-","All Luas lines","Number","1031937"
"TII03C01","Passenger Journeys","2019W39","2019 Week 39","1","Red line","Number","515967"
"TII03C01","Passenger Journeys","2019W39","2019 Week 39","2","Green line","Number","515970"
"TII03C01","Passenger Journeys","2019W40","2019 Week 40","-","All Luas lines","Number","986159"
"TII03C01","Passenger Journeys","2019W40","2019 Week 40","1","Red line","Number","484015"
"TII03C01","Passenger Journeys","2019W40","2019 Week 40","2","Green line","Number","502144"
"TII03C01","Passenger Journeys","2019W41","2019 Week 41","-","All Luas lines","Number","1054749"
"TII03C01","Passenger Journeys","2019W41","2019 Week 41","1","Red line","Number","534986"
"TII03C01","Passenger Journeys","2019W41","2019 Week 41","2","Green line","Number","519763"
"TII03C01","Passenger Journeys","2019W42","2019 Week 42","-","All Luas lines","Number","1014017"
"TII03C01","Passenger Journeys","2019W42","2019 Week 42","1","Red line","Number","499959"
"TII03C01","Passenger Journeys","2019W42","2019 Week 42","2","Green line","Number","514057"
"TII03C01","Passenger Journeys","2019W43","2019 Week 43","-","All Luas lines","Number","1028522"
"TII03C01","Passenger Journeys","2019W43","2019 Week 43","1","Red line","Number","502241"
"TII03C01","Passenger Journeys","2019W43","2019 Week 43","2","Green line","Number","526281"
"TII03C01","Passenger Journeys","2019W44","2019 Week 44","-","All Luas lines","Number","924586"
"TII03C01","Passenger Journeys","2019W44","2019 Week 44","1","Red line","Number","471553"
"TII03C01","Passenger Journeys","2019W44","2019 Week 44","2","Green line","Number","453032"
"TII03C01","Passenger Journeys","2019W45","2019 Week 45","-","All Luas lines","Number","1019705"
"TII03C01","Passenger Journeys","2019W45","2019 Week 45","1","Red line","Number","497796"
"TII03C01","Passenger Journeys","2019W45","2019 Week 45","2","Green line","Number","521908"
"TII03C01","Passenger Journeys","2019W46","2019 Week 46","-","All Luas lines","Number","1038825"
"TII03C01","Passenger Journeys","2019W46","2019 Week 46","1","Red line","Number","514523"
"TII03C01","Passenger Journeys","2019W46","2019 Week 46","2","Green line","Number","524302"
"TII03C01","Passenger Journeys","2019W47","2019 Week 47","-","All Luas lines","Number","1062275"
"TII03C01","Passenger Journeys","2019W47","2019 Week 47","1","Red line","Number","530882"
"TII03C01","Passenger Journeys","2019W47","2019 Week 47","2","Green line","Number","531392"
"TII03C01","Passenger Journeys","2019W48","2019 Week 48","-","All Luas lines","Number","1113668"
"TII03C01","Passenger Journeys","2019W48","2019 Week 48","1","Red line","Number","544022"
"TII03C01","Passenger Journeys","2019W48","2019 Week 48","2","Green line","Number","569646"
