"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","UNIT","VALUE"
"TOA10C09","Average length of journey","2018","2018","1","Red line","km","4.45"
"TOA10C09","Average length of journey","2018","2018","2","Green line","km","8.1"
"TOA10C09","Average length of journey","2019","2019","1","Red line","km","4.5"
"TOA10C09","Average length of journey","2019","2019","2","Green line","km","8.1"
"TOA10C09","Average length of journey","2020","2020","1","Red line","km","4.5"
"TOA10C09","Average length of journey","2020","2020","2","Green line","km","8.1"
"TOA10C09","Average length of journey","2021","2021","1","Red line","km","4.5"
"TOA10C09","Average length of journey","2021","2021","2","Green line","km","8.1"
"TOA10C09","Average length of journey","2022","2022","1","Red line","km","5.04"
"TOA10C09","Average length of journey","2022","2022","2","Green line","km","4.4"
"TOA10C10","Average number of stops per passenger","2018","2018","1","Red line","Number","7"
"TOA10C10","Average number of stops per passenger","2018","2018","2","Green line","Number","7"
"TOA10C10","Average number of stops per passenger","2019","2019","1","Red line","Number","7"
"TOA10C10","Average number of stops per passenger","2019","2019","2","Green line","Number","7"
"TOA10C10","Average number of stops per passenger","2020","2020","1","Red line","Number","7"
"TOA10C10","Average number of stops per passenger","2020","2020","2","Green line","Number","7"
"TOA10C10","Average number of stops per passenger","2021","2021","1","Red line","Number","7"
"TOA10C10","Average number of stops per passenger","2021","2021","2","Green line","Number","7"
"TOA10C10","Average number of stops per passenger","2022","2022","1","Red line","Number","7"
"TOA10C10","Average number of stops per passenger","2022","2022","2","Green line","Number","6"
"TOA10C11","Timeliness (% services to timetable)","2018","2018","1","Red line","%","97.05"
"TOA10C11","Timeliness (% services to timetable)","2018","2018","2","Green line","%","97.64"
"TOA10C11","Timeliness (% services to timetable)","2019","2019","1","Red line","%","97.51"
"TOA10C11","Timeliness (% services to timetable)","2019","2019","2","Green line","%","98.75"
"TOA10C11","Timeliness (% services to timetable)","2020","2020","1","Red line","%","97.51"
"TOA10C11","Timeliness (% services to timetable)","2020","2020","2","Green line","%","98.75"
"TOA10C11","Timeliness (% services to timetable)","2021","2021","1","Red line","%","92.05"
"TOA10C11","Timeliness (% services to timetable)","2021","2021","2","Green line","%","98.19"
"TOA10C11","Timeliness (% services to timetable)","2022","2022","1","Red line","%","90.73"
"TOA10C11","Timeliness (% services to timetable)","2022","2022","2","Green line","%","96.63"
