Year,Statistic Label,Value
2019,GNP at Current Market Prices (Seasonally Adjusted),274796000000
2019,GVA at Constant Basic Prices,330084000000
2019,GVA at Constant Basic Prices (Seasonally Adjusted),333351000000
2019,GVA at Current Basic Prices,333161000000
2019,GVA at Current Basic Prices (Seasonally Adjusted),332619000000
2019,Net Factor Income from Rest of World,-79735000000
2019,Net Factor Income from Rest of World (Seasonally Adjusted),-79894000000
2019,Net Factor Income from Rest of World at Current Prices,-80774000000
2019,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-81052000000
2019,Subsidies on Products,-1072000000
2019,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-1071000000
2019,Subsidies on Products at Current Prices,-1049000000
2019,Subsidies on Products at Current Prices (Seasonally Adjusted),-1049000000
2019,Taxes on Products,24742000000
2019,Taxes on Products (Seasonally Adjusted),24782000000
2019,Taxes on Products at Current Prices,24246000000
2019,Taxes on Products at Current Prices (Seasonally Adjusted),24277000000
2020,GDP at Constant Market Prices,377042000000
2020,GDP at Constant Market Prices (Seasonally Adjusted),377858000000
2020,GDP at Current Market Prices,375250000000
2020,GDP at Current Market Prices (Seasonally Adjusted),375272000000
2020,GNP at Constant Market Prices,283779000000
2020,GNP at Constant Market Prices (Seasonally Adjusted),284454000000
2020,GNP at Current Market Prices,282917000000
2020,GNP at Current Market Prices (Seasonally Adjusted),282611000000
2020,GVA at Constant Basic Prices,356769000000
2020,GVA at Constant Basic Prices (Seasonally Adjusted),357595000000
2020,GVA at Current Basic Prices,355478000000
2020,GVA at Current Basic Prices (Seasonally Adjusted),355504000000
2020,Net Factor Income from Rest of World,-93243000000
2020,Net Factor Income from Rest of World (Seasonally Adjusted),-93405000000
2020,Net Factor Income from Rest of World at Current Prices,-92333000000
2020,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-92663000000
2020,Subsidies on Products,-1397000000
2020,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-1400000000
2020,Subsidies on Products at Current Prices,-1361000000
2020,Subsidies on Products at Current Prices (Seasonally Adjusted),-1366000000
2020,Taxes on Products,21644000000
2020,Taxes on Products (Seasonally Adjusted),21662000000
2020,Taxes on Products at Current Prices,21134000000
2020,Taxes on Products at Current Prices (Seasonally Adjusted),21134000000
2021,GDP at Constant Market Prices,434069000000
2021,GDP at Constant Market Prices (Seasonally Adjusted),433594000000
2021,GDP at Current Market Prices,434070000000
2021,GDP at Current Market Prices (Seasonally Adjusted),433258000000
2021,GNP at Constant Market Prices,323313000000
2021,GNP at Constant Market Prices (Seasonally Adjusted),322699000000
2021,GNP at Current Market Prices,323314000000
2021,GNP at Current Market Prices (Seasonally Adjusted),322211000000
2021,GVA at Constant Basic Prices,409387000000
2021,GVA at Constant Basic Prices (Seasonally Adjusted),408779000000
2021,GVA at Current Basic Prices,409386000000
2021,GVA at Current Basic Prices (Seasonally Adjusted),408459000000
2021,Net Factor Income from Rest of World,-110756000000
2021,Net Factor Income from Rest of World (Seasonally Adjusted),-110895000000
2021,Net Factor Income from Rest of World at Current Prices,-110756000000
2021,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-111046000000
2021,Subsidies on Products,-1662000000
2021,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-1659000000
2021,Subsidies on Products at Current Prices,-1661000000
2021,Subsidies on Products at Current Prices (Seasonally Adjusted),-1659000000
2021,Taxes on Products,26345000000
2021,Taxes on Products (Seasonally Adjusted),26475000000
2021,Taxes on Products at Current Prices,26345000000
2021,Taxes on Products at Current Prices (Seasonally Adjusted),26457000000
2022,GDP at Constant Market Prices,475016000000
2022,GDP at Constant Market Prices (Seasonally Adjusted),474968000000
2022,GDP at Current Market Prices,506282000000
2022,GDP at Current Market Prices (Seasonally Adjusted),506025000000
2022,GNP at Constant Market Prices,335904000000
2022,GNP at Constant Market Prices (Seasonally Adjusted),335769000000
2022,GNP at Current Market Prices,362876000000
2022,GNP at Current Market Prices (Seasonally Adjusted),362399000000
2022,GVA at Constant Basic Prices,450216000000
2022,GVA at Constant Basic Prices (Seasonally Adjusted),450233000000
2022,GVA at Current Basic Prices,479584000000
2022,GVA at Current Basic Prices (Seasonally Adjusted),479389000000
2022,Net Factor Income from Rest of World,-139112000000
2022,Net Factor Income from Rest of World (Seasonally Adjusted),-139201000000
2022,Net Factor Income from Rest of World at Current Prices,-143406000000
2022,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-143626000000
2022,Subsidies on Products,-1657000000
2022,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-1659000000
2022,Subsidies on Products at Current Prices,-1790000000
2022,Subsidies on Products at Current Prices (Seasonally Adjusted),-1786000000
2022,Taxes on Products,26459000000
2022,Taxes on Products (Seasonally Adjusted),26394000000
2022,Taxes on Products at Current Prices,28487000000
2022,Taxes on Products at Current Prices (Seasonally Adjusted),28425000000
2023,GDP at Constant Market Prices,228329000000
2023,GDP at Constant Market Prices (Seasonally Adjusted),234206000000
2023,GDP at Current Market Prices,251287000000
2023,GDP at Current Market Prices (Seasonally Adjusted),257744000000
2023,GNP at Constant Market Prices,162392000000
2023,GNP at Constant Market Prices (Seasonally Adjusted),170868000000
2023,GNP at Current Market Prices,181865000000
2023,GNP at Current Market Prices (Seasonally Adjusted),190977000000
2023,GVA at Constant Basic Prices,216858000000
2023,GVA at Constant Basic Prices (Seasonally Adjusted),222069000000
2023,GVA at Current Basic Prices,238336000000
2023,GVA at Current Basic Prices (Seasonally Adjusted),243930000000
2023,Net Factor Income from Rest of World,-65938000000
2023,Net Factor Income from Rest of World (Seasonally Adjusted),-63339000000
2023,Net Factor Income from Rest of World at Current Prices,-69422000000
2023,Net Factor Income from Rest of World at Current Prices (Seasonally Adjusted),-66767000000
2023,Subsidies on Products,-752000000
2023,Subsidies on Products (chain linked annually ref to 2019) (Seasonally Adjusted),-796000000
2023,Subsidies on Products at Current Prices,-851000000
2023,Subsidies on Products at Current Prices (Seasonally Adjusted),-896000000
2023,Taxes on Products,12223000000
2023,Taxes on Products (Seasonally Adjusted),12934000000
2023,Taxes on Products at Current Prices,13802000000
2023,Taxes on Products at Current Prices (Seasonally Adjusted),14710000000
