"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C01","GVA at Constant Basic Prices","20121","2012Q1","-","State","Euro Million","45177"
"NAQ03C01","GVA at Constant Basic Prices","20122","2012Q2","-","State","Euro Million","48722"
"NAQ03C01","GVA at Constant Basic Prices","20123","2012Q3","-","State","Euro Million","46059"
"NAQ03C01","GVA at Constant Basic Prices","20124","2012Q4","-","State","Euro Million","47144"
"NAQ03C01","GVA at Constant Basic Prices","20131","2013Q1","-","State","Euro Million","44282"
"NAQ03C01","GVA at Constant Basic Prices","20132","2013Q2","-","State","Euro Million","47687"
"NAQ03C01","GVA at Constant Basic Prices","20133","2013Q3","-","State","Euro Million","48370"
"NAQ03C01","GVA at Constant Basic Prices","20134","2013Q4","-","State","Euro Million","48441"
"NAQ03C01","GVA at Constant Basic Prices","20141","2014Q1","-","State","Euro Million","48723"
"NAQ03C01","GVA at Constant Basic Prices","20142","2014Q2","-","State","Euro Million","51347"
"NAQ03C01","GVA at Constant Basic Prices","20143","2014Q3","-","State","Euro Million","52296"
"NAQ03C01","GVA at Constant Basic Prices","20144","2014Q4","-","State","Euro Million","52858"
"NAQ03C01","GVA at Constant Basic Prices","20151","2015Q1","-","State","Euro Million","63714"
"NAQ03C01","GVA at Constant Basic Prices","20152","2015Q2","-","State","Euro Million","62491"
"NAQ03C01","GVA at Constant Basic Prices","20153","2015Q3","-","State","Euro Million","65694"
"NAQ03C01","GVA at Constant Basic Prices","20154","2015Q4","-","State","Euro Million","67045"
"NAQ03C01","GVA at Constant Basic Prices","20161","2016Q1","-","State","Euro Million","61875"
"NAQ03C01","GVA at Constant Basic Prices","20162","2016Q2","-","State","Euro Million","62874"
"NAQ03C01","GVA at Constant Basic Prices","20163","2016Q3","-","State","Euro Million","64387"
"NAQ03C01","GVA at Constant Basic Prices","20164","2016Q4","-","State","Euro Million","73471"
"NAQ03C01","GVA at Constant Basic Prices","20171","2017Q1","-","State","Euro Million","66463"
"NAQ03C01","GVA at Constant Basic Prices","20172","2017Q2","-","State","Euro Million","68667"
"NAQ03C01","GVA at Constant Basic Prices","20173","2017Q3","-","State","Euro Million","74257"
"NAQ03C01","GVA at Constant Basic Prices","20174","2017Q4","-","State","Euro Million","78835"
"NAQ03C01","GVA at Constant Basic Prices","20181","2018Q1","-","State","Euro Million","74824"
"NAQ03C01","GVA at Constant Basic Prices","20182","2018Q2","-","State","Euro Million","77612"
"NAQ03C01","GVA at Constant Basic Prices","20183","2018Q3","-","State","Euro Million","79645"
"NAQ03C01","GVA at Constant Basic Prices","20184","2018Q4","-","State","Euro Million","81807"
"NAQ03C01","GVA at Constant Basic Prices","20191","2019Q1","-","State","Euro Million","77801"
"NAQ03C01","GVA at Constant Basic Prices","20192","2019Q2","-","State","Euro Million","80730"
"NAQ03C01","GVA at Constant Basic Prices","20193","2019Q3","-","State","Euro Million","84798"
"NAQ03C01","GVA at Constant Basic Prices","20194","2019Q4","-","State","Euro Million","86755"
"NAQ03C01","GVA at Constant Basic Prices","20201","2020Q1","-","State","Euro Million","86498"
"NAQ03C01","GVA at Constant Basic Prices","20202","2020Q2","-","State","Euro Million","83341"
