"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C06","GNP at Constant Market Prices","20222","2022Q2","-","State","Euro Million","82581"
"NAQ03C06","GNP at Constant Market Prices","20223","2022Q3","-","State","Euro Million","85708"
"NAQ03C06","GNP at Constant Market Prices","20224","2022Q4","-","State","Euro Million","91244"
"NAQ03C06","GNP at Constant Market Prices","20231","2023Q1","-","State","Euro Million","74807"
"NAQ03C06","GNP at Constant Market Prices","20232","2023Q2","-","State","Euro Million","87585"
"NAQ03C07","GVA at Current Basic Prices","19951","1995Q1","-","State","Euro Million","11776"
"NAQ03C07","GVA at Current Basic Prices","19952","1995Q2","-","State","Euro Million","12474"
"NAQ03C07","GVA at Current Basic Prices","19953","1995Q3","-","State","Euro Million","12237"
"NAQ03C07","GVA at Current Basic Prices","19954","1995Q4","-","State","Euro Million","12655"
"NAQ03C07","GVA at Current Basic Prices","19961","1996Q1","-","State","Euro Million","13102"
"NAQ03C07","GVA at Current Basic Prices","19962","1996Q2","-","State","Euro Million","13660"
"NAQ03C07","GVA at Current Basic Prices","19963","1996Q3","-","State","Euro Million","13261"
"NAQ03C07","GVA at Current Basic Prices","19964","1996Q4","-","State","Euro Million","13974"
"NAQ03C07","GVA at Current Basic Prices","19971","1997Q1","-","State","Euro Million","14392"
"NAQ03C07","GVA at Current Basic Prices","19972","1997Q2","-","State","Euro Million","15579"
"NAQ03C07","GVA at Current Basic Prices","19973","1997Q3","-","State","Euro Million","15490"
"NAQ03C07","GVA at Current Basic Prices","19974","1997Q4","-","State","Euro Million","16746"
"NAQ03C07","GVA at Current Basic Prices","19981","1998Q1","-","State","Euro Million","17112"
"NAQ03C07","GVA at Current Basic Prices","19982","1998Q2","-","State","Euro Million","18003"
"NAQ03C07","GVA at Current Basic Prices","19983","1998Q3","-","State","Euro Million","18312"
"NAQ03C07","GVA at Current Basic Prices","19984","1998Q4","-","State","Euro Million","18597"
"NAQ03C07","GVA at Current Basic Prices","19991","1999Q1","-","State","Euro Million","19509"
"NAQ03C07","GVA at Current Basic Prices","19992","1999Q2","-","State","Euro Million","20016"
"NAQ03C07","GVA at Current Basic Prices","19993","1999Q3","-","State","Euro Million","21031"
"NAQ03C07","GVA at Current Basic Prices","19994","1999Q4","-","State","Euro Million","22266"
"NAQ03C07","GVA at Current Basic Prices","20001","2000Q1","-","State","Euro Million","22456"
"NAQ03C07","GVA at Current Basic Prices","20002","2000Q2","-","State","Euro Million","24139"
"NAQ03C07","GVA at Current Basic Prices","20003","2000Q3","-","State","Euro Million","23983"
"NAQ03C07","GVA at Current Basic Prices","20004","2000Q4","-","State","Euro Million","26145"
"NAQ03C07","GVA at Current Basic Prices","20011","2001Q1","-","State","Euro Million","26460"
"NAQ03C07","GVA at Current Basic Prices","20012","2001Q2","-","State","Euro Million","27809"
"NAQ03C07","GVA at Current Basic Prices","20013","2001Q3","-","State","Euro Million","26961"
"NAQ03C07","GVA at Current Basic Prices","20014","2001Q4","-","State","Euro Million","28606"
"NAQ03C07","GVA at Current Basic Prices","20021","2002Q1","-","State","Euro Million","29241"
"NAQ03C07","GVA at Current Basic Prices","20022","2002Q2","-","State","Euro Million","30950"
"NAQ03C07","GVA at Current Basic Prices","20023","2002Q3","-","State","Euro Million","30362"
"NAQ03C07","GVA at Current Basic Prices","20024","2002Q4","-","State","Euro Million","32269"
"NAQ03C07","GVA at Current Basic Prices","20031","2003Q1","-","State","Euro Million","31226"
"NAQ03C07","GVA at Current Basic Prices","20032","2003Q2","-","State","Euro Million","33161"
"NAQ03C07","GVA at Current Basic Prices","20033","2003Q3","-","State","Euro Million","31444"
"NAQ03C07","GVA at Current Basic Prices","20034","2003Q4","-","State","Euro Million","35215"
"NAQ03C07","GVA at Current Basic Prices","20041","2004Q1","-","State","Euro Million","33679"
"NAQ03C07","GVA at Current Basic Prices","20042","2004Q2","-","State","Euro Million","35921"
"NAQ03C07","GVA at Current Basic Prices","20043","2004Q3","-","State","Euro Million","33622"
"NAQ03C07","GVA at Current Basic Prices","20044","2004Q4","-","State","Euro Million","36571"
"NAQ03C07","GVA at Current Basic Prices","20051","2005Q1","-","State","Euro Million","36027"
"NAQ03C07","GVA at Current Basic Prices","20052","2005Q2","-","State","Euro Million","38681"
"NAQ03C07","GVA at Current Basic Prices","20053","2005Q3","-","State","Euro Million","36411"
"NAQ03C07","GVA at Current Basic Prices","20054","2005Q4","-","State","Euro Million","39904"
"NAQ03C07","GVA at Current Basic Prices","20061","2006Q1","-","State","Euro Million","39236"
"NAQ03C07","GVA at Current Basic Prices","20062","2006Q2","-","State","Euro Million","41361"
"NAQ03C07","GVA at Current Basic Prices","20063","2006Q3","-","State","Euro Million","39915"
"NAQ03C07","GVA at Current Basic Prices","20064","2006Q4","-","State","Euro Million","42043"
"NAQ03C07","GVA at Current Basic Prices","20071","2007Q1","-","State","Euro Million","43022"
"NAQ03C07","GVA at Current Basic Prices","20072","2007Q2","-","State","Euro Million","44467"
"NAQ03C07","GVA at Current Basic Prices","20073","2007Q3","-","State","Euro Million","41942"
"NAQ03C07","GVA at Current Basic Prices","20074","2007Q4","-","State","Euro Million","44772"
"NAQ03C07","GVA at Current Basic Prices","20081","2008Q1","-","State","Euro Million","42381"
"NAQ03C07","GVA at Current Basic Prices","20082","2008Q2","-","State","Euro Million","43082"
"NAQ03C07","GVA at Current Basic Prices","20083","2008Q3","-","State","Euro Million","41380"
"NAQ03C07","GVA at Current Basic Prices","20084","2008Q4","-","State","Euro Million","41107"
"NAQ03C07","GVA at Current Basic Prices","20091","2009Q1","-","State","Euro Million","39246"
"NAQ03C07","GVA at Current Basic Prices","20092","2009Q2","-","State","Euro Million","39919"
"NAQ03C07","GVA at Current Basic Prices","20093","2009Q3","-","State","Euro Million","37638"
"NAQ03C07","GVA at Current Basic Prices","20094","2009Q4","-","State","Euro Million","37467"
"NAQ03C07","GVA at Current Basic Prices","20101","2010Q1","-","State","Euro Million","37622"
"NAQ03C07","GVA at Current Basic Prices","20102","2010Q2","-","State","Euro Million","38555"
"NAQ03C07","GVA at Current Basic Prices","20103","2010Q3","-","State","Euro Million","37776"
"NAQ03C07","GVA at Current Basic Prices","20104","2010Q4","-","State","Euro Million","38240"
"NAQ03C07","GVA at Current Basic Prices","20111","2011Q1","-","State","Euro Million","38201"
"NAQ03C07","GVA at Current Basic Prices","20112","2011Q2","-","State","Euro Million","40424"
"NAQ03C07","GVA at Current Basic Prices","20113","2011Q3","-","State","Euro Million","39129"
"NAQ03C07","GVA at Current Basic Prices","20114","2011Q4","-","State","Euro Million","39213"
"NAQ03C07","GVA at Current Basic Prices","20121","2012Q1","-","State","Euro Million","38989"
"NAQ03C07","GVA at Current Basic Prices","20122","2012Q2","-","State","Euro Million","41209"
"NAQ03C07","GVA at Current Basic Prices","20123","2012Q3","-","State","Euro Million","39756"
"NAQ03C07","GVA at Current Basic Prices","20124","2012Q4","-","State","Euro Million","40051"
"NAQ03C07","GVA at Current Basic Prices","20131","2013Q1","-","State","Euro Million","38631"
"NAQ03C07","GVA at Current Basic Prices","20132","2013Q2","-","State","Euro Million","41212"
"NAQ03C07","GVA at Current Basic Prices","20133","2013Q3","-","State","Euro Million","41762"
"NAQ03C07","GVA at Current Basic Prices","20134","2013Q4","-","State","Euro Million","41764"
"NAQ03C07","GVA at Current Basic Prices","20141","2014Q1","-","State","Euro Million","42081"
"NAQ03C07","GVA at Current Basic Prices","20142","2014Q2","-","State","Euro Million","44665"
"NAQ03C07","GVA at Current Basic Prices","20143","2014Q3","-","State","Euro Million","45192"
"NAQ03C07","GVA at Current Basic Prices","20144","2014Q4","-","State","Euro Million","45986"
"NAQ03C07","GVA at Current Basic Prices","20151","2015Q1","-","State","Euro Million","58691"
"NAQ03C07","GVA at Current Basic Prices","20152","2015Q2","-","State","Euro Million","59212"
"NAQ03C07","GVA at Current Basic Prices","20153","2015Q3","-","State","Euro Million","61940"
"NAQ03C07","GVA at Current Basic Prices","20154","2015Q4","-","State","Euro Million","64905"
"NAQ03C07","GVA at Current Basic Prices","20161","2016Q1","-","State","Euro Million","58774"
"NAQ03C07","GVA at Current Basic Prices","20162","2016Q2","-","State","Euro Million","59084"
"NAQ03C07","GVA at Current Basic Prices","20163","2016Q3","-","State","Euro Million","62329"
"NAQ03C07","GVA at Current Basic Prices","20164","2016Q4","-","State","Euro Million","69589"
"NAQ03C07","GVA at Current Basic Prices","20171","2017Q1","-","State","Euro Million","64451"
"NAQ03C07","GVA at Current Basic Prices","20172","2017Q2","-","State","Euro Million","66262"
"NAQ03C07","GVA at Current Basic Prices","20173","2017Q3","-","State","Euro Million","71033"
"NAQ03C07","GVA at Current Basic Prices","20174","2017Q4","-","State","Euro Million","76014"
"NAQ03C07","GVA at Current Basic Prices","20181","2018Q1","-","State","Euro Million","73713"
"NAQ03C07","GVA at Current Basic Prices","20182","2018Q2","-","State","Euro Million","74496"
"NAQ03C07","GVA at Current Basic Prices","20183","2018Q3","-","State","Euro Million","77553"
"NAQ03C07","GVA at Current Basic Prices","20184","2018Q4","-","State","Euro Million","80252"
"NAQ03C07","GVA at Current Basic Prices","20191","2019Q1","-","State","Euro Million","79168"
"NAQ03C07","GVA at Current Basic Prices","20192","2019Q2","-","State","Euro Million","80216"
"NAQ03C07","GVA at Current Basic Prices","20193","2019Q3","-","State","Euro Million","85265"
"NAQ03C07","GVA at Current Basic Prices","20194","2019Q4","-","State","Euro Million","88512"
"NAQ03C07","GVA at Current Basic Prices","20201","2020Q1","-","State","Euro Million","89361"
"NAQ03C07","GVA at Current Basic Prices","20202","2020Q2","-","State","Euro Million","81368"
"NAQ03C07","GVA at Current Basic Prices","20203","2020Q3","-","State","Euro Million","93845"
"NAQ03C07","GVA at Current Basic Prices","20204","2020Q4","-","State","Euro Million","90904"
"NAQ03C07","GVA at Current Basic Prices","20211","2021Q1","-","State","Euro Million","97007"
"NAQ03C07","GVA at Current Basic Prices","20212","2021Q2","-","State","Euro Million","98174"
"NAQ03C07","GVA at Current Basic Prices","20213","2021Q3","-","State","Euro Million","107602"
"NAQ03C07","GVA at Current Basic Prices","20214","2021Q4","-","State","Euro Million","106603"
"NAQ03C07","GVA at Current Basic Prices","20221","2022Q1","-","State","Euro Million","111325"
"NAQ03C07","GVA at Current Basic Prices","20222","2022Q2","-","State","Euro Million","116927"
"NAQ03C07","GVA at Current Basic Prices","20223","2022Q3","-","State","Euro Million","125781"
"NAQ03C07","GVA at Current Basic Prices","20224","2022Q4","-","State","Euro Million","125551"
"NAQ03C07","GVA at Current Basic Prices","20231","2023Q1","-","State","Euro Million","118121"
"NAQ03C07","GVA at Current Basic Prices","20232","2023Q2","-","State","Euro Million","120215"
"NAQ03C08","Taxes on Products at Current Prices","19951","1995Q1","-","State","Euro Million","1624"
"NAQ03C08","Taxes on Products at Current Prices","19952","1995Q2","-","State","Euro Million","1740"
"NAQ03C08","Taxes on Products at Current Prices","19953","1995Q3","-","State","Euro Million","1796"
"NAQ03C08","Taxes on Products at Current Prices","19954","1995Q4","-","State","Euro Million","1868"
"NAQ03C08","Taxes on Products at Current Prices","19961","1996Q1","-","State","Euro Million","1793"
"NAQ03C08","Taxes on Products at Current Prices","19962","1996Q2","-","State","Euro Million","1921"
"NAQ03C08","Taxes on Products at Current Prices","19963","1996Q3","-","State","Euro Million","1983"
"NAQ03C08","Taxes on Products at Current Prices","19964","1996Q4","-","State","Euro Million","2062"
"NAQ03C08","Taxes on Products at Current Prices","19971","1997Q1","-","State","Euro Million","2042"
"NAQ03C08","Taxes on Products at Current Prices","19972","1997Q2","-","State","Euro Million","2188"
"NAQ03C08","Taxes on Products at Current Prices","19973","1997Q3","-","State","Euro Million","2258"
"NAQ03C08","Taxes on Products at Current Prices","19974","1997Q4","-","State","Euro Million","2349"
"NAQ03C08","Taxes on Products at Current Prices","19981","1998Q1","-","State","Euro Million","2328"
"NAQ03C08","Taxes on Products at Current Prices","19982","1998Q2","-","State","Euro Million","2495"
"NAQ03C08","Taxes on Products at Current Prices","19983","1998Q3","-","State","Euro Million","2575"
"NAQ03C08","Taxes on Products at Current Prices","19984","1998Q4","-","State","Euro Million","2678"
"NAQ03C08","Taxes on Products at Current Prices","19991","1999Q1","-","State","Euro Million","2666"
"NAQ03C08","Taxes on Products at Current Prices","19992","1999Q2","-","State","Euro Million","2856"
"NAQ03C08","Taxes on Products at Current Prices","19993","1999Q3","-","State","Euro Million","2948"
"NAQ03C08","Taxes on Products at Current Prices","19994","1999Q4","-","State","Euro Million","3066"
"NAQ03C08","Taxes on Products at Current Prices","20001","2000Q1","-","State","Euro Million","3519"
"NAQ03C08","Taxes on Products at Current Prices","20002","2000Q2","-","State","Euro Million","3020"
"NAQ03C08","Taxes on Products at Current Prices","20003","2000Q3","-","State","Euro Million","3708"
"NAQ03C08","Taxes on Products at Current Prices","20004","2000Q4","-","State","Euro Million","3169"
"NAQ03C08","Taxes on Products at Current Prices","20011","2001Q1","-","State","Euro Million","3620"
"NAQ03C08","Taxes on Products at Current Prices","20012","2001Q2","-","State","Euro Million","2938"
"NAQ03C08","Taxes on Products at Current Prices","20013","2001Q3","-","State","Euro Million","3707"
"NAQ03C08","Taxes on Products at Current Prices","20014","2001Q4","-","State","Euro Million","3417"
"NAQ03C08","Taxes on Products at Current Prices","20021","2002Q1","-","State","Euro Million","3859"
"NAQ03C08","Taxes on Products at Current Prices","20022","2002Q2","-","State","Euro Million","3193"
"NAQ03C08","Taxes on Products at Current Prices","20023","2002Q3","-","State","Euro Million","4182"
"NAQ03C08","Taxes on Products at Current Prices","20024","2002Q4","-","State","Euro Million","3836"
"NAQ03C08","Taxes on Products at Current Prices","20031","2003Q1","-","State","Euro Million","4244"
"NAQ03C08","Taxes on Products at Current Prices","20032","2003Q2","-","State","Euro Million","3365"
"NAQ03C08","Taxes on Products at Current Prices","20033","2003Q3","-","State","Euro Million","4611"
"NAQ03C08","Taxes on Products at Current Prices","20034","2003Q4","-","State","Euro Million","4202"
"NAQ03C08","Taxes on Products at Current Prices","20041","2004Q1","-","State","Euro Million","4787"
"NAQ03C08","Taxes on Products at Current Prices","20042","2004Q2","-","State","Euro Million","3889"
"NAQ03C08","Taxes on Products at Current Prices","20043","2004Q3","-","State","Euro Million","5120"
"NAQ03C08","Taxes on Products at Current Prices","20044","2004Q4","-","State","Euro Million","4580"
"NAQ03C08","Taxes on Products at Current Prices","20051","2005Q1","-","State","Euro Million","5353"
"NAQ03C08","Taxes on Products at Current Prices","20052","2005Q2","-","State","Euro Million","4369"
"NAQ03C08","Taxes on Products at Current Prices","20053","2005Q3","-","State","Euro Million","5986"
"NAQ03C08","Taxes on Products at Current Prices","20054","2005Q4","-","State","Euro Million","4940"
"NAQ03C08","Taxes on Products at Current Prices","20061","2006Q1","-","State","Euro Million","6245"
"NAQ03C08","Taxes on Products at Current Prices","20062","2006Q2","-","State","Euro Million","4845"
"NAQ03C08","Taxes on Products at Current Prices","20063","2006Q3","-","State","Euro Million","6735"
"NAQ03C08","Taxes on Products at Current Prices","20064","2006Q4","-","State","Euro Million","5604"
"NAQ03C08","Taxes on Products at Current Prices","20071","2007Q1","-","State","Euro Million","6862"
"NAQ03C08","Taxes on Products at Current Prices","20072","2007Q2","-","State","Euro Million","5260"
"NAQ03C08","Taxes on Products at Current Prices","20073","2007Q3","-","State","Euro Million","6551"
"NAQ03C08","Taxes on Products at Current Prices","20074","2007Q4","-","State","Euro Million","5382"
"NAQ03C08","Taxes on Products at Current Prices","20081","2008Q1","-","State","Euro Million","6138"
"NAQ03C08","Taxes on Products at Current Prices","20082","2008Q2","-","State","Euro Million","4410"
"NAQ03C08","Taxes on Products at Current Prices","20083","2008Q3","-","State","Euro Million","5865"
"NAQ03C08","Taxes on Products at Current Prices","20084","2008Q4","-","State","Euro Million","4197"
"NAQ03C08","Taxes on Products at Current Prices","20091","2009Q1","-","State","Euro Million","4399"
"NAQ03C08","Taxes on Products at Current Prices","20092","2009Q2","-","State","Euro Million","3451"
"NAQ03C08","Taxes on Products at Current Prices","20093","2009Q3","-","State","Euro Million","4858"
"NAQ03C08","Taxes on Products at Current Prices","20094","2009Q4","-","State","Euro Million","3792"
"NAQ03C08","Taxes on Products at Current Prices","20101","2010Q1","-","State","Euro Million","4273"
"NAQ03C08","Taxes on Products at Current Prices","20102","2010Q2","-","State","Euro Million","3327"
"NAQ03C08","Taxes on Products at Current Prices","20103","2010Q3","-","State","Euro Million","4925"
"NAQ03C08","Taxes on Products at Current Prices","20104","2010Q4","-","State","Euro Million","3784"
"NAQ03C08","Taxes on Products at Current Prices","20111","2011Q1","-","State","Euro Million","4357"
"NAQ03C08","Taxes on Products at Current Prices","20112","2011Q2","-","State","Euro Million","3188"
"NAQ03C08","Taxes on Products at Current Prices","20113","2011Q3","-","State","Euro Million","4603"
"NAQ03C08","Taxes on Products at Current Prices","20114","2011Q4","-","State","Euro Million","3797"
"NAQ03C08","Taxes on Products at Current Prices","20121","2012Q1","-","State","Euro Million","4384"
"NAQ03C08","Taxes on Products at Current Prices","20122","2012Q2","-","State","Euro Million","3278"
"NAQ03C08","Taxes on Products at Current Prices","20123","2012Q3","-","State","Euro Million","4937"
"NAQ03C08","Taxes on Products at Current Prices","20124","2012Q4","-","State","Euro Million","3743"
"NAQ03C08","Taxes on Products at Current Prices","20131","2013Q1","-","State","Euro Million","4598"
"NAQ03C08","Taxes on Products at Current Prices","20132","2013Q2","-","State","Euro Million","3393"
"NAQ03C08","Taxes on Products at Current Prices","20133","2013Q3","-","State","Euro Million","5076"
"NAQ03C08","Taxes on Products at Current Prices","20134","2013Q4","-","State","Euro Million","3928"
"NAQ03C08","Taxes on Products at Current Prices","20141","2014Q1","-","State","Euro Million","4757"
"NAQ03C08","Taxes on Products at Current Prices","20142","2014Q2","-","State","Euro Million","3946"
"NAQ03C08","Taxes on Products at Current Prices","20143","2014Q3","-","State","Euro Million","5160"
"NAQ03C08","Taxes on Products at Current Prices","20144","2014Q4","-","State","Euro Million","4665"
"NAQ03C08","Taxes on Products at Current Prices","20151","2015Q1","-","State","Euro Million","5097"
"NAQ03C08","Taxes on Products at Current Prices","20152","2015Q2","-","State","Euro Million","4216"
"NAQ03C08","Taxes on Products at Current Prices","20153","2015Q3","-","State","Euro Million","5671"
"NAQ03C08","Taxes on Products at Current Prices","20154","2015Q4","-","State","Euro Million","4668"
"NAQ03C08","Taxes on Products at Current Prices","20161","2016Q1","-","State","Euro Million","5641"
"NAQ03C08","Taxes on Products at Current Prices","20162","2016Q2","-","State","Euro Million","4546"
"NAQ03C08","Taxes on Products at Current Prices","20163","2016Q3","-","State","Euro Million","5818"
"NAQ03C08","Taxes on Products at Current Prices","20164","2016Q4","-","State","Euro Million","4881"
"NAQ03C08","Taxes on Products at Current Prices","20171","2017Q1","-","State","Euro Million","5916"
"NAQ03C08","Taxes on Products at Current Prices","20172","2017Q2","-","State","Euro Million","4277"
"NAQ03C08","Taxes on Products at Current Prices","20173","2017Q3","-","State","Euro Million","6203"
"NAQ03C08","Taxes on Products at Current Prices","20174","2017Q4","-","State","Euro Million","5331"
"NAQ03C08","Taxes on Products at Current Prices","20181","2018Q1","-","State","Euro Million","5904"
"NAQ03C08","Taxes on Products at Current Prices","20182","2018Q2","-","State","Euro Million","4497"
"NAQ03C08","Taxes on Products at Current Prices","20183","2018Q3","-","State","Euro Million","6679"
"NAQ03C08","Taxes on Products at Current Prices","20184","2018Q4","-","State","Euro Million","5369"
"NAQ03C08","Taxes on Products at Current Prices","20191","2019Q1","-","State","Euro Million","6427"
"NAQ03C08","Taxes on Products at Current Prices","20192","2019Q2","-","State","Euro Million","4977"
"NAQ03C08","Taxes on Products at Current Prices","20193","2019Q3","-","State","Euro Million","7014"
"NAQ03C08","Taxes on Products at Current Prices","20194","2019Q4","-","State","Euro Million","5828"
"NAQ03C08","Taxes on Products at Current Prices","20201","2020Q1","-","State","Euro Million","4897"
"NAQ03C08","Taxes on Products at Current Prices","20202","2020Q2","-","State","Euro Million","4112"
"NAQ03C08","Taxes on Products at Current Prices","20203","2020Q3","-","State","Euro Million","6633"
"NAQ03C08","Taxes on Products at Current Prices","20204","2020Q4","-","State","Euro Million","5492"
"NAQ03C08","Taxes on Products at Current Prices","20211","2021Q1","-","State","Euro Million","6314"
"NAQ03C08","Taxes on Products at Current Prices","20212","2021Q2","-","State","Euro Million","5356"
"NAQ03C08","Taxes on Products at Current Prices","20213","2021Q3","-","State","Euro Million","7872"
"NAQ03C08","Taxes on Products at Current Prices","20214","2021Q4","-","State","Euro Million","6803"
"NAQ03C08","Taxes on Products at Current Prices","20221","2022Q1","-","State","Euro Million","7736"
"NAQ03C08","Taxes on Products at Current Prices","20222","2022Q2","-","State","Euro Million","5538"
"NAQ03C08","Taxes on Products at Current Prices","20223","2022Q3","-","State","Euro Million","8703"
"NAQ03C08","Taxes on Products at Current Prices","20224","2022Q4","-","State","Euro Million","6510"
"NAQ03C08","Taxes on Products at Current Prices","20231","2023Q1","-","State","Euro Million","7983"
"NAQ03C08","Taxes on Products at Current Prices","20232","2023Q2","-","State","Euro Million","5819"
"NAQ03C09","Subsidies on Products at Current Prices","19951","1995Q1","-","State","Euro Million","-248"
"NAQ03C09","Subsidies on Products at Current Prices","19952","1995Q2","-","State","Euro Million","-275"
"NAQ03C09","Subsidies on Products at Current Prices","19953","1995Q3","-","State","Euro Million","-429"
"NAQ03C09","Subsidies on Products at Current Prices","19954","1995Q4","-","State","Euro Million","-460"
"NAQ03C09","Subsidies on Products at Current Prices","19961","1996Q1","-","State","Euro Million","-284"
"NAQ03C09","Subsidies on Products at Current Prices","19962","1996Q2","-","State","Euro Million","-313"
"NAQ03C09","Subsidies on Products at Current Prices","19963","1996Q3","-","State","Euro Million","-492"
"NAQ03C09","Subsidies on Products at Current Prices","19964","1996Q4","-","State","Euro Million","-521"
"NAQ03C09","Subsidies on Products at Current Prices","19971","1997Q1","-","State","Euro Million","-322"
"NAQ03C09","Subsidies on Products at Current Prices","19972","1997Q2","-","State","Euro Million","-407"
"NAQ03C09","Subsidies on Products at Current Prices","19973","1997Q3","-","State","Euro Million","-360"
"NAQ03C09","Subsidies on Products at Current Prices","19974","1997Q4","-","State","Euro Million","-555"
"NAQ03C09","Subsidies on Products at Current Prices","19981","1998Q1","-","State","Euro Million","-309"
"NAQ03C09","Subsidies on Products at Current Prices","19982","1998Q2","-","State","Euro Million","-427"
"NAQ03C09","Subsidies on Products at Current Prices","19983","1998Q3","-","State","Euro Million","-318"
"NAQ03C09","Subsidies on Products at Current Prices","19984","1998Q4","-","State","Euro Million","-616"
"NAQ03C09","Subsidies on Products at Current Prices","19991","1999Q1","-","State","Euro Million","-297"
"NAQ03C09","Subsidies on Products at Current Prices","19992","1999Q2","-","State","Euro Million","-376"
"NAQ03C09","Subsidies on Products at Current Prices","19993","1999Q3","-","State","Euro Million","-344"
"NAQ03C09","Subsidies on Products at Current Prices","19994","1999Q4","-","State","Euro Million","-551"
"NAQ03C09","Subsidies on Products at Current Prices","20001","2000Q1","-","State","Euro Million","-388"
"NAQ03C09","Subsidies on Products at Current Prices","20002","2000Q2","-","State","Euro Million","-385"
"NAQ03C09","Subsidies on Products at Current Prices","20003","2000Q3","-","State","Euro Million","-271"
"NAQ03C09","Subsidies on Products at Current Prices","20004","2000Q4","-","State","Euro Million","-599"
"NAQ03C09","Subsidies on Products at Current Prices","20011","2001Q1","-","State","Euro Million","-268"
"NAQ03C09","Subsidies on Products at Current Prices","20012","2001Q2","-","State","Euro Million","-258"
"NAQ03C09","Subsidies on Products at Current Prices","20013","2001Q3","-","State","Euro Million","-347"
"NAQ03C09","Subsidies on Products at Current Prices","20014","2001Q4","-","State","Euro Million","-555"
"NAQ03C09","Subsidies on Products at Current Prices","20021","2002Q1","-","State","Euro Million","-321"
"NAQ03C09","Subsidies on Products at Current Prices","20022","2002Q2","-","State","Euro Million","-431"
"NAQ03C09","Subsidies on Products at Current Prices","20023","2002Q3","-","State","Euro Million","-408"
"NAQ03C09","Subsidies on Products at Current Prices","20024","2002Q4","-","State","Euro Million","-734"
"NAQ03C09","Subsidies on Products at Current Prices","20031","2003Q1","-","State","Euro Million","-347"
"NAQ03C09","Subsidies on Products at Current Prices","20032","2003Q2","-","State","Euro Million","-431"
"NAQ03C09","Subsidies on Products at Current Prices","20033","2003Q3","-","State","Euro Million","-437"
"NAQ03C09","Subsidies on Products at Current Prices","20034","2003Q4","-","State","Euro Million","-676"
"NAQ03C09","Subsidies on Products at Current Prices","20041","2004Q1","-","State","Euro Million","-435"
"NAQ03C09","Subsidies on Products at Current Prices","20042","2004Q2","-","State","Euro Million","-467"
"NAQ03C09","Subsidies on Products at Current Prices","20043","2004Q3","-","State","Euro Million","-388"
"NAQ03C09","Subsidies on Products at Current Prices","20044","2004Q4","-","State","Euro Million","-617"
"NAQ03C09","Subsidies on Products at Current Prices","20051","2005Q1","-","State","Euro Million","-253"
"NAQ03C09","Subsidies on Products at Current Prices","20052","2005Q2","-","State","Euro Million","-301"
"NAQ03C09","Subsidies on Products at Current Prices","20053","2005Q3","-","State","Euro Million","-282"
"NAQ03C09","Subsidies on Products at Current Prices","20054","2005Q4","-","State","Euro Million","-529"
"NAQ03C09","Subsidies on Products at Current Prices","20061","2006Q1","-","State","Euro Million","-221"
"NAQ03C09","Subsidies on Products at Current Prices","20062","2006Q2","-","State","Euro Million","-250"
"NAQ03C09","Subsidies on Products at Current Prices","20063","2006Q3","-","State","Euro Million","-326"
"NAQ03C09","Subsidies on Products at Current Prices","20064","2006Q4","-","State","Euro Million","-269"
"NAQ03C09","Subsidies on Products at Current Prices","20071","2007Q1","-","State","Euro Million","-269"
"NAQ03C09","Subsidies on Products at Current Prices","20072","2007Q2","-","State","Euro Million","-299"
"NAQ03C09","Subsidies on Products at Current Prices","20073","2007Q3","-","State","Euro Million","-381"
"NAQ03C09","Subsidies on Products at Current Prices","20074","2007Q4","-","State","Euro Million","-240"
"NAQ03C09","Subsidies on Products at Current Prices","20081","2008Q1","-","State","Euro Million","-337"
"NAQ03C09","Subsidies on Products at Current Prices","20082","2008Q2","-","State","Euro Million","-316"
"NAQ03C09","Subsidies on Products at Current Prices","20083","2008Q3","-","State","Euro Million","-372"
"NAQ03C09","Subsidies on Products at Current Prices","20084","2008Q4","-","State","Euro Million","-252"
"NAQ03C09","Subsidies on Products at Current Prices","20091","2009Q1","-","State","Euro Million","-278"
"NAQ03C09","Subsidies on Products at Current Prices","20092","2009Q2","-","State","Euro Million","-300"
"NAQ03C09","Subsidies on Products at Current Prices","20093","2009Q3","-","State","Euro Million","-329"
"NAQ03C09","Subsidies on Products at Current Prices","20094","2009Q4","-","State","Euro Million","-342"
"NAQ03C09","Subsidies on Products at Current Prices","20101","2010Q1","-","State","Euro Million","-271"
"NAQ03C09","Subsidies on Products at Current Prices","20102","2010Q2","-","State","Euro Million","-221"
"NAQ03C09","Subsidies on Products at Current Prices","20103","2010Q3","-","State","Euro Million","-287"
"NAQ03C09","Subsidies on Products at Current Prices","20104","2010Q4","-","State","Euro Million","-331"
"NAQ03C09","Subsidies on Products at Current Prices","20111","2011Q1","-","State","Euro Million","-242"
"NAQ03C09","Subsidies on Products at Current Prices","20112","2011Q2","-","State","Euro Million","-246"
"NAQ03C09","Subsidies on Products at Current Prices","20113","2011Q3","-","State","Euro Million","-277"
"NAQ03C09","Subsidies on Products at Current Prices","20114","2011Q4","-","State","Euro Million","-323"
"NAQ03C09","Subsidies on Products at Current Prices","20121","2012Q1","-","State","Euro Million","-235"
"NAQ03C09","Subsidies on Products at Current Prices","20122","2012Q2","-","State","Euro Million","-256"
"NAQ03C09","Subsidies on Products at Current Prices","20123","2012Q3","-","State","Euro Million","-279"
