,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
591,Lissycasey,Clare,52.7446724,-9.158153,86,0,2,0,512,4,604
592,Listowel,Kerry,52.4460488,-9.4853655,224,4,18,12,3958,884,5100
593,Littleton,Tipperary,52.6369829,-7.735418999999998,60,0,2,4,286,82,434
594,Lixnaw,Kerry,52.4064615,-9.6181275,128,2,4,0,794,70,998
595,Loch An Iúir,Donegal,54.9981527,-8.291505299999999,72,0,0,0,310,26,408
596,Loch Gowna,Cavan,53.87370490000001,-7.5336731,8,0,0,0,144,36,188
597,Longford,Longford,53.7276296,-7.7932573,760,12,36,212,6942,3074,11036
598,Longwood,Meath,53.4550101,-6.9247866,136,2,14,20,1482,706,2360
599,Loughglinn,Roscommon,53.8225476,-8.561582999999999,10,0,4,2,154,34,204
600,Loughrea,Galway,53.1989136,-8.5660931,418,8,20,10,5490,1404,7350
601,Loughshinny,Dublin,53.54922800000001,-6.0829049,108,6,4,62,494,122,796
602,Louisburgh,Mayo,53.7631376,-9.8090849,12,0,2,0,300,64,378
603,Louth,Louth,53.9507955,-6.5406821,142,2,2,2,610,102,860
604,Lusk,Dublin,53.52632639999999,-6.1658841,1536,48,22,634,7048,2784,12072
605,Lyre,Cork,52.0817595,-8.8580581,22,0,0,0,148,50,220
606,Macroom,Cork,51.9048039,-8.9588478,160,6,24,8,3924,1064,5186
607,Maigh Cuilinn,Galway,53.3387481,-9.1814776,284,6,8,10,2096,442,2846
608,Malahide,Dublin,53.4509236,-6.1501378,2010,46,44,3284,12698,4340,22422
609,Malin,Donegal,55.2949279,-7.263082499999999,2,0,0,0,64,8,74
610,Mallow,Cork,52.13897619999999,-8.6539164,582,22,62,428,12144,2932,16170
611,Manor Kilbride,Wicklow,53.1986734,-6.4669351,20,0,4,2,184,6,216
612,Manorcunningham,Donegal,54.9552585,-7.6233678,178,0,6,2,766,24,976
613,Manorhamilton,Leitrim,54.3048735,-8.1766956,64,2,12,4,1306,522,1910
614,Maynooth,Kildare,53.3812896,-6.5918499,1766,84,34,2166,12062,7018,23130
615,Midleton,Cork,51.9143321,-8.1726276,976,32,24,718,13762,3020,18532
616,Milford,Cork,51.8721994,-8.4998655,20,0,0,0,254,20,294
617,Milford,Donegal,55.0883927,-7.698962099999999,74,4,8,0,932,160,1178
618,Millstreet,Cork,52.06013180000001,-9.0647121,76,0,20,18,1642,314,2070
619,Milltown,Galway,53.6137016,-8.898962000000001,28,0,4,2,242,8,284
620,Milltown,Kerry,52.1451912,-9.7175069,70,2,4,4,1042,296,1418
621,Milltown,Kildare,53.2051083,-6.861192699999999,28,4,14,12,366,26,450
622,Miltown Malbay,Clare,52.8562013,-9.4007763,36,0,2,4,852,116,1010
623,Mitchelstown,Cork,52.2662127,-8.2698863,110,4,4,2,3010,1094,4224
624,Moate,Westmeath,53.3949987,-7.7186188,140,6,6,22,2698,558,3430
625,Model Village or Dripsey,Cork,51.9143772,-8.7420906,56,0,4,0,306,10,376
626,Mogeely,Cork,51.8861108,-8.4989926,64,4,2,4,554,24,652
627,Mohill,Leitrim,53.9218288,-7.865310099999999,26,0,6,14,742,222,1010
628,Monaghan,Monaghan,54.2492434,-6.9683082,466,10,22,22,6608,1998,9126
629,Monamolin,Wexford,52.556856,-6.3496134,58,0,0,0,252,18,328
630,Monard,Tipperary,52.5107814,-8.2232875,28,0,6,8,260,50,352
631,Monasterevin,Kildare,53.1400651,-7.060377,530,10,26,248,5018,966,6798
632,Moneenroe,Kilkenny,52.83215449999999,-7.171786499999999,60,0,6,2,744,62,874
633,Moneygall,Offaly,52.87973760000001,-7.9578079,48,0,2,2,360,34,446
634,Monivea,Galway,53.37426199999999,-8.702721,26,0,4,8,508,62,608
635,Mooncoin,Kilkenny,52.2951348,-7.2565554,72,0,6,6,976,214,1274
636,Moroe,Limerick,52.649444,-8.39949,192,4,8,0,1510,232,1946
637,Mountbellew,Galway,53.47188,-8.5049,32,0,2,2,788,126,950
638,Mountcharles,Donegal,54.6474421,-8.1947189,98,2,4,2,660,82,848
639,Mountcollins,Limerick,52.3220585,-9.2386125,22,2,4,0,220,4,252
640,Mountmellick,Laois,53.1181481,-7.3267379,278,2,14,140,4194,1190,5818
641,Mountrath,Laois,53.0025597,-7.4751396,160,4,10,26,1590,456,2246
642,Mountshannon,Clare,52.9337525,-8.4330044,28,0,2,0,220,28,278
643,Moville,Donegal,55.1890182,-7.040053299999999,106,2,6,2,1038,280,1434
644,Moylough,Galway,53.48770529999999,-8.565876,54,0,0,2,648,50,754
645,Mucklagh,Offaly,53.250532,-7.550175399999999,102,2,6,26,930,116,1182
646,Muff,Donegal,55.0680564,-7.2689498,220,4,10,0,1458,108,1800
647,Muinebeag (Bagenalstown),Carlow,52.7007292,-6.957055599999999,102,4,14,60,2138,1054,3372
648,Mullagh,Cavan,53.8115174,-6.945981799999999,322,2,10,2,1490,304,2130
649,Mullaghmore,Sligo,54.4655463,-8.4494545,10,0,4,2,114,8,138
650,Mullinahone,Tipperary,52.512032,-7.505708599999999,66,2,0,0,418,98,584
651,Mullinavat,Kilkenny,52.3679303,-7.1711881,18,0,0,2,164,20,204
652,Mullingar,Westmeath,53.5259334,-7.3381378,1004,64,90,544,19164,5576,26442
653,Mulranny,Mayo,53.9061783,-9.7813773,52,0,0,0,206,52,310
654,Multyfarnham,Westmeath,53.6252723,-7.3893159,42,0,4,4,360,96,506
655,Mungret,Limerick,52.6356745,-8.693501999999999,42,0,0,2,422,38,504
656,Murntown,Wexford,52.28724,-6.5222437,28,2,0,0,376,32,438
657,Myrtleville,Cork,51.7829961,-8.3003542,70,0,10,6,952,64,1102
658,Myshall,Carlow,52.6858791,-6.7804051,52,0,0,2,260,26,340
659,Mín Lárach,Donegal,55.1451784,-8.1850861,64,0,2,4,356,20,446
660,Na Dúnaibh,Donegal,55.1948628,-7.8369654,122,0,6,0,502,38,668
661,Na Forbacha,Galway,53.24918,-9.20495,80,0,0,4,812,124,1020
662,Naas,Kildare,53.2205654,-6.6593079,2620,128,76,1500,23488,6738,34550
663,Narraghmore,Kildare,53.04868010000001,-6.8294142,100,4,0,6,440,18,568
664,Naul,Dublin,53.5850362,-6.288999899999999,104,0,6,26,712,128,976
665,Navan,Meath,53.647092,-6.6966605,4880,88,96,140,28866,9904,43974
666,Nenagh,Tipperary,52.8642968,-8.1975561,450,14,24,22,8688,2992,12190
667,New Ross,Wexford,52.3958337,-6.945456699999999,668,14,34,12,6710,1810,9248
668,Newbawn,Wexford,52.3428304,-6.7912642,24,0,0,0,142,18,184
669,Newbliss,Monaghan,54.1576466,-7.1368133,44,0,0,0,326,50,420
670,Newbridge,Kildare,53.17507579999999,-6.8047467,1836,94,66,1736,20074,7288,31094
671,Newcastle,Dublin,53.2998135,-6.5010237,780,20,10,126,4108,1034,6078
672,Newcastle,Tipperary,52.2725965,-7.8112834,64,0,2,0,264,94,424
673,Newcastle,Wicklow,53.07335519999999,-6.057185,160,8,4,62,938,94,1266
674,Newcastle West,Limerick,52.4492389,-9.0499054,444,4,14,12,6540,1564,8578
675,Newmarket,Cork,52.2140232,-9.0030815,48,0,8,6,958,128,1148
676,Newmarket-On-Fergus,Clare,52.7605328,-8.895750099999999,208,8,4,2,1848,286,2356
677,Newport,Mayo,53.8852758,-9.5463685,68,0,8,2,652,134,864
678,Newport,Tipperary,52.71089629999999,-8.406208399999999,112,2,6,0,2352,538,3010
679,Newtown,Cork,51.8282409,-8.3803862,30,0,6,0,444,70,550
680,Newtown,Laois,52.8630266,-7.1082572,36,0,2,0,274,18,330
681,Newtown,Tipperary,52.8778127,-8.292807,24,0,6,0,484,68,582
682,Newtowncunningham,Donegal,54.99881749999999,-7.5127836,246,2,4,2,1014,176,1444
683,Newtownforbes,Longford,53.7654838,-7.835621,112,2,2,14,710,114,954
684,Newtownmountkennedy,Wicklow,53.0927815,-6.112023,670,14,26,68,3318,576,4672
685,Newtownsandes,Kerry,52.50166,-9.3705609,40,0,0,0,308,42,390
686,Nobber,Meath,53.8217066,-6.747939799999999,28,0,0,0,280,152,460
687,Nurney,Kildare,53.0966332,-6.9482121,84,0,6,16,440,114,660
688,O'Briensbridge-Montpelier,Clare,52.75060389999999,-8.496743,56,0,10,0,430,12,508
689,Oilgate,Wexford,52.42101,-6.52994,40,0,4,0,352,46,442
690,Oldcastle,Meath,53.7700178,-7.162411799999999,44,2,16,4,1108,604,1778
691,Oldtown,Dublin,53.522678,-6.315430699999999,92,2,6,2,530,54,686
692,Omeath,Louth,54.0882604,-6.2593365,124,2,6,0,558,92,782
693,Oola,Limerick,52.5296598,-8.2596358,36,0,2,4,258,28,328
694,Oram,Monaghan,54.1508756,-6.7016152,16,0,4,0,164,24,208
695,Oranmore,Galway,53.2647506,-8.9297335,436,18,10,120,5970,1400,7954
696,Oughterard,Galway,53.42854810000001,-9.3189472,134,6,8,4,1696,336,2184
697,Oulart,Wexford,52.5039145,-6.390861699999999,22,0,2,4,214,24,266
698,Palatine,Carlow,52.8649974,-6.8610348,16,0,2,4,348,6,376
699,Pallasgreen,Limerick,52.54873,-8.355184999999999,52,0,2,0,202,20,276
700,Pallaskenry,Limerick,52.6447411,-8.8674281,12,0,4,0,584,168,768
701,Parteen,Clare,52.696836,-8.6149881,32,2,4,4,776,160,978
702,Passage East,Waterford,52.2396938,-6.974394999999999,40,4,2,0,712,74,832
703,Passage West-Monkstown,Cork,51.8485442,-8.3325695,654,24,28,6,6240,678,7630
704,Patrickswell,Limerick,52.5980577,-8.707284399999999,114,4,4,0,728,134,984
705,Paulstown,Kilkenny,52.6793223,-7.021358999999999,154,2,2,0,996,132,1286
706,Pettigo,Donegal,54.54943,-7.832033900000001,20,0,2,0,96,16,134
