,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
846,Turloughmore,Galway,53.3821288,-8.853684,30,0,2,0,298,4,334
847,Two Mile House,Kildare,53.1702248,-6.700301899999999,76,0,2,22,522,80,702
848,Twomileborris,Tipperary,52.6725745,-7.711432999999999,34,0,2,8,514,50,608
849,Tyrrellspass,Westmeath,53.3889615,-7.3773447,42,0,2,2,306,74,426
850,Unionhall,Cork,51.558803,-9.1434791,54,0,0,0,302,66,422
851,Urlingford,Kilkenny,52.7205983,-7.5821799,120,2,10,12,876,312,1332
852,Villierstown,Waterford,52.08824449999999,-7.850768,50,0,2,0,240,46,338
853,Virginia,Cavan,53.8344096,-7.0813222,282,6,18,10,2730,878,3924
854,Walsh Island or Coolagary,Offaly,53.234638,-7.2138556,68,0,4,8,368,92,540
855,Waterford city and suburbs,Waterford,52.2593197,-7.110070299999999,3786,284,186,182,48764,14232,67434
856,Watergrasshill,Cork,52.0113682,-8.3440414,302,0,16,2,2004,456,2780
857,Waterville,Kerry,51.829465,-10.1745436,102,0,6,0,388,108,604
858,Westport,Mayo,53.8011505,-9.5223,358,12,10,50,5124,2274,7828
859,Wexford,Wexford,52.336916,-6.4633381,980,52,66,82,17430,5748,24358
860,Whitechurch,Cork,51.9840023,-8.516469899999999,66,4,4,0,1048,12,1134
861,Whitegate,Clare,52.9505524,-8.3729064,18,0,2,0,172,8,200
862,Whitegate,Cork,51.8267841,-8.2321121,234,2,4,10,1398,90,1738
863,Wicklow,Wicklow,52.9808207,-6.044588999999999,1070,38,40,464,11564,2834,16010
864,Williamstown,Galway,53.6777196,-8.579964,10,0,2,0,176,28,216
865,Woodford,Galway,53.0521803,-8.4002368,2,0,4,0,244,26,276
866,Youghal,Cork,51.9542704,-7.8471707,786,12,36,22,7088,1338,9282
