Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Ballitore,Kildare,53.009742,-6.8156295,82,0,0,6,644,30,762
Ballivor,Meath,53.5329521,-6.9680717,370,0,6,14,1826,326,2542
Ballon,Carlow,52.7391042,-6.7697839,128,2,0,4,702,192,1028
Ballyagran,Limerick,52.4018224,-8.7823667,14,0,2,0,180,10,206
Ballybay,Monaghan,54.1294617,-6.9027864,62,0,14,2,1226,340,1644
Ballybofey-Stranorlar,Donegal,54.801667,-7.775,662,4,36,4,4648,762,6116
Ballyboghil,Dublin,53.520206,-6.2675954,94,6,4,32,804,162,1102
Ballybrittas,Laois,53.109028,-7.1374187,60,2,2,14,518,16,612
Ballybunion,Kerry,52.51108,-9.67097,34,0,2,10,1234,276,1556
Ballycanew,Wexford,52.6106782,-6.3049672,76,0,6,6,526,90,704
Ballycannan,Clare,52.702964,-8.649498,30,4,2,0,708,12,756
Ballycastle,Mayo,54.2796698,-9.3724643,22,0,0,0,150,20,192
Ballyclerahan,Tipperary,52.4118971,-7.7530672,58,2,10,2,1092,118,1282
Ballyclogh,Cork,52.1673919,-8.742242,42,0,6,2,276,44,370
Ballycolla,Laois,52.8825474,-7.4468606,4,0,0,0,136,6,146
Ballyconnell,Cavan,54.1162175,-7.5839543,206,12,10,4,1132,350,1714
Ballycotton,Cork,51.8299148,-8.0097621,38,0,0,0,426,72,536
Ballycullane,Wexford,52.2803179,-6.8397818,30,0,2,2,182,34,250
Ballycumber,Offaly,53.3264159,-7.6861137,16,0,0,0,214,18,248
Ballydehob,Cork,51.5644261,-9.4634122,22,0,4,0,222,58,306
Ballydesmond,Cork,52.1796564,-9.2341524,18,2,12,0,228,28,288
Ballyduff,Kerry,52.4545516,-9.6629052,74,2,0,0,340,62,478
Ballyforan,Roscommon,53.4700864,-8.270058,28,0,0,0,184,50,262
Ballygar,Galway,53.5238778,-8.3346912,34,2,2,2,554,192,786
Ballygarvan,Cork,51.824267,-8.4612549,82,0,4,0,626,114,826
Ballygawley,Sligo,54.1920204,-8.4452435,36,0,0,2,356,8,402
Ballyhack,Wexford,52.2487468,-6.9640362,12,0,0,0,154,32,198
Ballyhahill,Limerick,52.5595432,-9.1944765,24,0,2,0,120,34,180
Ballyhaise,Cavan,54.0473393,-7.3155093,124,0,4,2,692,172,994
Ballyhale,Kilkenny,52.4669813,-7.2002655,6,0,2,0,182,40,230
Ballyhaunis,Mayo,53.7628378,-8.7645957,180,2,12,26,1724,950,2894
Ballyheigue,Kerry,52.3904645,-9.8277419,120,0,2,4,378,42,546
Ballyhogue,Wexford,52.41432,-6.57535,60,0,0,0,252,22,334
Ballyhooly,Cork,52.1452748,-8.3980968,80,0,0,0,606,124,810
Ballyjamesduff,Cavan,53.8638736,-7.2064562,164,2,16,4,2534,1082,3802
Ballyknockan,Wicklow,53.1029934,-6.4959254,56,0,0,0,238,6,300
Ballylanders,Limerick,52.3735166,-8.3455064,36,0,2,0,266,88,392
Ballyliffin,Donegal,55.2784391,-7.3942123,82,0,2,0,374,46,504
Ballylinan,Laois,52.9435883,-7.0420455,206,2,12,32,1176,148,1576
Ballylongford,Kerry,52.5479992,-9.4788097,66,0,4,0,354,18,442
Ballymacarbry,Waterford,52.2670804,-7.7176504,24,0,0,0,138,14,176
Ballymacoda,Cork,51.8921093,-7.9395743,62,2,0,0,218,0,282
Ballymahon,Longford,53.5643632,-7.7645964,40,2,2,6,1162,524,1736
Ballymore,Westmeath,53.4909131,-7.6797464,64,0,8,8,500,50,630
Ballymore Eustace,Kildare,53.1330099,-6.6148809,112,0,0,12,600,92,816
Ballymote,Sligo,54.0898288,-8.5171827,98,4,4,18,1534,364,2022
Ballymurn,Wexford,52.4412829,-6.4770469,84,2,2,2,690,78,858
Ballynacargy,Westmeath,53.5820789,-7.5364989,28,0,0,0,128,48,204
Ballynacarrow,Sligo,54.1340968,-8.560462,18,0,0,0,256,28,302
Ballyneety,Limerick,52.5977547,-8.5490207,36,0,0,2,682,18,738
Ballynoe,Cork,51.9472538,-8.4460079,50,0,0,0,208,6,264
Ballyoulster,Kildare,53.3414646,-6.5121938,80,2,2,10,336,60,490
Ballyporeen,Tipperary,52.2701094,-8.0992106,42,0,4,2,252,60,360
Ballyragget,Kilkenny,52.7888894,-7.3328641,148,0,10,4,952,188,1302
Ballyroan,Laois,52.9483991,-7.3046676,102,0,6,4,712,64,888
Ballyroe,Kildare,52.9578429,-6.9389751,24,0,2,4,160,36,226
Ballysadare,Sligo,54.2121162,-8.5090366,88,4,10,10,2012,272,2396
Ballyshannon,Donegal,54.5029882,-8.1920416,124,2,4,6,1626,514,2276
Ballysimon,Wexford,52.5227528,-6.4836862,32,0,12,0,356,40,440
Ballyvaughan,Clare,53.1155333,-9.1494233,34,0,2,0,94,48,178
Balrothery,Dublin,53.2915766,-6.3391982,380,10,4,84,2030,498,3006
Baltimore,Cork,51.4843274,-9.3661093,86,2,8,4,272,90,462
Baltinglass,Wicklow,52.9407807,-6.71098,104,4,8,12,2014,774,2916
Baltray,Louth,53.7371107,-6.2704904,10,0,0,4,166,2,182
Banagher,Offaly,53.1901112,-7.9861049,62,0,12,6,1372,586,2038
Bandon,Cork,51.7458668,-8.7350553,808,18,44,18,7458,1716,10062
Bangor Erris,Mayo,54.1446484,-9.7428784,50,0,4,0,266,70,390
Bansha,Tipperary,52.4482369,-8.0642959,42,0,0,6,256,62,366
Banteer,Cork,52.1294606,-8.8935092,36,0,2,10,312,50,410
Bantry,Cork,51.6800803,-9.4525763,102,2,12,2,2240,780,3138
Barndarrig,Wicklow,52.90998,-6.11336,54,0,2,2,256,10,324
Barntown,Wexford,52.342388,-6.5284919,34,0,0,4,526,26,590
Baylin,Westmeath,53.43381,-7.84074,14,0,0,6,340,26,386
Bearna,Galway,53.2506642,-9.1551345,144,8,10,8,2436,362,2968
Beaufort,Kerry,52.0722344,-9.6392584,26,0,2,2,280,18,328
Beaulieu,Louth,53.7280656,-6.2935757,12,2,6,4,230,12,266
Belcarra,Mayo,53.8022746,-9.2141371,12,0,0,0,180,36,228
Belgooly,Cork,51.7368994,-8.4815869,206,0,2,6,888,140,1242
Bellanagare,Roscommon,53.8369829,-8.3815026,12,0,4,0,124,14,154
Bellanode,Monaghan,54.266922,-7.0364418,64,0,2,0,484,22,572
Bellavary,Mayo,53.89366,-9.15104,20,0,0,0,186,34,240
Belmont,Offaly,53.2560708,-7.8951652,12,0,0,0,152,14,178
Belturbet,Cavan,54.1019056,-7.449668,120,0,4,6,1154,306,1590
Bennettsbridge,Kilkenny,52.5923475,-7.1843272,72,0,8,2,600,100,782
Birr,Offaly,53.0980052,-7.9096882,152,2,24,36,3602,1314,5130
Blacklion,Cavan,54.2920639,-7.8751276,8,0,0,4,162,22,196
Blackwater,Wexford,52.4473539,-6.3469303,60,0,0,2,390,62,514
Blarney,Cork,51.9338275,-8.5612438,198,4,2,8,2798,370,3380
