Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Drogheda,Louth,53.717856,-6.3560985,6686,136,126,1208,31176,13690,53022
Dromahair,Leitrim,54.2306704,-8.3026235,90,2,0,0,964,178,1234
Dromina,Cork,52.3117507,-8.8012075,14,0,2,0,298,44,358
Dromineer,Tipperary,52.9248849,-8.2756534,0,0,0,0,80,6,86
Dromiskin,Louth,53.9217123,-6.4010092,188,4,2,8,1318,150,1670
Drommahane,Cork,52.1056038,-8.6908349,78,2,10,18,960,196,1264
Dromore West,Sligo,54.2495094,-8.8799262,70,0,4,0,270,20,364
Drumcollogher,Limerick,52.3396079,-8.9076419,4,0,8,2,436,100,550
Drumconrath,Meath,53.8515966,-6.6563415,76,0,6,2,326,60,470
Drumkeen,Donegal,54.8660308,-7.7513945,38,2,4,0,366,22,432
Drumkeeran,Leitrim,54.169409,-8.142664,6,0,0,2,184,70,262
Drumlish,Longford,53.8205903,-7.768414,230,0,18,18,976,172,1414
Drumod,Leitrim,53.8575697,-7.9208348,156,4,2,26,668,30,886
Drumshanbo,Leitrim,54.0478004,-8.0400238,40,0,6,12,1028,238,1324
Drumsna,Leitrim,53.9269176,-8.0079271,44,2,0,2,272,2,322
Duagh,Kerry,52.4147893,-9.3901918,22,0,4,0,292,44,362
Dublin city and suburbs,Dublin,53.3498053,-6.2603097,225800,9312,2960,104860,689012,440362,1472306
Duleek,Meath,53.6547501,-6.4221752,1450,8,14,46,4580,358,6456
Dumha Thuama,Mayo,54.0645,-9.5357,34,0,0,2,60,4,100
Dunboyne,Meath,53.4192677,-6.4758857,742,32,32,528,5740,2594,9668
Duncannon,Wexford,52.2206117,-6.9325606,12,0,0,2,192,34,240
Duncormick,Wexford,52.2285412,-6.6550542,26,0,0,0,178,12,216
Dundalk,Louth,53.9979451,-6.405957,4392,110,84,440,31450,11704,48180
Dunderrow,Cork,51.726487,-8.5874569,30,0,0,0,216,70,316
Dundrum,Tipperary,52.5595234,-8.0432251,56,0,0,0,188,28,272
Dunfanaghy,Donegal,55.1834711,-7.9694369,52,0,2,0,318,68,440
Dungarvan,Waterford,52.0936763,-7.6203627,326,12,30,14,7846,3138,11366
Dunhill,Waterford,52.1737783,-7.2637558,28,2,2,0,244,34,310
Dunkineely,Donegal,54.6320711,-8.3570787,58,0,2,0,288,36,384
Dunlavin,Wicklow,53.0578764,-6.7016395,14,4,4,0,828,340,1190
Dunleer,Louth,53.8310533,-6.3944559,202,4,14,10,1772,682,2684
Dunmanway,Cork,51.7222571,-9.1118088,62,2,10,6,1636,446,2162
Dunmore,Galway,53.6180163,-8.7441461,26,0,2,0,556,208,792
Dunmore East,Waterford,52.1527666,-6.994804,228,0,6,10,1632,232,2108
Dunshaughlin,Meath,53.5135229,-6.5402525,820,14,18,116,5936,2000,8904
Durrow,Laois,52.8462248,-7.3949802,144,0,10,12,784,156,1106
Durrus,Cork,51.6217112,-9.521993,54,0,2,0,312,54,422
Easky,Sligo,54.286325,-8.9623692,16,0,2,0,182,40,240
Edenderry,Offaly,53.3432235,-7.0517202,672,22,24,34,6330,2434,9516
Edgeworthstown,Longford,53.6956862,-7.608493,406,2,2,72,1280,458,2220
Elphin,Roscommon,53.8522697,-8.1978488,34,2,4,10,546,174,770
Emly,Tipperary,52.4633291,-8.3498992,34,0,0,2,298,52,386
Emo,Laois,53.097203,-7.208535,40,2,2,6,242,32,324
Emyvale,Monaghan,54.3409914,-6.9592612,108,0,6,0,580,86,780
Enfield,Meath,53.4142026,-6.8296541,776,12,8,146,2992,1242,5176
Ennis,Clare,52.8474255,-8.9887384,1002,58,70,246,26250,5554,33180
Enniscorthy,Wexford,52.5031135,-6.5727721,732,18,38,30,9258,2958,13034
Enniscrone,Sligo,54.2136818,-9.0908352,36,0,2,12,1022,264,1336
Enniskerry,Wicklow,53.1935037,-6.1707299,216,14,14,106,1788,166,2304
Ennistimon,Clare,52.940372,-9.2934951,22,6,4,4,780,400,1216
Errill,Laois,52.8599496,-7.6769934,34,0,4,0,196,14,248
Eyrecourt,Galway,53.1997171,-8.131427,36,0,2,4,172,36,250
Fahan,Donegal,55.0876125,-7.4724123,66,0,2,0,504,14,586
Farran,Cork,51.8733225,-8.7204343,28,0,4,0,356,24,412
Feakle,Clare,52.9260682,-8.6486521,10,0,0,0,72,20,102
Fedamore,Limerick,52.5455071,-8.6016177,46,0,0,0,414,14,474
Fenit,Kerry,52.2784045,-9.8612114,28,0,4,4,630,68,734
Fennagh,Carlow,52.71467,-6.84615,130,0,4,4,474,20,632
Ferbane,Offaly,53.27195,-7.8278719,28,2,4,12,1148,214,1408
Fermoy,Cork,52.1378017,-8.2752606,286,22,20,10,5744,1994,8076
Ferns,Wexford,52.5909249,-6.4980105,196,2,6,0,932,300,1436
Fethard,Tipperary,52.4659436,-7.6927334,94,0,10,8,1496,356,1964
Fethard,Wexford,52.1923021,-6.8402183,64,0,0,0,286,28,378
Fiddown,Kilkenny,52.331516,-7.313796,42,0,2,0,514,20,578
Fieries,Kerry,52.17019,-9.59718,124,2,6,0,630,154,916
Foxford,Mayo,53.9807726,-9.113245,62,0,4,6,1256,200,1528
Foynes,Limerick,52.6102719,-9.1048617,46,0,0,0,446,78,570
Freemount,Cork,52.2768369,-8.8847534,28,0,0,0,274,44,346
Frenchpark,Roscommon,53.8695107,-8.4074282,60,0,6,4,392,76,538
Freshford,Kilkenny,52.7325067,-7.3981631,84,2,8,0,406,84,584
Galbally,Limerick,52.4000202,-8.2936733,32,0,2,4,194,36,268
Galway city and suburbs,Galway,53.274001,-9.0512662,11670,316,208,380,57788,29600,99962
Garristown,Dublin,53.5668673,-6.3835624,244,2,0,6,522,88,862
Geashill,Offaly,53.2352224,-7.3209776,64,2,2,8,310,94,480
Glanworth,Cork,52.1866296,-8.3567369,84,2,0,6,576,122,790
Glaslough,Monaghan,54.3172784,-6.8971168,46,0,4,2,430,38,520
Glassan,Westmeath,53.4699107,-7.8639073,16,0,0,8,214,18,256
Gleann Cholm Cille,Donegal,54.7080885,-8.7295157,14,0,0,0,110,38,162
Glenamaddy,Galway,53.6055461,-8.5604032,32,0,8,0,414,214,668
Glenbeigh,Kerry,52.0561861,-9.9403477,32,2,0,2,354,36,426
Glencullen,Dublin,53.2224638,-6.216138,18,2,2,34,408,38,502
Glenealy,Wicklow,52.9666341,-6.1445729,102,4,10,10,612,72,810
Gleneely,Donegal,55.2387477,-7.1466476,36,0,4,0,216,38,294
Glengarriff,Cork,51.7500277,-9.5522224,34,0,0,2,142,42,220
Glenties,Donegal,54.7971669,-8.2830316,30,0,6,0,802,196,1034
Glenville,Cork,52.0456579,-8.4254293,130,2,4,0,568,102,806
Glin,Limerick,52.5688921,-9.2819067,56,0,0,0,508,122,686
Gneevgullia,Kerry,52.1166851,-9.2719471,50,0,6,2,320,32,410
Gob an Choire,Mayo,53.9302564,-9.9266332,8,0,0,0,168,52,228
Golden,Tipperary,52.4984411,-7.9807495,36,0,6,8,334,42,426
Goresbridge,Kilkenny,52.6297084,-6.9940878,22,0,0,6,248,44,320
Gorey,Wexford,52.6757355,-6.2943022,796,26,28,104,9662,3736,14352
Gormanston,Meath,53.6419159,-6.2480288,28,0,0,20,284,24,356
Gort,Galway,53.0666432,-8.8187486,174,2,4,30,2222,678,3110
Gort An Choirce,Donegal,55.116926,-8.1400725,28,0,4,0,280,46,358
Gortnahoo,Tipperary,52.6759449,-7.6025618,46,0,6,0,242,64,358
Gowran,Kilkenny,52.6290523,-7.0665112,116,0,6,4,784,130,1040
Graiguenamanagh-Tinnahinch,Kilkenny,52.5441348,-6.9594397,82,6,2,14,976,282,1362
Granard,Longford,53.7791755,-7.4923774,28,0,4,2,614,388,1036
Grange,Sligo,54.3932789,-8.5220973,40,0,0,2,532,198,772
Greencastle,Donegal,55.203361,-6.9875478,158,4,10,4,1194,84,1454
Grenagh,Cork,52.0104774,-8.610667,106,0,2,0,934,28,1070
Greystones-Delgany,Wicklow,53.1491175,-6.0793414,1972,104,78,2674,17024,4688,26540
Gurteen,Sligo,53.9959002,-8.5226889,50,0,2,2,412,78,544
Hacketstown,Carlow,52.8653857,-6.5586053,12,0,6,0,486,224,728
Halfway,Cork,51.80402,-8.57161,32,0,6,0,328,0,366
Headford,Galway,53.4694617,-9.106134,58,0,12,0,1222,220,1512
Holycross,Tipperary,52.6397686,-7.8701793,54,0,0,26,716,48,844
Hospital,Limerick,52.4743003,-8.4324543,36,0,2,2,550,182,772
Inagh,Clare,52.8769834,-9.1767645,18,0,2,0,214,18,252
Inchigeelagh,Cork,51.8424464,-9.1264323,6,0,0,0,128,20,154
Inishannon,Cork,51.7649008,-8.6574773,144,4,2,0,1066,248,1464
Inistioge,Kilkenny,52.4884908,-7.0654589,44,0,0,0,236,40,320
Inniskeen,Monaghan,54.00316,-6.58406,50,2,8,0,316,72,448
Irishtown,Mayo,53.6627806,-8.8900518,22,0,6,0,168,32,228
Jenkinstown,Louth,54.0160556,-6.3103519,86,0,6,8,416,2,518
Johnstown,Kildare,53.2370579,-6.6217975,458,0,4,24,1412,88,1986
Johnstown,Kilkenny,52.7485178,-7.556993,20,2,0,0,358,88,468
Johnstownbridge,Kildare,53.4019965,-6.8552033,160,0,4,20,610,108,902
Julianstown,Meath,53.6729374,-6.285651,146,2,0,26,650,114,938
Kanturk,Cork,52.1772549,-8.9051669,152,2,18,28,2498,668,3366
Keadew,Roscommon,54.0511423,-8.1377557,22,0,2,4,168,14,210
Keel-Dooagh,Mayo,53.9749643,-10.1266688,52,0,2,2,356,56,468
Keenagh,Longford,53.622007,-7.8147206,162,0,2,8,640,136,948
Kells,Kilkenny,52.5396697,-7.2731871,32,0,2,2,346,26,408
Kells,Meath,53.7271803,-6.8769723,884,16,20,8,5138,1700,7766
Kenmare,Kerry,51.8801017,-9.5835202,74,4,8,8,1982,732,2808
Kentstown,Meath,53.6275364,-6.5333411,312,2,4,0,1126,204,1648
Kernanstown,Carlow,52.835854,-6.9324744,6,0,0,2,218,28,254
Keshcarrigan,Leitrim,54.0188646,-7.9425264,42,0,0,4,188,12,246
Kilbeggan,Westmeath,53.3684574,-7.4994634,60,2,12,8,1288,434,1804
Kilberry,Kildare,53.0311398,-7.016987,36,0,4,4,290,22,356
Kilbrin,Cork,51.8812776,-8.4408691,18,0,2,0,186,26,232
Kilbrittain,Cork,51.6735577,-8.6917337,34,0,2,0,216,46,298
Kilcloon,Meath,53.42723,-6.58392,42,2,2,30,456,62,594
Kilcock,Kildare,53.3994266,-6.6681233,976,38,20,696,7518,2534,11782
Kilcolgan,Galway,53.210233,-8.8694383,26,0,2,2,226,26,282
Kilcoole,Wicklow,53.1062723,-6.0645861,536,20,14,300,3924,1146,5940
Kilcormac,Offaly,53.1764113,-7.7274112,44,2,14,4,760,270,1094
Kilcullen,Kildare,53.1302865,-6.7452791,228,10,12,76,3584,1384,5294
Kilcummin,Kerry,52.0984108,-9.4700704,34,0,0,4,740,36,814
Kildalkey,Meath,53.5714499,-6.9060291,166,6,4,4,690,172,1042
Kildangan,Kildare,53.1052189,-7.0137601,118,0,2,26,500,88,734
Kildare,Kildare,53.1598059,-6.9089763,1012,30,22,724,9220,2192,13200
Kildavin,Carlow,52.683205,-6.6849832,6,0,4,0,172,22,204
Kildimo,Limerick,52.6237328,-8.8120969,44,0,0,0,604,44,692
Kildorrery,Cork,52.2464986,-8.4273898,46,0,2,2,352,72,474
Kildrum,Donegal,54.9791343,-7.4194454,66,0,2,2,610,6,686
Kildysart,Clare,52.6739738,-9.1075349,14,0,4,0,438,96,552
Kilfenora,Clare,52.9899429,-9.218327,16,2,0,0,118,30,166
Kilfinnane,Limerick,52.3591426,-8.4682225,30,2,6,2,560,216,816
Kilflynn,Kerry,52.3505422,-9.6253164,2,0,0,2,178,14,196
Kilgarvan,Kerry,51.9031476,-9.4384061,18,2,0,0,268,30,318
Kilkee,Clare,52.6828228,-9.6444116,40,0,4,0,552,196,792
Kilkelly,Mayo,53.8717922,-8.8502415,26,0,2,0,440,42,510
Kilkenny,Kilkenny,52.6549027,-7.2464029,1564,82,66,252,21044,8804,31812
Kilkishen,Clare,52.8071551,-8.7470346,94,2,10,2,652,110,870
Kill,Kildare,53.2487063,-6.5905306,808,14,8,24,3654,604,5112
Kill,Waterford,52.1758844,-7.3353921,72,2,2,0,276,72,424
Killala,Mayo,54.2125146,-9.2209999,68,0,4,2,472,74,620
Killaloe,Clare,52.808886,-8.4475152,96,0,16,0,1234,504,1850
Killarney,Kerry,52.0598646,-9.5043629,750,42,56,96,10416,4364,15724
Killashee,Longford,53.6812889,-7.8793228,16,0,0,2,202,22,242
Killavullen,Cork,52.1465049,-8.5166811,34,0,4,0,278,52,368
Killeagh,Cork,51.9424888,-7.9920158,156,0,0,16,846,166,1184
Killeigh,Offaly,53.2140733,-7.4503427,44,0,0,6,166,26,242
Killenard,Laois,53.1349458,-7.1478515,92,0,4,40,606,166,908
Killenaule,Tipperary,52.5684251,-7.6734719,38,2,6,2,612,106,766
Killeshandra,Cavan,54.0138727,-7.5282313,36,0,0,0,152,56,244
Killimor,Galway,53.1656231,-8.2910516,30,0,6,2,238,54,330
Killinierin,Wexford,52.7300058,-6.2850306,26,0,2,6,288,46,368
Killorglin,Kerry,52.1063508,-9.7843403,84,8,6,10,1798,582,2488
Killucan-Rathwire,Westmeath,53.5138676,-7.1428989,204,2,12,8,1398,374,1998
Killumney,Cork,51.8637285,-8.6539137,156,0,6,0,1816,90,2068
Killurin,Offaly,53.2173433,-7.5509127,30,0,2,4,166,6,208
Killurin,Wexford,53.2173433,-7.5509127,10,0,4,0,276,6,296
Killybegs,Donegal,54.6347625,-8.4547084,34,2,8,2,1030,238,1314
Killygordon,Donegal,54.7968309,-7.6835354,110,0,0,0,652,116,878
Kilmacanogue,Wicklow,53.16901,-6.13946,142,4,18,52,1032,142,1390
Kilmacow,Kilkenny,52.3120805,-7.1765298,68,2,4,0,666,42,782
Kilmacrennan,Donegal,55.030269,-7.7793541,176,2,4,0,744,100,1026
Kilmacthomas,Waterford,52.2054897,-7.4267652,38,2,10,0,810,192,1052
Kilmaine,Mayo,53.5811547,-9.1227567,30,0,2,2,150,34,218
Kilmainhamwood,Meath,53.852351,-6.8048926,56,2,4,2,192,68,324
Kilmaley,Clare,52.8188446,-9.1088116,38,2,0,2,354,12,408
Kilmallock,Limerick,52.3986185,-8.5715956,36,2,10,2,1210,458,1718
Kilmead,Kildare,53.0347993,-6.9022241,78,0,6,8,308,68,468
Kilmeaden,Waterford,52.23333,-7.24281,22,0,0,0,476,6,504
Kilmeage,Kildare,53.2510535,-6.8399263,168,2,4,14,1102,46,1336
Kilmessan,Meath,53.5588885,-6.6589527,156,2,0,8,836,222,1224
Kilmihil,Clare,52.7208888,-9.3198723,6,0,6,4,394,92,502
Kilmoganny,Kilkenny,52.4614727,-7.3282056,22,0,0,0,226,24,272
Kilmore,Wexford,52.2056319,-6.5473792,12,4,0,0,204,24,244
Kilmore Quay,Wexford,52.1757194,-6.5863919,80,0,8,0,328,44,460
Kilmuckridge,Wexford,52.5130885,-6.2839346,48,6,4,0,604,206,868
Kilmurry,Clare,52.7781704,-8.7826372,56,0,2,0,248,30,336
Kilnaleck,Cavan,53.8622249,-7.3213784,60,2,4,0,392,140,598
Kilpedder,Wicklow,53.1103735,-6.1055471,178,6,12,54,1236,56,1542
Kilrush,Clare,52.6406999,-9.4859374,36,2,10,6,1502,696,2252
Kilsheelan,Tipperary,52.3611942,-7.5803877,124,0,2,0,876,102,1104
Kilteel,Kildare,53.2359545,-6.5215142,42,4,0,8,270,4,328
Kilteely,Limerick,52.55402,-8.391495,18,0,0,0,186,10,214
Kiltimagh,Mayo,53.8494839,-8.9994739,30,2,10,12,1062,280,1396
Kilworth,Cork,52.1760533,-8.2473123,142,4,10,0,1070,308,1534
Kingscourt,Cavan,53.9068739,-6.8052229,140,0,20,6,2924,636,3726
Kinlough,Leitrim,54.4487146,-8.2858213,138,0,18,2,1198,172,1528
Kinnegad,Westmeath,53.4568103,-7.1049959,884,10,8,18,2380,656,3956
Kinnitty,Offaly,53.097806,-7.7189969,38,0,0,0,238,58,334
Kinsale,Cork,51.7058853,-8.5222327,306,16,20,20,4692,1788,6842
Kinsaley,Dublin,53.4245123,-6.1763644,112,0,2,92,742,86,1034
Kinsealy-Drinan,Dublin,53.4245123,-6.1763644,1758,44,34,142,6546,2020,10544
Kinvarra,Galway,53.1389085,-8.9362964,56,0,6,4,600,272,938
Knightstown,Kerry,51.9253777,-10.2918805,32,6,0,0,164,28,230
Knock,Mayo,53.7900638,-8.921466,82,2,6,2,746,108,946
Knockananna,Wicklow,52.8728719,-6.4970477,34,0,8,2,184,14,242
Knockbridge,Louth,53.9718223,-6.4862811,118,4,2,4,728,164,1020
Knockcroghery,Roscommon,53.5743895,-8.0922325,56,0,2,4,426,44,532
Knocklong,Limerick,52.4373844,-8.4117892,26,0,4,0,200,14,244
Knocknagree,Cork,51.8897908,-8.4983892,20,2,0,0,188,38,248
Knockraha,Cork,51.9579423,-8.3400979,56,2,0,4,536,180,778
Knocktopher,Kilkenny,52.4856956,-7.2171076,22,0,2,0,180,16,220
Lackaghbeg,Galway,53.3659038,-8.8813396,116,0,8,2,584,156,866
Ladysbridge,Cork,51.8976083,-8.0433337,228,2,0,8,872,40,1150
Laghy,Donegal,54.6182,-8.0876,2,0,4,0,154,24,184
Lahardane,Mayo,54.0295472,-9.3220186,36,0,0,0,222,18,276
Lanesborough-Ballyleague,Roscommon,53.6744226,-7.9929157,108,2,2,16,1564,304,1996
Laragh,Wicklow,53.0089293,-6.3004389,52,2,2,2,386,92,536
Laytown-Bettystown-Mornington-Donacarney,Meath,53.698611,-6.244722,3678,46,40,836,13256,2456,20312
Leap,Cork,51.5811998,-9.1408671,4,2,2,0,124,4,136
Legan,Longford,53.6212481,-7.6308386,48,0,4,0,290,58,400
Lehinch,Clare,52.9334632,-9.3440769,36,2,0,2,794,108,942
Leighlinbridge,Carlow,52.7360519,-6.9759183,126,0,0,8,992,122,1248
Leitrim,Leitrim,53.99019,-8.06501,80,0,4,6,696,126,912
Leixlip,Kildare,53.3638428,-6.4900033,2236,94,32,1842,11794,4658,20656
Lemybrien,Waterford,52.1683402,-7.5195837,20,0,6,0,272,6,304
Letterkenny,Donegal,54.9558392,-7.7342787,2608,14,68,30,19522,3916,26158
Lifford,Donegal,54.8328751,-7.4856389,192,0,8,2,1268,182,1652
Limerick city and suburbs,Limerick,52.663839,-8.6267299,9668,368,194,318,69568,30006,110122
Liscannor,Clare,52.9383667,-9.3922452,6,0,0,0,100,6,112
Liscarroll,Cork,52.2600728,-8.8041711,14,0,0,0,190,40,244
Lisdoonvarna,Clare,53.0301669,-9.2897106,10,2,0,0,294,154,460
Lismore,Waterford,52.1358184,-7.9376803,54,4,20,0,1030,510,1618
Lisronagh,Tipperary,52.417443,-7.7028889,26,2,2,0,230,16,276
Lissycasey,Clare,52.7446724,-9.158153,86,0,2,0,512,4,604
Listowel,Kerry,52.4460488,-9.4853655,224,4,18,12,3958,884,5100
Littleton,Tipperary,52.6369829,-7.735419,60,0,2,4,286,82,434
Lixnaw,Kerry,52.4064615,-9.6181275,128,2,4,0,794,70,998
Loch An Iúir,Donegal,54.9981527,-8.2915053,72,0,0,0,310,26,408
Loch Gowna,Cavan,53.8737049,-7.5336731,8,0,0,0,144,36,188
Longford,Longford,53.7276296,-7.7932573,760,12,36,212,6942,3074,11036
Longwood,Meath,53.4550101,-6.9247866,136,2,14,20,1482,706,2360
Loughglinn,Roscommon,53.8225476,-8.561583,10,0,4,2,154,34,204
Loughrea,Galway,53.1989136,-8.5660931,418,8,20,10,5490,1404,7350
Loughshinny,Dublin,53.549228,-6.0829049,108,6,4,62,494,122,796
Louisburgh,Mayo,53.7631376,-9.8090849,12,0,2,0,300,64,378
Louth,Louth,53.9507955,-6.5406821,142,2,2,2,610,102,860
Lusk,Dublin,53.5263264,-6.1658841,1536,48,22,634,7048,2784,12072
Lyre,Cork,52.0817595,-8.8580581,22,0,0,0,148,50,220
Macroom,Cork,51.9048039,-8.9588478,160,6,24,8,3924,1064,5186
Maigh Cuilinn,Galway,53.3387481,-9.1814776,284,6,8,10,2096,442,2846
Malahide,Dublin,53.4509236,-6.1501378,2010,46,44,3284,12698,4340,22422
Malin,Donegal,55.2949279,-7.2630825,2,0,0,0,64,8,74
Mallow,Cork,52.1389762,-8.6539164,582,22,62,428,12144,2932,16170
Manor Kilbride,Wicklow,53.1986734,-6.4669351,20,0,4,2,184,6,216
Manorcunningham,Donegal,54.9552585,-7.6233678,178,0,6,2,766,24,976
Manorhamilton,Leitrim,54.3048735,-8.1766956,64,2,12,4,1306,522,1910
Maynooth,Kildare,53.3812896,-6.5918499,1766,84,34,2166,12062,7018,23130
Midleton,Cork,51.9143321,-8.1726276,976,32,24,718,13762,3020,18532
Milford,Cork,51.8721994,-8.4998655,20,0,0,0,254,20,294
Milford,Donegal,55.0883927,-7.6989621,74,4,8,0,932,160,1178
Millstreet,Cork,52.0601318,-9.0647121,76,0,20,18,1642,314,2070
Milltown,Galway,53.6137016,-8.898962,28,0,4,2,242,8,284
Milltown,Kerry,52.1451912,-9.7175069,70,2,4,4,1042,296,1418
Milltown,Kildare,53.2051083,-6.8611927,28,4,14,12,366,26,450
Miltown Malbay,Clare,52.8562013,-9.4007763,36,0,2,4,852,116,1010
Mitchelstown,Cork,52.2662127,-8.2698863,110,4,4,2,3010,1094,4224
Moate,Westmeath,53.3949987,-7.7186188,140,6,6,22,2698,558,3430
Model Village or Dripsey,Cork,51.9143772,-8.7420906,56,0,4,0,306,10,376
Mogeely,Cork,51.8861108,-8.4989926,64,4,2,4,554,24,652
Mohill,Leitrim,53.9218288,-7.8653101,26,0,6,14,742,222,1010
Monaghan,Monaghan,54.2492434,-6.9683082,466,10,22,22,6608,1998,9126
Monamolin,Wexford,52.556856,-6.3496134,58,0,0,0,252,18,328
Monard,Tipperary,52.5107814,-8.2232875,28,0,6,8,260,50,352
Monasterevin,Kildare,53.1400651,-7.060377,530,10,26,248,5018,966,6798
Moneenroe,Kilkenny,52.8321545,-7.1717865,60,0,6,2,744,62,874
Moneygall,Offaly,52.8797376,-7.9578079,48,0,2,2,360,34,446
Monivea,Galway,53.374262,-8.702721,26,0,4,8,508,62,608
Mooncoin,Kilkenny,52.2951348,-7.2565554,72,0,6,6,976,214,1274
Moroe,Limerick,52.649444,-8.39949,192,4,8,0,1510,232,1946
Mountbellew,Galway,53.47188,-8.5049,32,0,2,2,788,126,950
Mountcharles,Donegal,54.6474421,-8.1947189,98,2,4,2,660,82,848
Mountcollins,Limerick,52.3220585,-9.2386125,22,2,4,0,220,4,252
Mountmellick,Laois,53.1181481,-7.3267379,278,2,14,140,4194,1190,5818
Mountrath,Laois,53.0025597,-7.4751396,160,4,10,26,1590,456,2246
Mountshannon,Clare,52.9337525,-8.4330044,28,0,2,0,220,28,278
Moville,Donegal,55.1890182,-7.0400533,106,2,6,2,1038,280,1434
Moylough,Galway,53.4877053,-8.565876,54,0,0,2,648,50,754
Mucklagh,Offaly,53.250532,-7.5501754,102,2,6,26,930,116,1182
Muff,Donegal,55.0680564,-7.2689498,220,4,10,0,1458,108,1800
Muinebeag (Bagenalstown),Carlow,52.7007292,-6.9570556,102,4,14,60,2138,1054,3372
Mullagh,Cavan,53.8115174,-6.9459818,322,2,10,2,1490,304,2130
Mullaghmore,Sligo,54.4655463,-8.4494545,10,0,4,2,114,8,138
Mullinahone,Tipperary,52.512032,-7.5057086,66,2,0,0,418,98,584
Mullinavat,Kilkenny,52.3679303,-7.1711881,18,0,0,2,164,20,204
Mullingar,Westmeath,53.5259334,-7.3381378,1004,64,90,544,19164,5576,26442
Mulranny,Mayo,53.9061783,-9.7813773,52,0,0,0,206,52,310
Multyfarnham,Westmeath,53.6252723,-7.3893159,42,0,4,4,360,96,506
Mungret,Limerick,52.6356745,-8.693502,42,0,0,2,422,38,504
Murntown,Wexford,52.28724,-6.5222437,28,2,0,0,376,32,438
Myrtleville,Cork,51.7829961,-8.3003542,70,0,10,6,952,64,1102
Myshall,Carlow,52.6858791,-6.7804051,52,0,0,2,260,26,340
Mín Lárach,Donegal,55.1451784,-8.1850861,64,0,2,4,356,20,446
Na Dúnaibh,Donegal,55.1948628,-7.8369654,122,0,6,0,502,38,668
Na Forbacha,Galway,53.24918,-9.20495,80,0,0,4,812,124,1020
Naas,Kildare,53.2205654,-6.6593079,2620,128,76,1500,23488,6738,34550
Narraghmore,Kildare,53.0486801,-6.8294142,100,4,0,6,440,18,568
Naul,Dublin,53.5850362,-6.2889999,104,0,6,26,712,128,976
Navan,Meath,53.647092,-6.6966605,4880,88,96,140,28866,9904,43974
Nenagh,Tipperary,52.8642968,-8.1975561,450,14,24,22,8688,2992,12190
New Ross,Wexford,52.3958337,-6.9454567,668,14,34,12,6710,1810,9248
Newbawn,Wexford,52.3428304,-6.7912642,24,0,0,0,142,18,184
Newbliss,Monaghan,54.1576466,-7.1368133,44,0,0,0,326,50,420
Newbridge,Kildare,53.1750758,-6.8047467,1836,94,66,1736,20074,7288,31094
Newcastle,Dublin,53.2998135,-6.5010237,780,20,10,126,4108,1034,6078
Newcastle,Tipperary,52.2725965,-7.8112834,64,0,2,0,264,94,424
Newcastle,Wicklow,53.0733552,-6.057185,160,8,4,62,938,94,1266
Newcastle West,Limerick,52.4492389,-9.0499054,444,4,14,12,6540,1564,8578
Newmarket,Cork,52.2140232,-9.0030815,48,0,8,6,958,128,1148
Newmarket-On-Fergus,Clare,52.7605328,-8.8957501,208,8,4,2,1848,286,2356
Newport,Mayo,53.8852758,-9.5463685,68,0,8,2,652,134,864
Newport,Tipperary,52.7108963,-8.4062084,112,2,6,0,2352,538,3010
Newtown,Cork,51.8282409,-8.3803862,30,0,6,0,444,70,550
Newtown,Laois,52.8630266,-7.1082572,36,0,2,0,274,18,330
Newtown,Tipperary,52.8778127,-8.292807,24,0,6,0,484,68,582
Newtowncunningham,Donegal,54.9988175,-7.5127836,246,2,4,2,1014,176,1444
Newtownforbes,Longford,53.7654838,-7.835621,112,2,2,14,710,114,954
Newtownmountkennedy,Wicklow,53.0927815,-6.112023,670,14,26,68,3318,576,4672
Newtownsandes,Kerry,52.50166,-9.3705609,40,0,0,0,308,42,390
Nobber,Meath,53.8217066,-6.7479398,28,0,0,0,280,152,460
Nurney,Kildare,53.0966332,-6.9482121,84,0,6,16,440,114,660
O'Briensbridge-Montpelier,Clare,52.7506039,-8.496743,56,0,10,0,430,12,508
Oilgate,Wexford,52.42101,-6.52994,40,0,4,0,352,46,442
Oldcastle,Meath,53.7700178,-7.1624118,44,2,16,4,1108,604,1778
Oldtown,Dublin,53.522678,-6.3154307,92,2,6,2,530,54,686
Omeath,Louth,54.0882604,-6.2593365,124,2,6,0,558,92,782
Oola,Limerick,52.5296598,-8.2596358,36,0,2,4,258,28,328
Oram,Monaghan,54.1508756,-6.7016152,16,0,4,0,164,24,208
Oranmore,Galway,53.2647506,-8.9297335,436,18,10,120,5970,1400,7954
Oughterard,Galway,53.4285481,-9.3189472,134,6,8,4,1696,336,2184
Oulart,Wexford,52.5039145,-6.3908617,22,0,2,4,214,24,266
Palatine,Carlow,52.8649974,-6.8610348,16,0,2,4,348,6,376
Pallasgreen,Limerick,52.54873,-8.355185,52,0,2,0,202,20,276
Pallaskenry,Limerick,52.6447411,-8.8674281,12,0,4,0,584,168,768
Parteen,Clare,52.696836,-8.6149881,32,2,4,4,776,160,978
Passage East,Waterford,52.2396938,-6.974395,40,4,2,0,712,74,832
Passage West-Monkstown,Cork,51.8485442,-8.3325695,654,24,28,6,6240,678,7630
Patrickswell,Limerick,52.5980577,-8.7072844,114,4,4,0,728,134,984
