,Mode of Transport,Type of Route,Year,Quarter,Ticket revenues (NOK 1 000),Passengers (1 000 passengers),Passengers with school transport (1 000 passengers),Ordinary travellers (1 000 passengers),Passengers (Mn.),Passengers
282,Bus (Scheduled road transport),Total,2020,Q1,1437379,91551,11402,80149,91551000,91551000
283,Bus (Scheduled road transport),Total,2020,Q2,518913,49575,5076,44499,49575000,49575000
284,Bus (Scheduled road transport),Total,2020,Q3,902365,65728,7447,58280,65728000,65728000
285,Bus (Scheduled road transport),Total,2020,Q4,697780,71511,14374,57137,71511000,71511000
286,Bus (Scheduled road transport),Total,2021,Q1,590701,67901,12631,55269,67901000,67901000
287,Bus (Scheduled road transport),Total,2021,Q2,706361,71174,11628,59546,71174000,71174000
288,Bus (Scheduled road transport),Total,2021,Q3,1102039,75073,8847,66227,75073000,75073000
289,Bus (Scheduled road transport),Total,2021,Q4,1188987,93229,13635,79595,93229000,93229000
290,Bus (Scheduled road transport),Total,2022,Q1,1185939,91748,16133,75615,91748000,91748000
291,Bus (Scheduled road transport),Total,2022,Q2,1462556,96026,13522,82504,96026000,96026000
292,Bus (Scheduled road transport),Total,2022,Q3,1552759,90117,8689,81428,90117000,90117000
293,Bus (Scheduled road transport),Total,2022,Q4,1557681,109149,14939,94210,109149000,109149000
294,Bus (Scheduled road transport),Total,2023,Q1,1526427,117465,16579,100885,117465000,117465000
295,Bus (Scheduled road transport),Total,2023,Q2,1604619,106997,13832,93165,106997000,106997000
