time,price
1152504000,2.958
1153108800,2.993
1153713600,3.02
1154318400,3.052
1154923200,3.076
1155528000,3.091
1156132800,3.053
1156737600,3
1157342400,2.944
1157947200,2.875
1158552000,2.793
1159156800,2.691
1159761600,2.615
1160366400,2.559
1160971200,2.517
1161576000,2.474
1162184400,2.43
1162789200,2.399
1163394000,2.391
1163998800,2.385
1164603600,2.428
1165208400,2.489
1165813200,2.476
1166418000,2.522
1167022800,2.539
1167627600,2.535
1168232400,2.497
1168837200,2.45
1169442000,2.402
1170046800,2.376
1170651600,2.362
1171256400,2.362
1171861200,2.396
1172466000,2.466
1173070800,2.68
1173672000,2.713
1174276800,2.734
1174881600,2.759
1175486400,2.814
1176091200,2.873
1176696000,2.957
1177300800,2.962
1177905600,3.026
1178510400,3.044
1179115200,3.071
1179720000,3.135
1180324800,3.151
1180929600,3.131
1181534400,3.135
1182139200,3.104
1182744000,3.076
1183348800,3.075
1183953600,3.066
1184558400,3.07
1185163200,3.036
1185768000,3.004
1186372800,2.961
1186977600,2.932
1187582400,2.907
1188187200,2.886
1188792000,2.873
1189396800,2.875
1190001600,2.889
1190606400,2.938
1191211200,2.932
1191816000,2.927
1192420800,2.925
1193025600,2.986
1193630400,3.04
1194238800,3.196
1194843600,3.286
1195448400,3.309
1196053200,3.31
1196658000,3.289
1197262800,3.285
1197867600,3.278
1198472400,3.276
1199077200,3.294
1199682000,3.34
1200286800,3.324
1200891600,3.291
1201496400,3.287
1202101200,3.26
1202706000,3.261
1203310800,3.274
1203915600,3.332
1204520400,3.342
1205121600,3.357
1205726400,3.411
1206331200,3.385
1206936000,3.401
1207540800,3.429
1208145600,3.498
1208750400,3.626
1209355200,3.753
1209960000,3.769
1210564800,3.859
1211169600,3.931
1211774400,4.083
1212379200,4.121
1212984000,4.183
1213588800,4.238
1214193600,4.235
1214798400,4.247
1215403200,4.248
1216008000,4.242
1216612800,4.219
1217217600,4.127
1217822400,4.051
1218427200,3.982
1219032000,3.895
1219636800,3.848
1220241600,3.812
1220846400,3.788
1221451200,3.844
1222056000,3.78
1222660800,3.708
1223265600,3.63
1223870400,3.374
1224475200,3.204
1225080000,2.971
1225688400,2.776
1226293200,2.586
1226898000,2.398
1227502800,2.243
1228107600,2.106
1228712400,2.001
1229317200,1.868
1229922000,1.842
1230526800,1.799
1231131600,1.794
1231736400,1.902
1232341200,1.932
1232946000,1.94
1233550800,2.028
1234155600,2.062
1234760400,2.096
1235365200,2.077
1235970000,2.077
1236571200,2.068
1237176000,2.049
1237780800,2.09
1238385600,2.147
1238990400,2.15
1239595200,2.164
1240200000,2.194
1240804800,2.178
1241409600,2.206
1242014400,2.369
1242619200,2.435
1243224000,2.553
1243828800,2.615
1244433600,2.699
1245038400,2.758
1245643200,2.79
1246248000,2.777
1246852800,2.764
1247457600,2.721
1248062400,2.661
1248667200,2.646
1249272000,2.706
1249876800,2.758
1250481600,2.778
1251086400,2.772
1251691200,2.771
1252296000,2.768
1252900800,2.754
1253505600,2.727
1254110400,2.684
1254715200,2.647
1255320000,2.639
1255924800,2.741
1256529600,2.807
1257138000,2.835
1257742800,2.842
1258347600,2.824
1258952400,2.835
