Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
04/06/1980,0,0.128761147,0.118321054,0.118321054,1600,0,0,1980,6,4,0.118321054,Up
05/06/1980,0,0.128761147,0.118321054,0.118321054,1600,0,0,1980,6,5,0.118321054,Up
06/06/1980,0.118321054,0.118321054,0.118321054,0.118321054,0,0,0,1980,6,6,0,Down
09/06/1980,0,0.135721251,0.125281155,0.125281155,17600,0,0,1980,6,9,0.125281155,Up
10/06/1980,0.125281155,0.125281155,0.125281155,0.125281155,0,0,0,1980,6,10,0,Down
11/06/1980,0.125281155,0.125281155,0.125281155,0.125281155,0,0,0,1980,6,11,0,Down
12/06/1980,0,0.139201283,0.128761187,0.128761187,8000,0,0,1980,6,12,0.128761187,Up
13/06/1980,0,0.142681332,0.132241234,0.132241234,800,0,0,1980,6,13,0.132241234,Up
16/06/1980,0.132241234,0.132241234,0.132241234,0.132241234,0,0,0,1980,6,16,0,Down
17/06/1980,0,0.149641396,0.139201298,0.139201298,8000,0,0,1980,6,17,0.139201298,Up
18/06/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,6,18,0,Down
19/06/1980,0,0.149641396,0.139201298,0.139201298,8800,0,0,1980,6,19,0.139201298,Up
20/06/1980,0.139201298,0.139201298,0.139201298,0.139201298,0,0,0,1980,6,20,0,Down
