Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
1987,2,64366400,2.88,2.17,2.45
1994,10,22532800,5.5,4.98,5.25
2000,11,17320200,20.36,19.12,19.69
2008,1,49799500,23.61,19.83,21.78
2013,9,49294500,30.37,29.09,29.72
2022,2,97501000,41.7,37.51,39.98
2013,10,51527700,30.83,28.53,29.64
2003,9,21232500,16.13,14.41,15.52
2003,12,21562100,17.54,16.62,17.07
2008,6,30275100,20.14,18.31,19.11
2009,1,37374000,17.98,15.1,16.58
2014,5,59908900,33.58,32.48,33.06
2019,8,48937700,33.97,32.09,32.95
2022,7,95736400,41.71,37.16,39.4
1985,2,19571600,0.74,0.7,0.72
1989,2,13545000,2.6,2.45,2.51
1993,3,57375400,5.26,4.44,4.88
2003,1,30783300,14.58,12.37,13.8
2007,9,25691400,23.32,22.38,22.85
2021,11,89857700,39.26,37.19,38.32
2023,6,76360300,35.49,32.35,33.92
1987,4,41487800,2.77,2.52,2.64
1989,5,19212200,2.74,2.5,2.65
2005,11,32826000,21.67,19.73,20.76
2008,12,41719000,17.21,14.53,16.25
2016,2,90762200,27.73,25.44,26.45
1993,4,42870900,4.93,4.28,4.67
1994,7,17095700,4.86,4.46,4.66
2008,10,68690200,19.74,14.73,17.33
2019,6,44199500,32.94,30.98,32.04
1982,2,311200,0.25,0.24,0.24
2004,7,23136500,15.91,15.0,15.46
2017,7,55907400,30.9,28.98,30.28
1980,6,54400,0.15,0.11,0.13
1981,5,822400,0.23,0.19,0.2
1988,5,13955400,2.05,1.84,1.97
1990,1,19385400,3.24,2.78,3.02
2013,12,41654300,31.46,29.75,30.69
2014,1,50251000,32.45,30.07,31.29
2021,9,77109600,37.55,34.12,35.56
2008,9,41681300,21.33,18.61,19.88
2010,11,61219800,20.66,19.11,19.93
2011,3,49776800,19.88,18.64,19.47
2004,4,35036800,16.3,14.94,15.72
2006,10,33582900,23.46,21.79,22.55
2013,3,48003300,26.83,24.89,25.83
2014,8,76208600,30.14,28.17,29.11
2019,1,72829700,30.88,29.34,30.25
2007,8,58946200,23.13,20.9,22.02
1981,9,240000,0.22,0.17,0.19
1999,11,9442300,20.87,19.06,19.85
2013,6,56370200,30.79,27.82,29.43
1990,8,28955200,3.72,3.1,3.42
2010,6,46197000,18.01,16.31,17.06
1982,12,19262400,0.65,0.56,0.59
1986,4,51642400,1.93,1.67,1.76
2012,7,51862100,25.62,23.96,24.98
2012,9,34955000,26.3,24.89,25.6
2022,11,117835200,32.96,29.43,31.33
1998,3,11748300,17.95,16.42,17.34
1981,4,908800,0.22,0.19,0.2
1984,7,23070000,0.65,0.61,0.62
1987,1,57934000,2.2,1.71,1.95
1989,3,12564400,2.66,2.45,2.54
2015,4,69279100,30.51,28.94,29.7
1995,8,13307100,7.06,6.6,6.83
2010,5,47378600,18.24,15.8,16.91
2015,8,78412000,29.02,25.38,27.62
