,STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02196V02652,State,UNIT,VALUE,Year,Quarter No
579,NAQ03C06,GNP at Constant Market Prices,19972,1997Q2,-,State,Euro Million,27185,1997,2
580,NAQ03C06,GNP at Constant Market Prices,19973,1997Q3,-,State,Euro Million,28399,1997,3
581,NAQ03C06,GNP at Constant Market Prices,19974,1997Q4,-,State,Euro Million,28408,1997,4
582,NAQ03C06,GNP at Constant Market Prices,19981,1998Q1,-,State,Euro Million,28676,1998,1
583,NAQ03C06,GNP at Constant Market Prices,19982,1998Q2,-,State,Euro Million,29150,1998,2
584,NAQ03C06,GNP at Constant Market Prices,19983,1998Q3,-,State,Euro Million,29948,1998,3
585,NAQ03C06,GNP at Constant Market Prices,19984,1998Q4,-,State,Euro Million,29793,1998,4
586,NAQ03C06,GNP at Constant Market Prices,19991,1999Q1,-,State,Euro Million,31220,1999,1
587,NAQ03C06,GNP at Constant Market Prices,19992,1999Q2,-,State,Euro Million,31124,1999,2
588,NAQ03C06,GNP at Constant Market Prices,19993,1999Q3,-,State,Euro Million,31770,1999,3
589,NAQ03C06,GNP at Constant Market Prices,19994,1999Q4,-,State,Euro Million,32974,1999,4
590,NAQ03C06,GNP at Constant Market Prices,20001,2000Q1,-,State,Euro Million,33343,2000,1
591,NAQ03C06,GNP at Constant Market Prices,20002,2000Q2,-,State,Euro Million,35129,2000,2
592,NAQ03C06,GNP at Constant Market Prices,20003,2000Q3,-,State,Euro Million,34924,2000,3
593,NAQ03C06,GNP at Constant Market Prices,20004,2000Q4,-,State,Euro Million,35395,2000,4
594,NAQ03C06,GNP at Constant Market Prices,20011,2001Q1,-,State,Euro Million,35338,2001,1
595,NAQ03C06,GNP at Constant Market Prices,20012,2001Q2,-,State,Euro Million,35075,2001,2
596,NAQ03C06,GNP at Constant Market Prices,20013,2001Q3,-,State,Euro Million,34808,2001,3
597,NAQ03C06,GNP at Constant Market Prices,20014,2001Q4,-,State,Euro Million,36135,2001,4
598,NAQ03C06,GNP at Constant Market Prices,20021,2002Q1,-,State,Euro Million,34987,2002,1
599,NAQ03C06,GNP at Constant Market Prices,20022,2002Q2,-,State,Euro Million,35873,2002,2
600,NAQ03C06,GNP at Constant Market Prices,20023,2002Q3,-,State,Euro Million,36465,2002,3
601,NAQ03C06,GNP at Constant Market Prices,20024,2002Q4,-,State,Euro Million,37382,2002,4
602,NAQ03C06,GNP at Constant Market Prices,20031,2003Q1,-,State,Euro Million,36082,2003,1
603,NAQ03C06,GNP at Constant Market Prices,20032,2003Q2,-,State,Euro Million,37263,2003,2
604,NAQ03C06,GNP at Constant Market Prices,20033,2003Q3,-,State,Euro Million,37601,2003,3
605,NAQ03C06,GNP at Constant Market Prices,20034,2003Q4,-,State,Euro Million,40609,2003,4
606,NAQ03C06,GNP at Constant Market Prices,20041,2004Q1,-,State,Euro Million,39302,2004,1
607,NAQ03C06,GNP at Constant Market Prices,20042,2004Q2,-,State,Euro Million,40517,2004,2
608,NAQ03C06,GNP at Constant Market Prices,20043,2004Q3,-,State,Euro Million,40023,2004,3
609,NAQ03C06,GNP at Constant Market Prices,20044,2004Q4,-,State,Euro Million,42434,2004,4
610,NAQ03C06,GNP at Constant Market Prices,20051,2005Q1,-,State,Euro Million,41459,2005,1
611,NAQ03C06,GNP at Constant Market Prices,20052,2005Q2,-,State,Euro Million,41882,2005,2
612,NAQ03C06,GNP at Constant Market Prices,20053,2005Q3,-,State,Euro Million,42619,2005,3
613,NAQ03C06,GNP at Constant Market Prices,20054,2005Q4,-,State,Euro Million,45141,2005,4
614,NAQ03C06,GNP at Constant Market Prices,20061,2006Q1,-,State,Euro Million,44274,2006,1
615,NAQ03C06,GNP at Constant Market Prices,20062,2006Q2,-,State,Euro Million,44897,2006,2
616,NAQ03C06,GNP at Constant Market Prices,20063,2006Q3,-,State,Euro Million,44275,2006,3
617,NAQ03C06,GNP at Constant Market Prices,20064,2006Q4,-,State,Euro Million,47368,2006,4
618,NAQ03C06,GNP at Constant Market Prices,20071,2007Q1,-,State,Euro Million,46955,2007,1
619,NAQ03C06,GNP at Constant Market Prices,20072,2007Q2,-,State,Euro Million,46116,2007,2
620,NAQ03C06,GNP at Constant Market Prices,20073,2007Q3,-,State,Euro Million,46240,2007,3
621,NAQ03C06,GNP at Constant Market Prices,20074,2007Q4,-,State,Euro Million,48216,2007,4
622,NAQ03C06,GNP at Constant Market Prices,20081,2008Q1,-,State,Euro Million,46729,2008,1
623,NAQ03C06,GNP at Constant Market Prices,20082,2008Q2,-,State,Euro Million,45293,2008,2
624,NAQ03C06,GNP at Constant Market Prices,20083,2008Q3,-,State,Euro Million,44595,2008,3
625,NAQ03C06,GNP at Constant Market Prices,20084,2008Q4,-,State,Euro Million,43522,2008,4
626,NAQ03C06,GNP at Constant Market Prices,20091,2009Q1,-,State,Euro Million,41656,2009,1
627,NAQ03C06,GNP at Constant Market Prices,20092,2009Q2,-,State,Euro Million,41325,2009,2
628,NAQ03C06,GNP at Constant Market Prices,20093,2009Q3,-,State,Euro Million,41036,2009,3
629,NAQ03C06,GNP at Constant Market Prices,20094,2009Q4,-,State,Euro Million,40986,2009,4
630,NAQ03C06,GNP at Constant Market Prices,20101,2010Q1,-,State,Euro Million,40948,2010,1
631,NAQ03C06,GNP at Constant Market Prices,20102,2010Q2,-,State,Euro Million,41863,2010,2
632,NAQ03C06,GNP at Constant Market Prices,20103,2010Q3,-,State,Euro Million,43631,2010,3
633,NAQ03C06,GNP at Constant Market Prices,20104,2010Q4,-,State,Euro Million,44569,2010,4
634,NAQ03C06,GNP at Constant Market Prices,20111,2011Q1,-,State,Euro Million,41189,2011,1
635,NAQ03C06,GNP at Constant Market Prices,20112,2011Q2,-,State,Euro Million,41830,2011,2
636,NAQ03C06,GNP at Constant Market Prices,20113,2011Q3,-,State,Euro Million,42352,2011,3
637,NAQ03C06,GNP at Constant Market Prices,20114,2011Q4,-,State,Euro Million,41392,2011,4
638,NAQ03C06,GNP at Constant Market Prices,20121,2012Q1,-,State,Euro Million,39661,2012,1
639,NAQ03C06,GNP at Constant Market Prices,20122,2012Q2,-,State,Euro Million,42476,2012,2
640,NAQ03C06,GNP at Constant Market Prices,20123,2012Q3,-,State,Euro Million,41892,2012,3
641,NAQ03C06,GNP at Constant Market Prices,20124,2012Q4,-,State,Euro Million,42024,2012,4
642,NAQ03C06,GNP at Constant Market Prices,20131,2013Q1,-,State,Euro Million,41239,2013,1
643,NAQ03C06,GNP at Constant Market Prices,20132,2013Q2,-,State,Euro Million,42024,2013,2
644,NAQ03C06,GNP at Constant Market Prices,20133,2013Q3,-,State,Euro Million,45858,2013,3
645,NAQ03C06,GNP at Constant Market Prices,20134,2013Q4,-,State,Euro Million,46109,2013,4
646,NAQ03C06,GNP at Constant Market Prices,20141,2014Q1,-,State,Euro Million,45298,2014,1
647,NAQ03C06,GNP at Constant Market Prices,20142,2014Q2,-,State,Euro Million,46440,2014,2
648,NAQ03C06,GNP at Constant Market Prices,20143,2014Q3,-,State,Euro Million,49137,2014,3
649,NAQ03C06,GNP at Constant Market Prices,20144,2014Q4,-,State,Euro Million,50423,2014,4
650,NAQ03C06,GNP at Constant Market Prices,20151,2015Q1,-,State,Euro Million,52173,2015,1
651,NAQ03C06,GNP at Constant Market Prices,20152,2015Q2,-,State,Euro Million,55144,2015,2
652,NAQ03C06,GNP at Constant Market Prices,20153,2015Q3,-,State,Euro Million,52987,2015,3
653,NAQ03C06,GNP at Constant Market Prices,20154,2015Q4,-,State,Euro Million,55559,2015,4
654,NAQ03C06,GNP at Constant Market Prices,20161,2016Q1,-,State,Euro Million,56163,2016,1
655,NAQ03C06,GNP at Constant Market Prices,20162,2016Q2,-,State,Euro Million,55467,2016,2
656,NAQ03C06,GNP at Constant Market Prices,20163,2016Q3,-,State,Euro Million,55108,2016,3
657,NAQ03C06,GNP at Constant Market Prices,20164,2016Q4,-,State,Euro Million,64623,2016,4
658,NAQ03C06,GNP at Constant Market Prices,20171,2017Q1,-,State,Euro Million,56921,2017,1
659,NAQ03C06,GNP at Constant Market Prices,20172,2017Q2,-,State,Euro Million,56019,2017,2
660,NAQ03C06,GNP at Constant Market Prices,20173,2017Q3,-,State,Euro Million,65972,2017,3
661,NAQ03C06,GNP at Constant Market Prices,20174,2017Q4,-,State,Euro Million,67174,2017,4
662,NAQ03C06,GNP at Constant Market Prices,20181,2018Q1,-,State,Euro Million,62264,2018,1
663,NAQ03C06,GNP at Constant Market Prices,20182,2018Q2,-,State,Euro Million,64205,2018,2
664,NAQ03C06,GNP at Constant Market Prices,20183,2018Q3,-,State,Euro Million,68383,2018,3
665,NAQ03C06,GNP at Constant Market Prices,20184,2018Q4,-,State,Euro Million,65872,2018,4
666,NAQ03C06,GNP at Constant Market Prices,20191,2019Q1,-,State,Euro Million,64719,2019,1
667,NAQ03C06,GNP at Constant Market Prices,20192,2019Q2,-,State,Euro Million,64285,2019,2
668,NAQ03C06,GNP at Constant Market Prices,20193,2019Q3,-,State,Euro Million,71688,2019,3
669,NAQ03C06,GNP at Constant Market Prices,20194,2019Q4,-,State,Euro Million,73248,2019,4
670,NAQ03C06,GNP at Constant Market Prices,20201,2020Q1,-,State,Euro Million,69462,2020,1
671,NAQ03C06,GNP at Constant Market Prices,20202,2020Q2,-,State,Euro Million,65450,2020,2
672,NAQ03C06,GNP at Constant Market Prices,20203,2020Q3,-,State,Euro Million,72737,2020,3
673,NAQ03C06,GNP at Constant Market Prices,20204,2020Q4,-,State,Euro Million,76130,2020,4
674,NAQ03C06,GNP at Constant Market Prices,20211,2021Q1,-,State,Euro Million,72702,2021,1
675,NAQ03C06,GNP at Constant Market Prices,20212,2021Q2,-,State,Euro Million,76855,2021,2
676,NAQ03C06,GNP at Constant Market Prices,20213,2021Q3,-,State,Euro Million,86283,2021,3
677,NAQ03C06,GNP at Constant Market Prices,20214,2021Q4,-,State,Euro Million,87473,2021,4
678,NAQ03C06,GNP at Constant Market Prices,20221,2022Q1,-,State,Euro Million,76371,2022,1
679,NAQ03C06,GNP at Constant Market Prices,20222,2022Q2,-,State,Euro Million,82581,2022,2
680,NAQ03C06,GNP at Constant Market Prices,20223,2022Q3,-,State,Euro Million,85708,2022,3
681,NAQ03C06,GNP at Constant Market Prices,20224,2022Q4,-,State,Euro Million,91244,2022,4
682,NAQ03C06,GNP at Constant Market Prices,20231,2023Q1,-,State,Euro Million,74807,2023,1
683,NAQ03C06,GNP at Constant Market Prices,20232,2023Q2,-,State,Euro Million,87585,2023,2
684,NAQ03C07,GVA at Current Basic Prices,19951,1995Q1,-,State,Euro Million,11776,1995,1
685,NAQ03C07,GVA at Current Basic Prices,19952,1995Q2,-,State,Euro Million,12474,1995,2
686,NAQ03C07,GVA at Current Basic Prices,19953,1995Q3,-,State,Euro Million,12237,1995,3
687,NAQ03C07,GVA at Current Basic Prices,19954,1995Q4,-,State,Euro Million,12655,1995,4
688,NAQ03C07,GVA at Current Basic Prices,19961,1996Q1,-,State,Euro Million,13102,1996,1
689,NAQ03C07,GVA at Current Basic Prices,19962,1996Q2,-,State,Euro Million,13660,1996,2
690,NAQ03C07,GVA at Current Basic Prices,19963,1996Q3,-,State,Euro Million,13261,1996,3
691,NAQ03C07,GVA at Current Basic Prices,19964,1996Q4,-,State,Euro Million,13974,1996,4
692,NAQ03C07,GVA at Current Basic Prices,19971,1997Q1,-,State,Euro Million,14392,1997,1
693,NAQ03C07,GVA at Current Basic Prices,19972,1997Q2,-,State,Euro Million,15579,1997,2
694,NAQ03C07,GVA at Current Basic Prices,19973,1997Q3,-,State,Euro Million,15490,1997,3
695,NAQ03C07,GVA at Current Basic Prices,19974,1997Q4,-,State,Euro Million,16746,1997,4
696,NAQ03C07,GVA at Current Basic Prices,19981,1998Q1,-,State,Euro Million,17112,1998,1
697,NAQ03C07,GVA at Current Basic Prices,19982,1998Q2,-,State,Euro Million,18003,1998,2
698,NAQ03C07,GVA at Current Basic Prices,19983,1998Q3,-,State,Euro Million,18312,1998,3
699,NAQ03C07,GVA at Current Basic Prices,19984,1998Q4,-,State,Euro Million,18597,1998,4
700,NAQ03C07,GVA at Current Basic Prices,19991,1999Q1,-,State,Euro Million,19509,1999,1
701,NAQ03C07,GVA at Current Basic Prices,19992,1999Q2,-,State,Euro Million,20016,1999,2
702,NAQ03C07,GVA at Current Basic Prices,19993,1999Q3,-,State,Euro Million,21031,1999,3
703,NAQ03C07,GVA at Current Basic Prices,19994,1999Q4,-,State,Euro Million,22266,1999,4
704,NAQ03C07,GVA at Current Basic Prices,20001,2000Q1,-,State,Euro Million,22456,2000,1
705,NAQ03C07,GVA at Current Basic Prices,20002,2000Q2,-,State,Euro Million,24139,2000,2
706,NAQ03C07,GVA at Current Basic Prices,20003,2000Q3,-,State,Euro Million,23983,2000,3
707,NAQ03C07,GVA at Current Basic Prices,20004,2000Q4,-,State,Euro Million,26145,2000,4
708,NAQ03C07,GVA at Current Basic Prices,20011,2001Q1,-,State,Euro Million,26460,2001,1
709,NAQ03C07,GVA at Current Basic Prices,20012,2001Q2,-,State,Euro Million,27809,2001,2
710,NAQ03C07,GVA at Current Basic Prices,20013,2001Q3,-,State,Euro Million,26961,2001,3
711,NAQ03C07,GVA at Current Basic Prices,20014,2001Q4,-,State,Euro Million,28606,2001,4
712,NAQ03C07,GVA at Current Basic Prices,20021,2002Q1,-,State,Euro Million,29241,2002,1
713,NAQ03C07,GVA at Current Basic Prices,20022,2002Q2,-,State,Euro Million,30950,2002,2
714,NAQ03C07,GVA at Current Basic Prices,20023,2002Q3,-,State,Euro Million,30362,2002,3
715,NAQ03C07,GVA at Current Basic Prices,20024,2002Q4,-,State,Euro Million,32269,2002,4
716,NAQ03C07,GVA at Current Basic Prices,20031,2003Q1,-,State,Euro Million,31226,2003,1
717,NAQ03C07,GVA at Current Basic Prices,20032,2003Q2,-,State,Euro Million,33161,2003,2
718,NAQ03C07,GVA at Current Basic Prices,20033,2003Q3,-,State,Euro Million,31444,2003,3
719,NAQ03C07,GVA at Current Basic Prices,20034,2003Q4,-,State,Euro Million,35215,2003,4
720,NAQ03C07,GVA at Current Basic Prices,20041,2004Q1,-,State,Euro Million,33679,2004,1
721,NAQ03C07,GVA at Current Basic Prices,20042,2004Q2,-,State,Euro Million,35921,2004,2
722,NAQ03C07,GVA at Current Basic Prices,20043,2004Q3,-,State,Euro Million,33622,2004,3
723,NAQ03C07,GVA at Current Basic Prices,20044,2004Q4,-,State,Euro Million,36571,2004,4
724,NAQ03C07,GVA at Current Basic Prices,20051,2005Q1,-,State,Euro Million,36027,2005,1
725,NAQ03C07,GVA at Current Basic Prices,20052,2005Q2,-,State,Euro Million,38681,2005,2
726,NAQ03C07,GVA at Current Basic Prices,20053,2005Q3,-,State,Euro Million,36411,2005,3
727,NAQ03C07,GVA at Current Basic Prices,20054,2005Q4,-,State,Euro Million,39904,2005,4
728,NAQ03C07,GVA at Current Basic Prices,20061,2006Q1,-,State,Euro Million,39236,2006,1
729,NAQ03C07,GVA at Current Basic Prices,20062,2006Q2,-,State,Euro Million,41361,2006,2
730,NAQ03C07,GVA at Current Basic Prices,20063,2006Q3,-,State,Euro Million,39915,2006,3
731,NAQ03C07,GVA at Current Basic Prices,20064,2006Q4,-,State,Euro Million,42043,2006,4
732,NAQ03C07,GVA at Current Basic Prices,20071,2007Q1,-,State,Euro Million,43022,2007,1
733,NAQ03C07,GVA at Current Basic Prices,20072,2007Q2,-,State,Euro Million,44467,2007,2
734,NAQ03C07,GVA at Current Basic Prices,20073,2007Q3,-,State,Euro Million,41942,2007,3
735,NAQ03C07,GVA at Current Basic Prices,20074,2007Q4,-,State,Euro Million,44772,2007,4
736,NAQ03C07,GVA at Current Basic Prices,20081,2008Q1,-,State,Euro Million,42381,2008,1
737,NAQ03C07,GVA at Current Basic Prices,20082,2008Q2,-,State,Euro Million,43082,2008,2
738,NAQ03C07,GVA at Current Basic Prices,20083,2008Q3,-,State,Euro Million,41380,2008,3
739,NAQ03C07,GVA at Current Basic Prices,20084,2008Q4,-,State,Euro Million,41107,2008,4
740,NAQ03C07,GVA at Current Basic Prices,20091,2009Q1,-,State,Euro Million,39246,2009,1
741,NAQ03C07,GVA at Current Basic Prices,20092,2009Q2,-,State,Euro Million,39919,2009,2
742,NAQ03C07,GVA at Current Basic Prices,20093,2009Q3,-,State,Euro Million,37638,2009,3
743,NAQ03C07,GVA at Current Basic Prices,20094,2009Q4,-,State,Euro Million,37467,2009,4
744,NAQ03C07,GVA at Current Basic Prices,20101,2010Q1,-,State,Euro Million,37622,2010,1
745,NAQ03C07,GVA at Current Basic Prices,20102,2010Q2,-,State,Euro Million,38555,2010,2
746,NAQ03C07,GVA at Current Basic Prices,20103,2010Q3,-,State,Euro Million,37776,2010,3
747,NAQ03C07,GVA at Current Basic Prices,20104,2010Q4,-,State,Euro Million,38240,2010,4
748,NAQ03C07,GVA at Current Basic Prices,20111,2011Q1,-,State,Euro Million,38201,2011,1
749,NAQ03C07,GVA at Current Basic Prices,20112,2011Q2,-,State,Euro Million,40424,2011,2
750,NAQ03C07,GVA at Current Basic Prices,20113,2011Q3,-,State,Euro Million,39129,2011,3
751,NAQ03C07,GVA at Current Basic Prices,20114,2011Q4,-,State,Euro Million,39213,2011,4
752,NAQ03C07,GVA at Current Basic Prices,20121,2012Q1,-,State,Euro Million,38989,2012,1
753,NAQ03C07,GVA at Current Basic Prices,20122,2012Q2,-,State,Euro Million,41209,2012,2
754,NAQ03C07,GVA at Current Basic Prices,20123,2012Q3,-,State,Euro Million,39756,2012,3
755,NAQ03C07,GVA at Current Basic Prices,20124,2012Q4,-,State,Euro Million,40051,2012,4
756,NAQ03C07,GVA at Current Basic Prices,20131,2013Q1,-,State,Euro Million,38631,2013,1
757,NAQ03C07,GVA at Current Basic Prices,20132,2013Q2,-,State,Euro Million,41212,2013,2
758,NAQ03C07,GVA at Current Basic Prices,20133,2013Q3,-,State,Euro Million,41762,2013,3
759,NAQ03C07,GVA at Current Basic Prices,20134,2013Q4,-,State,Euro Million,41764,2013,4
760,NAQ03C07,GVA at Current Basic Prices,20141,2014Q1,-,State,Euro Million,42081,2014,1
761,NAQ03C07,GVA at Current Basic Prices,20142,2014Q2,-,State,Euro Million,44665,2014,2
762,NAQ03C07,GVA at Current Basic Prices,20143,2014Q3,-,State,Euro Million,45192,2014,3
763,NAQ03C07,GVA at Current Basic Prices,20144,2014Q4,-,State,Euro Million,45986,2014,4
764,NAQ03C07,GVA at Current Basic Prices,20151,2015Q1,-,State,Euro Million,58691,2015,1
765,NAQ03C07,GVA at Current Basic Prices,20152,2015Q2,-,State,Euro Million,59212,2015,2
766,NAQ03C07,GVA at Current Basic Prices,20153,2015Q3,-,State,Euro Million,61940,2015,3
767,NAQ03C07,GVA at Current Basic Prices,20154,2015Q4,-,State,Euro Million,64905,2015,4
768,NAQ03C07,GVA at Current Basic Prices,20161,2016Q1,-,State,Euro Million,58774,2016,1
769,NAQ03C07,GVA at Current Basic Prices,20162,2016Q2,-,State,Euro Million,59084,2016,2
770,NAQ03C07,GVA at Current Basic Prices,20163,2016Q3,-,State,Euro Million,62329,2016,3
771,NAQ03C07,GVA at Current Basic Prices,20164,2016Q4,-,State,Euro Million,69589,2016,4
772,NAQ03C07,GVA at Current Basic Prices,20171,2017Q1,-,State,Euro Million,64451,2017,1
773,NAQ03C07,GVA at Current Basic Prices,20172,2017Q2,-,State,Euro Million,66262,2017,2
774,NAQ03C07,GVA at Current Basic Prices,20173,2017Q3,-,State,Euro Million,71033,2017,3
775,NAQ03C07,GVA at Current Basic Prices,20174,2017Q4,-,State,Euro Million,76014,2017,4
776,NAQ03C07,GVA at Current Basic Prices,20181,2018Q1,-,State,Euro Million,73713,2018,1
777,NAQ03C07,GVA at Current Basic Prices,20182,2018Q2,-,State,Euro Million,74496,2018,2
778,NAQ03C07,GVA at Current Basic Prices,20183,2018Q3,-,State,Euro Million,77553,2018,3
779,NAQ03C07,GVA at Current Basic Prices,20184,2018Q4,-,State,Euro Million,80252,2018,4
780,NAQ03C07,GVA at Current Basic Prices,20191,2019Q1,-,State,Euro Million,79168,2019,1
781,NAQ03C07,GVA at Current Basic Prices,20192,2019Q2,-,State,Euro Million,80216,2019,2
782,NAQ03C07,GVA at Current Basic Prices,20193,2019Q3,-,State,Euro Million,85265,2019,3
783,NAQ03C07,GVA at Current Basic Prices,20194,2019Q4,-,State,Euro Million,88512,2019,4
784,NAQ03C07,GVA at Current Basic Prices,20201,2020Q1,-,State,Euro Million,89361,2020,1
785,NAQ03C07,GVA at Current Basic Prices,20202,2020Q2,-,State,Euro Million,81368,2020,2
786,NAQ03C07,GVA at Current Basic Prices,20203,2020Q3,-,State,Euro Million,93845,2020,3
787,NAQ03C07,GVA at Current Basic Prices,20204,2020Q4,-,State,Euro Million,90904,2020,4
788,NAQ03C07,GVA at Current Basic Prices,20211,2021Q1,-,State,Euro Million,97007,2021,1
789,NAQ03C07,GVA at Current Basic Prices,20212,2021Q2,-,State,Euro Million,98174,2021,2
790,NAQ03C07,GVA at Current Basic Prices,20213,2021Q3,-,State,Euro Million,107602,2021,3
791,NAQ03C07,GVA at Current Basic Prices,20214,2021Q4,-,State,Euro Million,106603,2021,4
792,NAQ03C07,GVA at Current Basic Prices,20221,2022Q1,-,State,Euro Million,111325,2022,1
793,NAQ03C07,GVA at Current Basic Prices,20222,2022Q2,-,State,Euro Million,116927,2022,2
794,NAQ03C07,GVA at Current Basic Prices,20223,2022Q3,-,State,Euro Million,125781,2022,3
795,NAQ03C07,GVA at Current Basic Prices,20224,2022Q4,-,State,Euro Million,125551,2022,4
796,NAQ03C07,GVA at Current Basic Prices,20231,2023Q1,-,State,Euro Million,118121,2023,1
797,NAQ03C07,GVA at Current Basic Prices,20232,2023Q2,-,State,Euro Million,120215,2023,2
798,NAQ03C08,Taxes on Products at Current Prices,19951,1995Q1,-,State,Euro Million,1624,1995,1
799,NAQ03C08,Taxes on Products at Current Prices,19952,1995Q2,-,State,Euro Million,1740,1995,2
800,NAQ03C08,Taxes on Products at Current Prices,19953,1995Q3,-,State,Euro Million,1796,1995,3
801,NAQ03C08,Taxes on Products at Current Prices,19954,1995Q4,-,State,Euro Million,1868,1995,4
802,NAQ03C08,Taxes on Products at Current Prices,19961,1996Q1,-,State,Euro Million,1793,1996,1
803,NAQ03C08,Taxes on Products at Current Prices,19962,1996Q2,-,State,Euro Million,1921,1996,2
804,NAQ03C08,Taxes on Products at Current Prices,19963,1996Q3,-,State,Euro Million,1983,1996,3
805,NAQ03C08,Taxes on Products at Current Prices,19964,1996Q4,-,State,Euro Million,2062,1996,4
806,NAQ03C08,Taxes on Products at Current Prices,19971,1997Q1,-,State,Euro Million,2042,1997,1
807,NAQ03C08,Taxes on Products at Current Prices,19972,1997Q2,-,State,Euro Million,2188,1997,2
808,NAQ03C08,Taxes on Products at Current Prices,19973,1997Q3,-,State,Euro Million,2258,1997,3
809,NAQ03C08,Taxes on Products at Current Prices,19974,1997Q4,-,State,Euro Million,2349,1997,4
810,NAQ03C08,Taxes on Products at Current Prices,19981,1998Q1,-,State,Euro Million,2328,1998,1
811,NAQ03C08,Taxes on Products at Current Prices,19982,1998Q2,-,State,Euro Million,2495,1998,2
812,NAQ03C08,Taxes on Products at Current Prices,19983,1998Q3,-,State,Euro Million,2575,1998,3
813,NAQ03C08,Taxes on Products at Current Prices,19984,1998Q4,-,State,Euro Million,2678,1998,4
814,NAQ03C08,Taxes on Products at Current Prices,19991,1999Q1,-,State,Euro Million,2666,1999,1
815,NAQ03C08,Taxes on Products at Current Prices,19992,1999Q2,-,State,Euro Million,2856,1999,2
816,NAQ03C08,Taxes on Products at Current Prices,19993,1999Q3,-,State,Euro Million,2948,1999,3
817,NAQ03C08,Taxes on Products at Current Prices,19994,1999Q4,-,State,Euro Million,3066,1999,4
818,NAQ03C08,Taxes on Products at Current Prices,20001,2000Q1,-,State,Euro Million,3519,2000,1
819,NAQ03C08,Taxes on Products at Current Prices,20002,2000Q2,-,State,Euro Million,3020,2000,2
820,NAQ03C08,Taxes on Products at Current Prices,20003,2000Q3,-,State,Euro Million,3708,2000,3
821,NAQ03C08,Taxes on Products at Current Prices,20004,2000Q4,-,State,Euro Million,3169,2000,4
822,NAQ03C08,Taxes on Products at Current Prices,20011,2001Q1,-,State,Euro Million,3620,2001,1
823,NAQ03C08,Taxes on Products at Current Prices,20012,2001Q2,-,State,Euro Million,2938,2001,2
824,NAQ03C08,Taxes on Products at Current Prices,20013,2001Q3,-,State,Euro Million,3707,2001,3
825,NAQ03C08,Taxes on Products at Current Prices,20014,2001Q4,-,State,Euro Million,3417,2001,4
826,NAQ03C08,Taxes on Products at Current Prices,20021,2002Q1,-,State,Euro Million,3859,2002,1
827,NAQ03C08,Taxes on Products at Current Prices,20022,2002Q2,-,State,Euro Million,3193,2002,2
828,NAQ03C08,Taxes on Products at Current Prices,20023,2002Q3,-,State,Euro Million,4182,2002,3
829,NAQ03C08,Taxes on Products at Current Prices,20024,2002Q4,-,State,Euro Million,3836,2002,4
830,NAQ03C08,Taxes on Products at Current Prices,20031,2003Q1,-,State,Euro Million,4244,2003,1
831,NAQ03C08,Taxes on Products at Current Prices,20032,2003Q2,-,State,Euro Million,3365,2003,2
832,NAQ03C08,Taxes on Products at Current Prices,20033,2003Q3,-,State,Euro Million,4611,2003,3
833,NAQ03C08,Taxes on Products at Current Prices,20034,2003Q4,-,State,Euro Million,4202,2003,4
834,NAQ03C08,Taxes on Products at Current Prices,20041,2004Q1,-,State,Euro Million,4787,2004,1
835,NAQ03C08,Taxes on Products at Current Prices,20042,2004Q2,-,State,Euro Million,3889,2004,2
836,NAQ03C08,Taxes on Products at Current Prices,20043,2004Q3,-,State,Euro Million,5120,2004,3
837,NAQ03C08,Taxes on Products at Current Prices,20044,2004Q4,-,State,Euro Million,4580,2004,4
838,NAQ03C08,Taxes on Products at Current Prices,20051,2005Q1,-,State,Euro Million,5353,2005,1
839,NAQ03C08,Taxes on Products at Current Prices,20052,2005Q2,-,State,Euro Million,4369,2005,2
840,NAQ03C08,Taxes on Products at Current Prices,20053,2005Q3,-,State,Euro Million,5986,2005,3
841,NAQ03C08,Taxes on Products at Current Prices,20054,2005Q4,-,State,Euro Million,4940,2005,4
842,NAQ03C08,Taxes on Products at Current Prices,20061,2006Q1,-,State,Euro Million,6245,2006,1
843,NAQ03C08,Taxes on Products at Current Prices,20062,2006Q2,-,State,Euro Million,4845,2006,2
844,NAQ03C08,Taxes on Products at Current Prices,20063,2006Q3,-,State,Euro Million,6735,2006,3
845,NAQ03C08,Taxes on Products at Current Prices,20064,2006Q4,-,State,Euro Million,5604,2006,4
846,NAQ03C08,Taxes on Products at Current Prices,20071,2007Q1,-,State,Euro Million,6862,2007,1
847,NAQ03C08,Taxes on Products at Current Prices,20072,2007Q2,-,State,Euro Million,5260,2007,2
848,NAQ03C08,Taxes on Products at Current Prices,20073,2007Q3,-,State,Euro Million,6551,2007,3
849,NAQ03C08,Taxes on Products at Current Prices,20074,2007Q4,-,State,Euro Million,5382,2007,4
850,NAQ03C08,Taxes on Products at Current Prices,20081,2008Q1,-,State,Euro Million,6138,2008,1
851,NAQ03C08,Taxes on Products at Current Prices,20082,2008Q2,-,State,Euro Million,4410,2008,2
852,NAQ03C08,Taxes on Products at Current Prices,20083,2008Q3,-,State,Euro Million,5865,2008,3
853,NAQ03C08,Taxes on Products at Current Prices,20084,2008Q4,-,State,Euro Million,4197,2008,4
854,NAQ03C08,Taxes on Products at Current Prices,20091,2009Q1,-,State,Euro Million,4399,2009,1
855,NAQ03C08,Taxes on Products at Current Prices,20092,2009Q2,-,State,Euro Million,3451,2009,2
