,STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02196V02652,State,UNIT,VALUE,Year,Quarter No
61,NAQ03C01,GVA at Constant Basic Prices,20102,2010Q2,-,State,Euro Million,46960,2010,2
62,NAQ03C01,GVA at Constant Basic Prices,20103,2010Q3,-,State,Euro Million,45745,2010,3
63,NAQ03C01,GVA at Constant Basic Prices,20104,2010Q4,-,State,Euro Million,46219,2010,4
64,NAQ03C01,GVA at Constant Basic Prices,20111,2011Q1,-,State,Euro Million,45994,2011,1
65,NAQ03C01,GVA at Constant Basic Prices,20112,2011Q2,-,State,Euro Million,48439,2011,2
66,NAQ03C01,GVA at Constant Basic Prices,20113,2011Q3,-,State,Euro Million,46512,2011,3
67,NAQ03C01,GVA at Constant Basic Prices,20114,2011Q4,-,State,Euro Million,46550,2011,4
68,NAQ03C01,GVA at Constant Basic Prices,20121,2012Q1,-,State,Euro Million,45177,2012,1
69,NAQ03C01,GVA at Constant Basic Prices,20122,2012Q2,-,State,Euro Million,48722,2012,2
70,NAQ03C01,GVA at Constant Basic Prices,20123,2012Q3,-,State,Euro Million,46059,2012,3
71,NAQ03C01,GVA at Constant Basic Prices,20124,2012Q4,-,State,Euro Million,47144,2012,4
72,NAQ03C01,GVA at Constant Basic Prices,20131,2013Q1,-,State,Euro Million,44282,2013,1
73,NAQ03C01,GVA at Constant Basic Prices,20132,2013Q2,-,State,Euro Million,47687,2013,2
74,NAQ03C01,GVA at Constant Basic Prices,20133,2013Q3,-,State,Euro Million,48370,2013,3
75,NAQ03C01,GVA at Constant Basic Prices,20134,2013Q4,-,State,Euro Million,48441,2013,4
76,NAQ03C01,GVA at Constant Basic Prices,20141,2014Q1,-,State,Euro Million,48723,2014,1
77,NAQ03C01,GVA at Constant Basic Prices,20142,2014Q2,-,State,Euro Million,51347,2014,2
78,NAQ03C01,GVA at Constant Basic Prices,20143,2014Q3,-,State,Euro Million,52296,2014,3
79,NAQ03C01,GVA at Constant Basic Prices,20144,2014Q4,-,State,Euro Million,52858,2014,4
80,NAQ03C01,GVA at Constant Basic Prices,20151,2015Q1,-,State,Euro Million,63714,2015,1
81,NAQ03C01,GVA at Constant Basic Prices,20152,2015Q2,-,State,Euro Million,62491,2015,2
82,NAQ03C01,GVA at Constant Basic Prices,20153,2015Q3,-,State,Euro Million,65694,2015,3
