"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","10","Dublin Metro Bus","Number","2535513"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","20","Bus, excluding Dublin Metro","Number","601236"
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W17","2019 Week 17","40","All public transport, excluding LUAS","Number","3136749"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","10","Dublin Metro Bus","Number","2990676"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","20","Bus, excluding Dublin Metro","Number","727961"
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W18","2019 Week 18","40","All public transport, excluding LUAS","Number","3718637"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","10","Dublin Metro Bus","Number","2719955"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","20","Bus, excluding Dublin Metro","Number","650874"
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W19","2019 Week 19","40","All public transport, excluding LUAS","Number","3370829"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","10","Dublin Metro Bus","Number","2960967"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","20","Bus, excluding Dublin Metro","Number","691221"
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W20","2019 Week 20","40","All public transport, excluding LUAS","Number","3652188"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","10","Dublin Metro Bus","Number","2938021"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","20","Bus, excluding Dublin Metro","Number","701342"
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W21","2019 Week 21","40","All public transport, excluding LUAS","Number","3639363"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","10","Dublin Metro Bus","Number","2900323"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","20","Bus, excluding Dublin Metro","Number","681399"
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W22","2019 Week 22","40","All public transport, excluding LUAS","Number","3581722"
