"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","40","All public transport, excluding LUAS","Number","542368"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","10","Dublin Metro Bus","Number","433369"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","20","Bus, excluding Dublin Metro","Number","106193"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","30","Rail","Number","35354"
"THA25C01","Passenger Journeys","2020W18","2020 Week 18","40","All public transport, excluding LUAS","Number","574916"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","10","Dublin Metro Bus","Number","449887"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","20","Bus, excluding Dublin Metro","Number","110131"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","30","Rail","Number","38142"
"THA25C01","Passenger Journeys","2020W19","2020 Week 19","40","All public transport, excluding LUAS","Number","598160"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","10","Dublin Metro Bus","Number","504279"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","20","Bus, excluding Dublin Metro","Number","122686"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","30","Rail","Number","44431"
"THA25C01","Passenger Journeys","2020W20","2020 Week 20","40","All public transport, excluding LUAS","Number","671396"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","10","Dublin Metro Bus","Number","631921"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","20","Bus, excluding Dublin Metro","Number","149607"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","30","Rail","Number","69766"
"THA25C01","Passenger Journeys","2020W21","2020 Week 21","40","All public transport, excluding LUAS","Number","851294"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","10","Dublin Metro Bus","Number","740034"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","20","Bus, excluding Dublin Metro","Number","171072"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","30","Rail","Number","98967"
"THA25C01","Passenger Journeys","2020W22","2020 Week 22","40","All public transport, excluding LUAS","Number","1010073"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","10","Dublin Metro Bus","Number","717292"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","20","Bus, excluding Dublin Metro","Number","169871"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","30","Rail","Number","101021"
"THA25C01","Passenger Journeys","2020W23","2020 Week 23","40","All public transport, excluding LUAS","Number","988184"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","10","Dublin Metro Bus","Number","885658"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","20","Bus, excluding Dublin Metro","Number","219384"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","30","Rail","Number","138791"
"THA25C01","Passenger Journeys","2020W24","2020 Week 24","40","All public transport, excluding LUAS","Number","1243833"
"THA25C01","Passenger Journeys","2020W25","2020 Week 25","10","Dublin Metro Bus","Number","1004952"
"THA25C01","Passenger Journeys","2020W25","2020 Week 25","20","Bus, excluding Dublin Metro","Number","250295"
"THA25C01","Passenger Journeys","2020W25","2020 Week 25","30","Rail","Number","170670"
"THA25C01","Passenger Journeys","2020W25","2020 Week 25","40","All public transport, excluding LUAS","Number","1425917"
"THA25C01","Passenger Journeys","2020W26","2020 Week 26","10","Dublin Metro Bus","Number","1050419"
"THA25C01","Passenger Journeys","2020W26","2020 Week 26","20","Bus, excluding Dublin Metro","Number","259592"
"THA25C01","Passenger Journeys","2020W26","2020 Week 26","30","Rail","Number","199508"
"THA25C01","Passenger Journeys","2020W26","2020 Week 26","40","All public transport, excluding LUAS","Number","1509519"
"THA25C01","Passenger Journeys","2020W27","2020 Week 27","10","Dublin Metro Bus","Number","1215359"
"THA25C01","Passenger Journeys","2020W27","2020 Week 27","20","Bus, excluding Dublin Metro","Number","305350"
"THA25C01","Passenger Journeys","2020W27","2020 Week 27","30","Rail","Number","261970"
"THA25C01","Passenger Journeys","2020W27","2020 Week 27","40","All public transport, excluding LUAS","Number","1782679"
"THA25C01","Passenger Journeys","2020W28","2020 Week 28","10","Dublin Metro Bus","Number","1301584"
"THA25C01","Passenger Journeys","2020W28","2020 Week 28","20","Bus, excluding Dublin Metro","Number","338931"
"THA25C01","Passenger Journeys","2020W28","2020 Week 28","30","Rail","Number","261970"
"THA25C01","Passenger Journeys","2020W28","2020 Week 28","40","All public transport, excluding LUAS","Number","1902485"
"THA25C01","Passenger Journeys","2020W29","2020 Week 29","10","Dublin Metro Bus","Number","1317821"
"THA25C01","Passenger Journeys","2020W29","2020 Week 29","20","Bus, excluding Dublin Metro","Number","347104"
"THA25C01","Passenger Journeys","2020W29","2020 Week 29","30","Rail","Number","278033"
"THA25C01","Passenger Journeys","2020W29","2020 Week 29","40","All public transport, excluding LUAS","Number","1942958"
"THA25C01","Passenger Journeys","2020W30","2020 Week 30","10","Dublin Metro Bus","Number","1345580"
"THA25C01","Passenger Journeys","2020W30","2020 Week 30","20","Bus, excluding Dublin Metro","Number","358836"
"THA25C01","Passenger Journeys","2020W30","2020 Week 30","30","Rail","Number","286232"
"THA25C01","Passenger Journeys","2020W30","2020 Week 30","40","All public transport, excluding LUAS","Number","1990648"
"THA25C01","Passenger Journeys","2020W31","2020 Week 31","10","Dublin Metro Bus","Number","1390530"
"THA25C01","Passenger Journeys","2020W31","2020 Week 31","20","Bus, excluding Dublin Metro","Number","369536"
"THA25C01","Passenger Journeys","2020W31","2020 Week 31","30","Rail","Number","305731"
"THA25C01","Passenger Journeys","2020W31","2020 Week 31","40","All public transport, excluding LUAS","Number","2065797"
"THA25C01","Passenger Journeys","2020W32","2020 Week 32","10","Dublin Metro Bus","Number","1340117"
"THA25C01","Passenger Journeys","2020W32","2020 Week 32","20","Bus, excluding Dublin Metro","Number","357425"
"THA25C01","Passenger Journeys","2020W32","2020 Week 32","30","Rail","Number","323489"
"THA25C01","Passenger Journeys","2020W32","2020 Week 32","40","All public transport, excluding LUAS","Number","2021031"
"THA25C01","Passenger Journeys","2020W33","2020 Week 33","10","Dublin Metro Bus","Number","1404722"
"THA25C01","Passenger Journeys","2020W33","2020 Week 33","20","Bus, excluding Dublin Metro","Number","382286"
"THA25C01","Passenger Journeys","2020W33","2020 Week 33","30","Rail","Number","295557"
"THA25C01","Passenger Journeys","2020W33","2020 Week 33","40","All public transport, excluding LUAS","Number","2082565"
"THA25C01","Passenger Journeys","2020W34","2020 Week 34","10","Dublin Metro Bus","Number","1369602"
"THA25C01","Passenger Journeys","2020W34","2020 Week 34","20","Bus, excluding Dublin Metro","Number","354355"
"THA25C01","Passenger Journeys","2020W34","2020 Week 34","30","Rail","Number","258999"
"THA25C01","Passenger Journeys","2020W34","2020 Week 34","40","All public transport, excluding LUAS","Number","1982956"
"THA25C01","Passenger Journeys","2020W35","2020 Week 35","10","Dublin Metro Bus","Number","1448462"
"THA25C01","Passenger Journeys","2020W35","2020 Week 35","20","Bus, excluding Dublin Metro","Number","390235"
"THA25C01","Passenger Journeys","2020W35","2020 Week 35","30","Rail","Number","285663"
"THA25C01","Passenger Journeys","2020W35","2020 Week 35","40","All public transport, excluding LUAS","Number","2124360"
"THA25C01","Passenger Journeys","2020W36","2020 Week 36","10","Dublin Metro Bus","Number","1580362"
"THA25C01","Passenger Journeys","2020W36","2020 Week 36","20","Bus, excluding Dublin Metro","Number","418714"
"THA25C01","Passenger Journeys","2020W36","2020 Week 36","30","Rail","Number","332558"
"THA25C01","Passenger Journeys","2020W36","2020 Week 36","40","All public transport, excluding LUAS","Number","2331634"
"THA25C01","Passenger Journeys","2020W37","2020 Week 37","10","Dublin Metro Bus","Number","1642110"
"THA25C01","Passenger Journeys","2020W37","2020 Week 37","20","Bus, excluding Dublin Metro","Number","427899"
"THA25C01","Passenger Journeys","2020W37","2020 Week 37","30","Rail","Number","346681"
"THA25C01","Passenger Journeys","2020W37","2020 Week 37","40","All public transport, excluding LUAS","Number","2416690"
"THA25C01","Passenger Journeys","2020W38","2020 Week 38","10","Dublin Metro Bus","Number","1578521"
"THA25C01","Passenger Journeys","2020W38","2020 Week 38","20","Bus, excluding Dublin Metro","Number","432729"
"THA25C01","Passenger Journeys","2020W38","2020 Week 38","30","Rail","Number","323907"
"THA25C01","Passenger Journeys","2020W38","2020 Week 38","40","All public transport, excluding LUAS","Number","2335157"
"THA25C01","Passenger Journeys","2020W39","2020 Week 39","10","Dublin Metro Bus","Number","1517678"
"THA25C01","Passenger Journeys","2020W39","2020 Week 39","20","Bus, excluding Dublin Metro","Number","438357"
"THA25C01","Passenger Journeys","2020W39","2020 Week 39","30","Rail","Number","289803"
"THA25C01","Passenger Journeys","2020W39","2020 Week 39","40","All public transport, excluding LUAS","Number","2245838"
"THA25C01","Passenger Journeys","2020W40","2020 Week 40","10","Dublin Metro Bus","Number","1489761"
"THA25C01","Passenger Journeys","2020W40","2020 Week 40","20","Bus, excluding Dublin Metro","Number","435417"
"THA25C01","Passenger Journeys","2020W40","2020 Week 40","30","Rail","Number","284420"
"THA25C01","Passenger Journeys","2020W40","2020 Week 40","40","All public transport, excluding LUAS","Number","2209598"
"THA25C01","Passenger Journeys","2020W41","2020 Week 41","10","Dublin Metro Bus","Number","1554561"
"THA25C01","Passenger Journeys","2020W41","2020 Week 41","20","Bus, excluding Dublin Metro","Number","405986"
"THA25C01","Passenger Journeys","2020W41","2020 Week 41","30","Rail","Number","275531"
"THA25C01","Passenger Journeys","2020W41","2020 Week 41","40","All public transport, excluding LUAS","Number","2236078"
"THA25C01","Passenger Journeys","2020W42","2020 Week 42","10","Dublin Metro Bus","Number","1535839"
"THA25C01","Passenger Journeys","2020W42","2020 Week 42","20","Bus, excluding Dublin Metro","Number","382078"
"THA25C01","Passenger Journeys","2020W42","2020 Week 42","30","Rail","Number","263936"
"THA25C01","Passenger Journeys","2020W42","2020 Week 42","40","All public transport, excluding LUAS","Number","2181853"
"THA25C01","Passenger Journeys","2020W43","2020 Week 43","10","Dublin Metro Bus","Number","1297841"
"THA25C01","Passenger Journeys","2020W43","2020 Week 43","20","Bus, excluding Dublin Metro","Number","319938"
"THA25C01","Passenger Journeys","2020W43","2020 Week 43","30","Rail","Number","197097"
"THA25C01","Passenger Journeys","2020W43","2020 Week 43","40","All public transport, excluding LUAS","Number","1814876"
"THA25C01","Passenger Journeys","2020W44","2020 Week 44","10","Dublin Metro Bus","Number","868428"
"THA25C01","Passenger Journeys","2020W44","2020 Week 44","20","Bus, excluding Dublin Metro","Number","204748"
"THA25C01","Passenger Journeys","2020W44","2020 Week 44","30","Rail","Number","118406"
"THA25C01","Passenger Journeys","2020W44","2020 Week 44","40","All public transport, excluding LUAS","Number","1191582"
"THA25C01","Passenger Journeys","2020W45","2020 Week 45","10","Dublin Metro Bus","Number","1163897"
"THA25C01","Passenger Journeys","2020W45","2020 Week 45","20","Bus, excluding Dublin Metro","Number","289411"
"THA25C01","Passenger Journeys","2020W45","2020 Week 45","30","Rail","Number","181839"
"THA25C01","Passenger Journeys","2020W45","2020 Week 45","40","All public transport, excluding LUAS","Number","1635147"
"THA25C01","Passenger Journeys","2020W46","2020 Week 46","10","Dublin Metro Bus","Number","1169742"
"THA25C01","Passenger Journeys","2020W46","2020 Week 46","20","Bus, excluding Dublin Metro","Number","291201"
"THA25C01","Passenger Journeys","2020W46","2020 Week 46","30","Rail","Number","176067"
"THA25C01","Passenger Journeys","2020W46","2020 Week 46","40","All public transport, excluding LUAS","Number","1637010"
"THA25C01","Passenger Journeys","2020W47","2020 Week 47","10","Dublin Metro Bus","Number","1207986"
"THA25C01","Passenger Journeys","2020W47","2020 Week 47","20","Bus, excluding Dublin Metro","Number","302115"
"THA25C01","Passenger Journeys","2020W47","2020 Week 47","30","Rail","Number","197427"
"THA25C01","Passenger Journeys","2020W47","2020 Week 47","40","All public transport, excluding LUAS","Number","1707528"
"THA25C01","Passenger Journeys","2020W48","2020 Week 48","10","Dublin Metro Bus","Number","1241445"
"THA25C01","Passenger Journeys","2020W48","2020 Week 48","20","Bus, excluding Dublin Metro","Number","307535"
"THA25C01","Passenger Journeys","2020W48","2020 Week 48","30","Rail","Number","194005"
"THA25C01","Passenger Journeys","2020W48","2020 Week 48","40","All public transport, excluding LUAS","Number","1742985"
"THA25C01","Passenger Journeys","2020W49","2020 Week 49","10","Dublin Metro Bus","Number","1586454"
"THA25C01","Passenger Journeys","2020W49","2020 Week 49","20","Bus, excluding Dublin Metro","Number","407988"
"THA25C01","Passenger Journeys","2020W49","2020 Week 49","30","Rail","Number","295306"
"THA25C01","Passenger Journeys","2020W49","2020 Week 49","40","All public transport, excluding LUAS","Number","2289748"
"THA25C01","Passenger Journeys","2020W50","2020 Week 50","10","Dublin Metro Bus","Number","1682988"
"THA25C01","Passenger Journeys","2020W50","2020 Week 50","20","Bus, excluding Dublin Metro","Number","436740"
"THA25C01","Passenger Journeys","2020W50","2020 Week 50","30","Rail","Number","315393"
"THA25C01","Passenger Journeys","2020W50","2020 Week 50","40","All public transport, excluding LUAS","Number","2435121"
"THA25C01","Passenger Journeys","2020W51","2020 Week 51","10","Dublin Metro Bus","Number","1745336"
"THA25C01","Passenger Journeys","2020W51","2020 Week 51","20","Bus, excluding Dublin Metro","Number","444680"
"THA25C01","Passenger Journeys","2020W51","2020 Week 51","30","Rail","Number","322484"
"THA25C01","Passenger Journeys","2020W51","2020 Week 51","40","All public transport, excluding LUAS","Number","2512500"
"THA25C01","Passenger Journeys","2020W52","2020 Week 52","10","Dublin Metro Bus","Number","1076018"
"THA25C01","Passenger Journeys","2020W52","2020 Week 52","20","Bus, excluding Dublin Metro","Number","272410"
"THA25C01","Passenger Journeys","2020W52","2020 Week 52","30","Rail","Number","184982"
"THA25C01","Passenger Journeys","2020W52","2020 Week 52","40","All public transport, excluding LUAS","Number","1533410"
"THA25C01","Passenger Journeys","2020W53","2020 Week 53","10","Dublin Metro Bus","Number","707458"
"THA25C01","Passenger Journeys","2020W53","2020 Week 53","20","Bus, excluding Dublin Metro","Number","170366"
"THA25C01","Passenger Journeys","2020W53","2020 Week 53","30","Rail","Number","101951"
"THA25C01","Passenger Journeys","2020W53","2020 Week 53","40","All public transport, excluding LUAS","Number","979775"
"THA25C01","Passenger Journeys","2021W01","2021 Week 01","10","Dublin Metro Bus","Number","747912"
"THA25C01","Passenger Journeys","2021W01","2021 Week 01","20","Bus, excluding Dublin Metro","Number","184151"
"THA25C01","Passenger Journeys","2021W01","2021 Week 01","30","Rail","Number","107227"
"THA25C01","Passenger Journeys","2021W01","2021 Week 01","40","All public transport, excluding LUAS","Number","1039290"
"THA25C01","Passenger Journeys","2021W02","2021 Week 02","10","Dublin Metro Bus","Number","735000"
"THA25C01","Passenger Journeys","2021W02","2021 Week 02","20","Bus, excluding Dublin Metro","Number","184333"
"THA25C01","Passenger Journeys","2021W02","2021 Week 02","30","Rail","Number","90529"
"THA25C01","Passenger Journeys","2021W02","2021 Week 02","40","All public transport, excluding LUAS","Number","1009862"
"THA25C01","Passenger Journeys","2021W03","2021 Week 03","10","Dublin Metro Bus","Number","731273"
"THA25C01","Passenger Journeys","2021W03","2021 Week 03","20","Bus, excluding Dublin Metro","Number","184441"
"THA25C01","Passenger Journeys","2021W03","2021 Week 03","30","Rail","Number","93456"
"THA25C01","Passenger Journeys","2021W03","2021 Week 03","40","All public transport, excluding LUAS","Number","1009170"
"THA25C01","Passenger Journeys","2021W04","2021 Week 04","10","Dublin Metro Bus","Number","742813"
"THA25C01","Passenger Journeys","2021W04","2021 Week 04","20","Bus, excluding Dublin Metro","Number","189266"
"THA25C01","Passenger Journeys","2021W04","2021 Week 04","30","Rail","Number","93322"
"THA25C01","Passenger Journeys","2021W04","2021 Week 04","40","All public transport, excluding LUAS","Number","1025401"
"THA25C01","Passenger Journeys","2021W05","2021 Week 05","10","Dublin Metro Bus","Number","791189"
"THA25C01","Passenger Journeys","2021W05","2021 Week 05","20","Bus, excluding Dublin Metro","Number","201849"
"THA25C01","Passenger Journeys","2021W05","2021 Week 05","30","Rail","Number","105426"
"THA25C01","Passenger Journeys","2021W05","2021 Week 05","40","All public transport, excluding LUAS","Number","1098464"
"THA25C01","Passenger Journeys","2021W06","2021 Week 06","10","Dublin Metro Bus","Number","775491"
"THA25C01","Passenger Journeys","2021W06","2021 Week 06","20","Bus, excluding Dublin Metro","Number","198989"
"THA25C01","Passenger Journeys","2021W06","2021 Week 06","30","Rail","Number","96338"
"THA25C01","Passenger Journeys","2021W06","2021 Week 06","40","All public transport, excluding LUAS","Number","1070818"
"THA25C01","Passenger Journeys","2021W07","2021 Week 07","10","Dublin Metro Bus","Number","849801"
"THA25C01","Passenger Journeys","2021W07","2021 Week 07","20","Bus, excluding Dublin Metro","Number","210651"
"THA25C01","Passenger Journeys","2021W07","2021 Week 07","30","Rail","Number","114588"
"THA25C01","Passenger Journeys","2021W07","2021 Week 07","40","All public transport, excluding LUAS","Number","1175040"
"THA25C01","Passenger Journeys","2021W08","2021 Week 08","10","Dublin Metro Bus","Number","884911"
"THA25C01","Passenger Journeys","2021W08","2021 Week 08","20","Bus, excluding Dublin Metro","Number","218084"
"THA25C01","Passenger Journeys","2021W08","2021 Week 08","30","Rail","Number","127685"
"THA25C01","Passenger Journeys","2021W08","2021 Week 08","40","All public transport, excluding LUAS","Number","1230680"
"THA25C01","Passenger Journeys","2021W09","2021 Week 09","10","Dublin Metro Bus","Number","947256"
"THA25C01","Passenger Journeys","2021W09","2021 Week 09","20","Bus, excluding Dublin Metro","Number","240137"
"THA25C01","Passenger Journeys","2021W09","2021 Week 09","30","Rail","Number","142782"
"THA25C01","Passenger Journeys","2021W09","2021 Week 09","40","All public transport, excluding LUAS","Number","1330175"
"THA25C01","Passenger Journeys","2021W10","2021 Week 10","10","Dublin Metro Bus","Number","945236"
"THA25C01","Passenger Journeys","2021W10","2021 Week 10","20","Bus, excluding Dublin Metro","Number","239123"
"THA25C01","Passenger Journeys","2021W10","2021 Week 10","30","Rail","Number","134132"
"THA25C01","Passenger Journeys","2021W10","2021 Week 10","40","All public transport, excluding LUAS","Number","1318491"
"THA25C01","Passenger Journeys","2021W11","2021 Week 11","10","Dublin Metro Bus","Number","963568"
"THA25C01","Passenger Journeys","2021W11","2021 Week 11","20","Bus, excluding Dublin Metro","Number","246289"
"THA25C01","Passenger Journeys","2021W11","2021 Week 11","30","Rail","Number","144852"
"THA25C01","Passenger Journeys","2021W11","2021 Week 11","40","All public transport, excluding LUAS","Number","1354709"
"THA25C01","Passenger Journeys","2021W12","2021 Week 12","10","Dublin Metro Bus","Number","1015358"
"THA25C01","Passenger Journeys","2021W12","2021 Week 12","20","Bus, excluding Dublin Metro","Number","260235"
"THA25C01","Passenger Journeys","2021W12","2021 Week 12","30","Rail","Number","149153"
"THA25C01","Passenger Journeys","2021W12","2021 Week 12","40","All public transport, excluding LUAS","Number","1424746"
"THA25C01","Passenger Journeys","2021W13","2021 Week 13","10","Dublin Metro Bus","Number","1007971"
"THA25C01","Passenger Journeys","2021W13","2021 Week 13","20","Bus, excluding Dublin Metro","Number","259578"
"THA25C01","Passenger Journeys","2021W13","2021 Week 13","30","Rail","Number","172949"
"THA25C01","Passenger Journeys","2021W13","2021 Week 13","40","All public transport, excluding LUAS","Number","1440498"
"THA25C01","Passenger Journeys","2021W14","2021 Week 14","10","Dublin Metro Bus","Number","911592"
"THA25C01","Passenger Journeys","2021W14","2021 Week 14","20","Bus, excluding Dublin Metro","Number","239121"
"THA25C01","Passenger Journeys","2021W14","2021 Week 14","30","Rail","Number","144048"
"THA25C01","Passenger Journeys","2021W14","2021 Week 14","40","All public transport, excluding LUAS","Number","1294761"
"THA25C01","Passenger Journeys","2021W15","2021 Week 15","10","Dublin Metro Bus","Number","1173468"
"THA25C01","Passenger Journeys","2021W15","2021 Week 15","20","Bus, excluding Dublin Metro","Number","310154"
"THA25C01","Passenger Journeys","2021W15","2021 Week 15","30","Rail","Number","225466"
"THA25C01","Passenger Journeys","2021W15","2021 Week 15","40","All public transport, excluding LUAS","Number","1709088"
"THA25C01","Passenger Journeys","2021W16","2021 Week 16","10","Dublin Metro Bus","Number","1227564"
"THA25C01","Passenger Journeys","2021W16","2021 Week 16","20","Bus, excluding Dublin Metro","Number","326905"
"THA25C01","Passenger Journeys","2021W16","2021 Week 16","30","Rail","Number","264009"
"THA25C01","Passenger Journeys","2021W16","2021 Week 16","40","All public transport, excluding LUAS","Number","1818478"
"THA25C01","Passenger Journeys","2021W17","2021 Week 17","10","Dublin Metro Bus","Number","1218011"
"THA25C01","Passenger Journeys","2021W17","2021 Week 17","20","Bus, excluding Dublin Metro","Number","322352"
"THA25C01","Passenger Journeys","2021W17","2021 Week 17","30","Rail","Number","225261"
"THA25C01","Passenger Journeys","2021W17","2021 Week 17","40","All public transport, excluding LUAS","Number","1765624"
"THA25C01","Passenger Journeys","2021W18","2021 Week 18","10","Dublin Metro Bus","Number","1096020"
"THA25C01","Passenger Journeys","2021W18","2021 Week 18","20","Bus, excluding Dublin Metro","Number","287627"
"THA25C01","Passenger Journeys","2021W18","2021 Week 18","30","Rail","Number","216234"
"THA25C01","Passenger Journeys","2021W18","2021 Week 18","40","All public transport, excluding LUAS","Number","1599881"
"THA25C01","Passenger Journeys","2021W19","2021 Week 19","10","Dublin Metro Bus","Number","1355893"
"THA25C01","Passenger Journeys","2021W19","2021 Week 19","20","Bus, excluding Dublin Metro","Number","358853"
"THA25C01","Passenger Journeys","2021W19","2021 Week 19","30","Rail","Number","269055"
"THA25C01","Passenger Journeys","2021W19","2021 Week 19","40","All public transport, excluding LUAS","Number","1983801"
"THA25C01","Passenger Journeys","2021W20","2021 Week 20","10","Dublin Metro Bus","Number","1471313"
"THA25C01","Passenger Journeys","2021W20","2021 Week 20","20","Bus, excluding Dublin Metro","Number","391144"
"THA25C01","Passenger Journeys","2021W20","2021 Week 20","30","Rail","Number","274137"
"THA25C01","Passenger Journeys","2021W20","2021 Week 20","40","All public transport, excluding LUAS","Number","2136594"
"THA25C01","Passenger Journeys","2021W21","2021 Week 21","10","Dublin Metro Bus","Number","1562407"
"THA25C01","Passenger Journeys","2021W21","2021 Week 21","20","Bus, excluding Dublin Metro","Number","418633"
"THA25C01","Passenger Journeys","2021W21","2021 Week 21","30","Rail","Number","366784"
"THA25C01","Passenger Journeys","2021W21","2021 Week 21","40","All public transport, excluding LUAS","Number","2347824"
"THA25C01","Passenger Journeys","2021W22","2021 Week 22","10","Dublin Metro Bus","Number","1547915"
"THA25C01","Passenger Journeys","2021W22","2021 Week 22","20","Bus, excluding Dublin Metro","Number","418168"
"THA25C01","Passenger Journeys","2021W22","2021 Week 22","30","Rail","Number","393257"
"THA25C01","Passenger Journeys","2021W22","2021 Week 22","40","All public transport, excluding LUAS","Number","2359340"
"THA25C01","Passenger Journeys","2021W23","2021 Week 23","10","Dublin Metro Bus","Number","1527611"
"THA25C01","Passenger Journeys","2021W23","2021 Week 23","20","Bus, excluding Dublin Metro","Number","411324"
"THA25C01","Passenger Journeys","2021W23","2021 Week 23","30","Rail","Number","377568"
"THA25C01","Passenger Journeys","2021W23","2021 Week 23","40","All public transport, excluding LUAS","Number","2316503"
"THA25C01","Passenger Journeys","2021W24","2021 Week 24","10","Dublin Metro Bus","Number","1623456"
"THA25C01","Passenger Journeys","2021W24","2021 Week 24","20","Bus, excluding Dublin Metro","Number","446540"
"THA25C01","Passenger Journeys","2021W24","2021 Week 24","30","Rail","Number","371228"
"THA25C01","Passenger Journeys","2021W24","2021 Week 24","40","All public transport, excluding LUAS","Number","2441224"
"THA25C01","Passenger Journeys","2021W25","2021 Week 25","10","Dublin Metro Bus","Number","1603926"
"THA25C01","Passenger Journeys","2021W25","2021 Week 25","20","Bus, excluding Dublin Metro","Number","450941"
"THA25C01","Passenger Journeys","2021W25","2021 Week 25","30","Rail","Number","368609"
"THA25C01","Passenger Journeys","2021W25","2021 Week 25","40","All public transport, excluding LUAS","Number","2423476"
"THA25C01","Passenger Journeys","2021W26","2021 Week 26","10","Dublin Metro Bus","Number","1586039"
"THA25C01","Passenger Journeys","2021W26","2021 Week 26","20","Bus, excluding Dublin Metro","Number","447514"
"THA25C01","Passenger Journeys","2021W26","2021 Week 26","30","Rail","Number","399131"
"THA25C01","Passenger Journeys","2021W26","2021 Week 26","40","All public transport, excluding LUAS","Number","2432684"
"THA25C01","Passenger Journeys","2021W27","2021 Week 27","10","Dublin Metro Bus","Number","1558866"
"THA25C01","Passenger Journeys","2021W27","2021 Week 27","20","Bus, excluding Dublin Metro","Number","441652"
"THA25C01","Passenger Journeys","2021W27","2021 Week 27","30","Rail","Number","359807"
"THA25C01","Passenger Journeys","2021W27","2021 Week 27","40","All public transport, excluding LUAS","Number","2360325"
"THA25C01","Passenger Journeys","2021W28","2021 Week 28","10","Dublin Metro Bus","Number","1623323"
"THA25C01","Passenger Journeys","2021W28","2021 Week 28","20","Bus, excluding Dublin Metro","Number","466323"
"THA25C01","Passenger Journeys","2021W28","2021 Week 28","30","Rail","Number","455660"
"THA25C01","Passenger Journeys","2021W28","2021 Week 28","40","All public transport, excluding LUAS","Number","2545306"
"THA25C01","Passenger Journeys","2021W29","2021 Week 29","10","Dublin Metro Bus","Number","1629341"
"THA25C01","Passenger Journeys","2021W29","2021 Week 29","20","Bus, excluding Dublin Metro","Number","465320"
"THA25C01","Passenger Journeys","2021W29","2021 Week 29","30","Rail","Number","466402"
"THA25C01","Passenger Journeys","2021W29","2021 Week 29","40","All public transport, excluding LUAS","Number","2561063"
"THA25C01","Passenger Journeys","2021W30","2021 Week 30","10","Dublin Metro Bus","Number","1595175"
"THA25C01","Passenger Journeys","2021W30","2021 Week 30","20","Bus, excluding Dublin Metro","Number","449602"
"THA25C01","Passenger Journeys","2021W30","2021 Week 30","30","Rail","Number","387647"
"THA25C01","Passenger Journeys","2021W30","2021 Week 30","40","All public transport, excluding LUAS","Number","2432424"
"THA25C01","Passenger Journeys","2021W31","2021 Week 31","10","Dublin Metro Bus","Number","1509235"
"THA25C01","Passenger Journeys","2021W31","2021 Week 31","20","Bus, excluding Dublin Metro","Number","410910"
"THA25C01","Passenger Journeys","2021W31","2021 Week 31","30","Rail","Number","386299"
"THA25C01","Passenger Journeys","2021W31","2021 Week 31","40","All public transport, excluding LUAS","Number","2306444"
"THA25C01","Passenger Journeys","2021W32","2021 Week 32","10","Dublin Metro Bus","Number","1636634"
"THA25C01","Passenger Journeys","2021W32","2021 Week 32","20","Bus, excluding Dublin Metro","Number","457401"
"THA25C01","Passenger Journeys","2021W32","2021 Week 32","30","Rail","Number","402833"
"THA25C01","Passenger Journeys","2021W32","2021 Week 32","40","All public transport, excluding LUAS","Number","2496868"
"THA25C01","Passenger Journeys","2021W33","2021 Week 33","10","Dublin Metro Bus","Number","1655260"
"THA25C01","Passenger Journeys","2021W33","2021 Week 33","20","Bus, excluding Dublin Metro","Number","459631"
"THA25C01","Passenger Journeys","2021W33","2021 Week 33","30","Rail","Number","396685"
"THA25C01","Passenger Journeys","2021W33","2021 Week 33","40","All public transport, excluding LUAS","Number","2511576"
"THA25C01","Passenger Journeys","2021W34","2021 Week 34","10","Dublin Metro Bus","Number","1766188"
"THA25C01","Passenger Journeys","2021W34","2021 Week 34","20","Bus, excluding Dublin Metro","Number","505692"
"THA25C01","Passenger Journeys","2021W34","2021 Week 34","30","Rail","Number","475258"
"THA25C01","Passenger Journeys","2021W34","2021 Week 34","40","All public transport, excluding LUAS","Number","2747138"
"THA25C01","Passenger Journeys","2021W35","2021 Week 35","10","Dublin Metro Bus","Number","1849382"
"THA25C01","Passenger Journeys","2021W35","2021 Week 35","20","Bus, excluding Dublin Metro","Number","507106"
