"STATISTIC","Statistic Label","TLIST(A1)","Year","C03894V04645","Scheduled services","UNIT","VALUE"
"TOA16C02","Vehicle kilometers","2016","2016","20","Provincial city and town services","km (000)","8968"
"TOA16C02","Vehicle kilometers","2016","2016","30","Other scheduled services","km (000)","71400"
"TOA16C02","Vehicle kilometers","2016","2016","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2017","2017","10","Dublin city services","km (000)","57350"
"TOA16C02","Vehicle kilometers","2017","2017","20","Provincial city and town services","km (000)","9266"
"TOA16C02","Vehicle kilometers","2017","2017","30","Other scheduled services","km (000)","67031"
"TOA16C02","Vehicle kilometers","2017","2017","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2018","2018","10","Dublin city services","km (000)","54906"
"TOA16C02","Vehicle kilometers","2018","2018","20","Provincial city and town services","km (000)","10176"
"TOA16C02","Vehicle kilometers","2018","2018","30","Other scheduled services","km (000)","74155"
"TOA16C02","Vehicle kilometers","2018","2018","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2019","2019","10","Dublin city services","km (000)","43421"
"TOA16C02","Vehicle kilometers","2019","2019","20","Provincial city and town services","km (000)","12408"
"TOA16C02","Vehicle kilometers","2019","2019","30","Other scheduled services","km (000)","69876"
"TOA16C02","Vehicle kilometers","2019","2019","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2020","2020","10","Dublin city services","km (000)","42860"
"TOA16C02","Vehicle kilometers","2020","2020","20","Provincial city and town services","km (000)","13256"
"TOA16C02","Vehicle kilometers","2020","2020","30","Other scheduled services","km (000)","61408"
"TOA16C02","Vehicle kilometers","2020","2020","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2021","2021","10","Dublin city services","km (000)","42755"
"TOA16C02","Vehicle kilometers","2021","2021","20","Provincial city and town services","km (000)","13967"
"TOA16C02","Vehicle kilometers","2021","2021","30","Other scheduled services","km (000)","58845"
"TOA16C02","Vehicle kilometers","2021","2021","40","School transport scheme","km (000)",""
"TOA16C02","Vehicle kilometers","2022","2022","10","Dublin city services","km (000)","46172"
"TOA16C02","Vehicle kilometers","2022","2022","20","Provincial city and town services","km (000)","13918"
"TOA16C02","Vehicle kilometers","2022","2022","30","Other scheduled services","km (000)","63665"
"TOA16C02","Vehicle kilometers","2022","2022","40","School transport scheme","km (000)",""
