"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02734V03302","Means of Travel","C02704V03272","At Work, School or College","UNIT","VALUE"
"FY081C01","Total Persons","2011","2011","-","Both sexes","98","Not stated","-06","All persons","Number","94892"
"FY081C01","Total Persons","2011","2011","-","Both sexes","98","Not stated","904","Population aged 15 years and over at work","Number","64260"
"FY081C01","Total Persons","2011","2011","-","Both sexes","98","Not stated","901","Children at school aged between 5 and 12 years","Number","17682"
"FY081C01","Total Persons","2011","2011","-","Both sexes","98","Not stated","902","Students at school or college aged between 13 and 18 years","Number","6319"
"FY081C01","Total Persons","2011","2011","-","Both sexes","98","Not stated","903","Students at school or college aged 19 years and over","Number","6631"
"FY081C01","Total Persons","2011","2011","-","Both sexes","-","All means of travel","-06","All persons","Number","2709706"
"FY081C01","Total Persons","2011","2011","-","Both sexes","-","All means of travel","904","Population aged 15 years and over at work","Number","1695074"
"FY081C01","Total Persons","2011","2011","-","Both sexes","-","All means of travel","901","Children at school aged between 5 and 12 years","Number","501200"
"FY081C01","Total Persons","2011","2011","-","Both sexes","-","All means of travel","902","Students at school or college aged between 13 and 18 years","Number","322194"
"FY081C01","Total Persons","2011","2011","-","Both sexes","-","All means of travel","903","Students at school or college aged 19 years and over","Number","191238"
"FY081C01","Total Persons","2011","2011","1","Male","01","On foot","-06","All persons","Number","195536"
"FY081C01","Total Persons","2011","2011","1","Male","01","On foot","904","Population aged 15 years and over at work","Number","73714"
"FY081C01","Total Persons","2011","2011","1","Male","01","On foot","901","Children at school aged between 5 and 12 years","Number","59986"
"FY081C01","Total Persons","2011","2011","1","Male","01","On foot","902","Students at school or college aged between 13 and 18 years","Number","37443"
"FY081C01","Total Persons","2011","2011","1","Male","01","On foot","903","Students at school or college aged 19 years and over","Number","24393"
"FY081C01","Total Persons","2011","2011","1","Male","02","Bicycle","-06","All persons","Number","45810"
"FY081C01","Total Persons","2011","2011","1","Male","02","Bicycle","904","Population aged 15 years and over at work","Number","29075"
"FY081C01","Total Persons","2011","2011","1","Male","02","Bicycle","901","Children at school aged between 5 and 12 years","Number","4457"
"FY081C01","Total Persons","2011","2011","1","Male","02","Bicycle","902","Students at school or college aged between 13 and 18 years","Number","6063"
"FY081C01","Total Persons","2011","2011","1","Male","02","Bicycle","903","Students at school or college aged 19 years and over","Number","6215"
"FY081C01","Total Persons","2011","2011","1","Male","03","Bus, minibus or coach","-06","All persons","Number","137260"
"FY081C01","Total Persons","2011","2011","1","Male","03","Bus, minibus or coach","904","Population aged 15 years and over at work","Number","38595"
"FY081C01","Total Persons","2011","2011","1","Male","03","Bus, minibus or coach","901","Children at school aged between 5 and 12 years","Number","31217"
"FY081C01","Total Persons","2011","2011","1","Male","03","Bus, minibus or coach","902","Students at school or college aged between 13 and 18 years","Number","48143"
"FY081C01","Total Persons","2011","2011","1","Male","03","Bus, minibus or coach","903","Students at school or college aged 19 years and over","Number","19305"
"FY081C01","Total Persons","2011","2011","1","Male","04","Train, DART or LUAS","-06","All persons","Number","35005"
"FY081C01","Total Persons","2011","2011","1","Male","04","Train, DART or LUAS","904","Population aged 15 years and over at work","Number","25652"
"FY081C01","Total Persons","2011","2011","1","Male","04","Train, DART or LUAS","901","Children at school aged between 5 and 12 years","Number","371"
"FY081C01","Total Persons","2011","2011","1","Male","04","Train, DART or LUAS","902","Students at school or college aged between 13 and 18 years","Number","2926"
"FY081C01","Total Persons","2011","2011","1","Male","04","Train, DART or LUAS","903","Students at school or college aged 19 years and over","Number","6056"
"FY081C01","Total Persons","2011","2011","1","Male","05","Motorcycle or scooter","-06","All persons","Number","8019"
"FY081C01","Total Persons","2011","2011","1","Male","05","Motorcycle or scooter","904","Population aged 15 years and over at work","Number","7332"
"FY081C01","Total Persons","2011","2011","1","Male","05","Motorcycle or scooter","901","Children at school aged between 5 and 12 years","Number","0"
